Date,LogReturn
2020-01-01,-0.002
2020-01-02,0.001
2020-01-03,0.0043
2020-01-06,-0.0136
2020-01-07,0.0313
2020-01-08,-0.0377
2020-01-09,0.0074
2020-01-13,0.0046
2020-01-14,-0.0313
2020-01-15,0.0064
2020-01-16,-0.0303
2020-01-17,-0.0342
2020-01-21,0.0023
2020-01-22,-0.0467
2020-01-23,-0.0176
2020-01-24,0.0276
2020-01-27,-0.0668
2020-01-28,0.0671
2020-01-29,-0.0069
2020-01-30,-0.0319
2020-01-31,0.0114
2020-02-03,-0.0674
2020-02-04,-0.0276
2020-02-05,0.0312
2020-02-06,0.0132
2020-02-07,0.0235
2020-02-10,0.0366
2020-02-11,0.0246
2020-02-12,0.0527
2020-02-13,-0.0477
2020-02-14,0.0333
2020-02-18,-0.0814
2020-02-19,-0.0677
2020-02-20,-0.0778
2020-02-21,-0.0772
2020-02-24,-0.0642
2020-02-25,-0.0772
2020-02-26,-0.0964
2020-02-27,0.0676
2020-02-28,0.0579
2020-03-02,-0.0671
2020-03-03,-0.1141
2020-03-04,-0.1376
2020-03-05,0.0673
2020-03-06,0.1075
2020-03-09,-0.0762
2020-03-10,-0.1299
2020-03-11,-0.1463
2020-03-12,0.0776
2020-03-13,-0.0675
2020-03-16,-0.1306
2020-03-17,0.0665
2020-03-18,-0.0465
2020-03-19,0.1174
2020-03-20,-0.0631
2020-03-23,0.0744
2020-03-24,-0.0476
2020-03-25,0.1246
2020-03-26,-0.0477
2020-03-27,0.1254
2020-03-30,0.0673
2020-03-31,-0.0276
2020-04-01,0.0429
2020-04-02,-0.0606
2020-04-03,0.1146
2020-04-06,-0.0433
2020-04-07,-0.0629
2020-04-08,0.1019
2020-04-09,-0.0575
2020-04-13,0.0573
2020-04-14,-0.0475
2020-04-15,0.2346
2020-04-16,-0.0676
2020-04-17,0.2203
2020-04-20,0.2038
2020-04-21,-0.0575
2020-04-22,0.1372
2020-04-23,-0.0416
2020-04-24,0.108
2020-04-27,0.0773
2020-04-28,-0.0413
2020-04-29,0.116
2020-04-30,-0.0437
2020-05-01,0.0529
2020-05-04,-0.0411
2020-05-05,-0.0695
2020-05-06,0.1114
2020-05-07,-0.0576
2020-05-08,0.0579
2020-05-11,0.0522
2020-05-12,-0.0505
2020-05-13,-0.1128
2020-05-14,0.2164
2020-05-15,-0.0562
2020-05-18,0.2124
2020-05-19,-0.0414
2020-05-20,-0.0306
2020-05-21,0.0576
2020-05-22,-0.0346
2020-05-26,0.0518
