Date,LogReturn
2020-01-02,0.0125
2020-01-03,-0.0087
2020-01-06,0.0243
2020-01-07,-0.0156
2020-01-08,0.0189
2020-01-09,0.0054
2020-01-10,-0.0221
2020-01-13,0.0098
2020-01-14,-0.0032
2020-01-15,0.0176
2020-01-16,0.0112
2020-01-17,-0.0078
2020-01-21,0.0145
2020-01-22,-0.0198
2020-01-23,0.0067
2020-01-24,-0.0284
2020-01-27,0.0021
2020-01-28,0.0203
2020-01-29,-0.0115
2020-01-30,0.0156
2020-01-31,-0.0257
2020-02-03,0.0189
2020-02-04,-0.0076
2020-02-05,0.0224
2020-02-06,0.0032
2020-02-07,-0.0165
2020-02-10,0.0097
2020-02-11,-0.0134
2020-02-12,0.0278
2020-02-13,0.0015
2020-02-14,-0.0192
2020-02-18,0.0146
2020-02-19,-0.0059
2020-02-20,0.0211
2020-02-21,-0.0308
2020-02-24,0.0073
2020-02-25,-0.0356
2020-02-26,0.0124
2020-02-27,-0.0421
2020-02-28,0.0187
2020-03-02,-0.0095
2020-03-03,0.0253
2020-03-04,-0.0178
2020-03-05,0.0196
2020-03-06,-0.0275
2020-03-09,0.0054
2020-03-10,-0.0321
2020-03-11,0.0142
2020-03-12,-0.0489
2020-03-13,0.0226
2020-03-16,-0.0157
2020-03-17,0.0284
2020-03-18,-0.0215
2020-03-19,0.0163
2020-03-20,-0.0332
2020-03-23,0.0118
2020-03-24,-0.0196
2020-03-25,0.0247
2020-03-26,0.0072
2020-03-27,-0.0189
2020-03-30,0.0135
2020-03-31,-0.0098
2020-04-01,0.0214
2020-04-02,-0.0126
2020-04-03,0.0159
2020-04-06,-0.0067
2020-04-07,0.0192
2020-04-08,0.0043
2020-04-09,-0.0175
2020-04-13,0.0106
2020-04-14,-0.0142
2020-04-15,0.0237
2020-04-16,0.0028
2020-04-17,-0.0204
2020-04-20,0.0129
2020-04-21,-0.0256
2020-04-22,0.0183
2020-04-23,-0.0094
2020-04-24,0.0147
2020-04-27,-0.0059
2020-04-28,0.0208
2020-04-29,0.0061
2020-04-30,-0.0193
2020-05-01,0.0132
2020-05-04,-0.0115
2020-05-05,0.0176
2020-05-06,0.0039
2020-05-07,-0.0168
2020-05-08,0.0094
2020-05-11,-0.0137
2020-05-12,0.0225
2020-05-13,0.0012
2020-05-14,-0.0186
2020-05-15,0.0148
2020-05-18,-0.0079
2020-05-19,0.0193
2020-05-20,-0.0124
2020-05-21,0.0152
2020-05-22,-0.0063
2020-05-26,0.0179
