"Date","Price","Open","High","Low","Vol.","Change %"
"08/28/2026","175,665","175,137","176,421","173,894","6.60B","0.30%"
"08/27/2026","175,135","174,584","175,558","173,661","7.12B","0.31%"
"08/26/2026","174,586","174,580","176,296","174,208","8.85B","0.01%"
"08/25/2026","174,577","171,898","174,785","171,179","9.45B","1.55%"
"08/24/2026","171,907","171,031","173,109","169,330","8.44B","0.51%"
"08/21/2026","171,032","167,928","171,980","167,928","10.81B","1.85%"
"08/20/2026","167,927","167,827","169,752","166,966","10.13B","0.06%"
"08/19/2026","167,830","166,337","170,341","166,335","9.25B","0.90%"
"08/18/2026","166,335","166,789","168,389","166,211","7.60B","-0.27%"
"08/17/2026","166,784","166,933","168,007","166,464","9.04B","-0.09%"
"08/14/2026","166,934","167,099","167,099","164,835","10.88B","-0.10%"
"08/13/2026","167,101","167,489","168,515","166,197","10.72B","-0.23%"
"08/12/2026","167,491","167,878","168,310","167,142","10.59B","-0.23%"
"08/11/2026","167,875","172,180","172,386","167,569","9.89B","-2.50%"
"08/10/2026","172,180","172,513","172,936","171,524","7.83B","-0.19%"
"08/07/2026","172,513","175,546","176,117","172,131","9.16B","-1.73%"
"08/06/2026","175,546","177,720","177,720","175,515","7.93B","-1.23%"
"08/05/2026","177,726","177,896","180,195","177,690","7.61B","-0.09%"
"08/04/2026","177,895","178,003","180,679","177,581","7.97B","-0.06%"
"08/03/2026","178,000","178,009","178,557","176,783","7.36B","0.00%"
"07/31/2026","177,999","177,060","178,719","177,014","5.88B","0.47%"
"07/30/2026","177,159","173,891","177,159","173,885","7.20B","1.88%"
"07/29/2026","173,885","176,564","176,564","173,885","7.34B","-1.52%"
"07/28/2026","176,565","175,326","178,539","175,326","6.74B","0.70%"
"07/27/2026","175,334","174,048","175,555","174,048","5.84B","0.74%"
"07/24/2026","174,042","176,720","176,720","174,042","5.42B","-1.52%"
"07/23/2026","176,724","177,546","177,896","176,293","6.35B","-0.46%"
"07/22/2026","177,548","173,330","177,641","173,328","7.44B","2.44%"
"07/21/2026","173,326","173,372","173,720","172,219","5.86B","-0.03%"
"07/20/2026","173,371","173,714","174,311","173,222","5.03B","-0.20%"
