"Date","Price","Open","High","Low","Vol.","Change %"
"08/28/2026","118,173.36","116,806.24","118,515.48","116,803.28","201.10M","1.17%"
"08/27/2026","116,806.24","116,813.45","117,283.39","116,409.34","233.21M","-0.01%"
"08/26/2026","116,813.45","116,828.14","117,310.34","116,621.62","215.46M","-0.01%"
"08/25/2026","116,828.14","116,712.04","116,917.19","115,987.68","216.56M","0.10%"
"08/24/2026","116,712.04","117,747.80","118,182.27","116,712.04","269.71M","-0.88%"
"08/21/2026","117,747.80","115,659.23","118,473.55","115,657.73","274.71M","1.81%"
"08/20/2026","115,659.23","116,051.14","116,411.55","114,209.22","229.11M","-0.34%"
"08/19/2026","116,051.14","113,323.45","116,248.20","113,201.64","212.09M","2.41%"
"08/18/2026","113,323.45","114,672.93","114,871.81","113,323.45","223.43M","-1.18%"
"08/17/2026","114,672.93","114,060.88","114,996.75","114,056.88","153.67M","0.54%"
"08/14/2026","114,060.88","114,115.15","114,214.30","113,455.96","180.82M","-0.05%"
"08/13/2026","114,115.15","114,980.89","114,980.89","113,757.59","238.48M","-0.75%"
"08/12/2026","114,980.89","115,942.72","116,302.50","114,973.97","241.40M","-0.83%"
"08/11/2026","115,942.72","117,518.36","117,774.19","115,942.72","238.17M","-1.34%"
"08/07/2026","117,518.36","115,306.31","117,882.32","115,203.41","188.62M","1.92%"
"08/06/2026","115,306.31","115,415.67","115,789.99","114,930.00","219.97M","-0.09%"
"08/05/2026","115,415.67","114,256.28","115,828.89","114,256.28","201.80M","1.01%"
"08/04/2026","114,256.28","112,675.43","114,293.91","112,645.51","211.50M","1.40%"
"08/03/2026","112,675.43","112,032.40","112,675.43","111,922.67","223.53M","1.06%"
"07/31/2026","111,493.10","111,982.77","112,553.31","110,800.45","304.63M","-0.34%"
"07/30/2026","111,872.70","110,111.95","112,138.74","109,663.53","185.21M","1.30%"
"07/29/2026","110,440.34","111,214.41","111,216.29","109,904.12","175.35M","0.49%"
"07/28/2026","109,904.12","109,736.12","110,401.98","109,378.07","205.67M","-0.19%"
"07/27/2026","110,109.60","111,013.35","111,057.45","109,398.05","196.07M","0.65%"
"07/24/2026","109,398.05","108,060.31","109,661.46","107,979.85","201.36M","0.98%"
"07/23/2026","108,335.05","109,056.35","109,682.63","107,554.27","256.90M","-1.23%"
"07/22/2026","109,682.63","109,123.62","109,875.56","108,645.96","224.74M","0.64%"
"07/21/2026","108,980.05","109,928.09","110,153.92","108,413.22","191.06M","0.04%"
"07/20/2026","108,936.20","109,758.12","110,012.67","108,849.96","142.97M","-0.58%"
"07/17/2026","109,569.92","109,895.33","110,337.36","108,896.66","168.27M","-0.70%"
"07/16/2026","110,337.36","110,348.12","111,575.88","110,049.29","156.38M","0.04%"
"07/15/2026","110,288.71","110,442.51","110,756.05","109,720.97","186.03M","-0.26%"
"07/14/2026","110,572.86","109,811.09","110,572.86","108,911.23","204.76M","0.52%"
"07/13/2026","110,003.37","109,649.04","110,436.23","109,336.85","136.52M","-0.32%"
"07/10/2026","110,355.39","109,658.53","110,385.81","109,488.65","178.11M","0.79%"
"07/09/2026","109,488.65","109,254.11","110,049.74","108,349.44","220.20M","1.05%"
"07/08/2026","108,349.44","110,061.30","110,325.45","107,262.72","239.97M","-1.79%"
"07/07/2026","110,325.45","110,747.47","111,265.20","110,089.31","165.14M","-0.75%"
"07/06/2026","111,164.03","111,491.27","112,139.99","110,566.61","181.41M","-0.31%"
"07/03/2026","111,507.32","111,597.84","111,988.73","110,449.25","176.66M","0.96%"
"07/02/2026","110,449.25","109,466.47","111,448.47","109,466.47","290.59M","0.76%"
"07/01/2026","109,613.16","109,909.83","110,428.01","108,733.17","274.24M","-0.64%"
"06/30/2026","110,313.85","110,402.68","110,716.49","109,807.58","267.29M","0.04%"
"06/29/2026","110,271.44","110,841.29","111,404.33","110,125.31","165.67M","0.04%"
"06/26/2026","110,230.96","110,559.84","110,728.51","110,059.20","179.94M","-0.60%"
"06/25/2026","110,900.74","109,646.41","111,500.31","109,646.41","193.34M","0.98%"
"06/24/2026","109,828.87","111,725.92","111,804.05","109,558.79","234.23M","-1.62%"
"06/23/2026","111,634.87","110,708.67","112,033.92","110,265.94","238.54M","-0.97%"
"06/22/2026","112,730.22","113,287.48","113,558.49","112,319.49","178.83M","0.11%"
"06/19/2026","112,610.79","114,192.59","114,316.21","112,520.41","516.89M","-2.08%"
"06/18/2026","114,997.71","115,504.87","115,513.43","113,771.35","445.95M","-0.89%"
"06/17/2026","116,024.72","115,174.99","116,493.60","115,099.13","226.04M","0.41%"
"06/15/2026","115,556.19","114,554.81","116,302.54","114,554.81","272.92M","2.51%"
"06/12/2026","112,721.27","112,204.90","112,900.98","111,356.16","259.81M","2.24%"
"06/11/2026","110,253.85","109,456.95","110,637.53","109,227.80","250.30M","0.60%"
"06/10/2026","109,593.41","110,780.15","110,780.15","109,202.20","183.73M","-1.38%"
"06/09/2026","111,129.58","111,140.05","112,228.76","110,879.54","222.26M","0.04%"
"06/08/2026","111,089.93","110,338.64","111,446.82","110,338.64","203.85M","-0.17%"
"06/05/2026","111,275.44","112,437.28","113,207.47","111,130.83","","-1.05%"
"06/04/2026","112,453.45","112,796.44","113,206.37","112,222.73","219.43M","-0.47%"
"06/03/2026","112,987.06","113,784.77","114,006.15","112,672.11","220.30M","-0.89%"
"06/02/2026","114,006.15","113,294.17","114,464.01","112,032.26","345.43M","1.76%"
"06/01/2026","112,032.26","114,557.53","114,632.29","112,032.26","212.29M","-2.27%"
"05/29/2026","114,632.29","115,745.19","115,745.19","114,363.89","357.73M","-0.40%"
"05/28/2026","115,096.47","114,159.01","115,426.89","113,831.09","171.19M","-0.29%"
"05/27/2026","115,426.89","115,583.40","115,880.76","114,834.42","211.59M","-0.34%"
"05/26/2026","115,818.32","115,481.37","116,148.46","114,702.38","231.77M","-0.15%"
"05/25/2026","115,994.17","114,704.67","116,278.49","114,704.67","162.95M","2.45%"
"05/22/2026","113,215.96","114,725.86","115,024.40","112,781.54","285.59M","-0.73%"
"05/21/2026","114,052.91","114,268.44","114,802.96","113,556.26","235.82M","-0.51%"
"05/20/2026","114,634.05","113,830.89","115,020.15","113,654.22","208.99M","0.86%"
"05/19/2026","113,654.22","115,035.37","115,483.96","113,603.09","305.89M","-1.10%"
"05/18/2026","114,913.20","114,228.73","115,576.42","113,594.82","192.61M","0.32%"
"05/15/2026","114,544.37","116,047.80","117,362.40","114,223.43","252.27M","-2.40%"
"05/14/2026","117,362.40","117,615.64","118,618.06","116,962.60","156.34M","-0.02%"
"05/13/2026","117,380.17","117,642.93","118,276.23","116,001.89","195.51M","0.53%"
"05/12/2026","116,762.58","117,344.59","118,443.05","115,981.67","243.24M","-1.42%"
"05/11/2026","118,443.05","117,673.72","119,038.15","117,145.77","270.53M","0.47%"
"05/08/2026","117,888.93","118,158.45","119,153.90","117,052.60","181.75M","-1.06%"
"05/07/2026","119,153.90","119,739.05","120,099.03","118,829.07","251.40M","-0.01%"
"05/06/2026","119,165.54","116,254.42","119,970.83","115,017.05","319.66M","3.61%"
"05/05/2026","115,017.05","114,906.50","115,880.23","114,592.68","241.04M","0.31%"
"05/04/2026","114,660.79","115,112.27","115,885.69","114,499.17","178.19M","-0.45%"
"04/30/2026","115,180.53","113,856.06","116,044.87","113,720.27","275.68M","1.15%"
"04/29/2026","113,865.92","114,630.12","115,111.43","113,461.27","219.98M","-0.47%"
"04/28/2026","114,400.33","115,397.32","116,565.97","114,326.37","242.93M","-1.86%"
"04/24/2026","116,565.97","116,165.47","117,273.25","115,834.78","207.91M","0.10%"
"04/23/2026","116,449.09","117,209.42","118,068.33","116,033.18","179.64M","-1.37%"
"04/22/2026","118,068.33","119,077.10","119,078.49","117,775.24","189.94M","-0.29%"
"04/21/2026","118,412.24","119,606.15","120,005.25","118,412.24","217.05M","-1.33%"
"04/20/2026","120,005.25","119,811.97","121,249.37","119,482.38","166.59M","-1.03%"
"04/17/2026","121,249.37","118,335.61","121,524.97","118,085.19","331.81M","2.13%"
"04/16/2026","118,718.54","119,900.65","119,914.33","118,498.46","199.85M","-0.53%"
"04/15/2026","119,353.22","120,074.81","120,074.81","119,065.47","250.40M","-0.37%"
"04/14/2026","119,795.83","119,390.28","120,415.76","118,486.97","229.25M","1.10%"
"04/13/2026","118,486.97","117,766.77","119,025.13","117,359.97","180.18M","-0.45%"
"04/10/2026","119,025.13","118,458.22","119,645.84","117,696.44","153.60M","0.69%"
"04/09/2026","118,205.04","118,960.34","119,524.15","117,745.20","237.70M","-1.10%"
"04/08/2026","119,524.15","117,290.23","122,283.41","114,967.70","504.99M","3.96%"
"04/07/2026","114,967.70","115,848.30","116,122.75","114,153.09","240.96M","-0.99%"
"04/02/2026","116,122.75","114,368.59","116,600.36","113,200.48","207.35M","-0.41%"
"04/01/2026","116,600.36","116,686.56","117,649.68","114,067.56","316.05M","2.22%"
"03/31/2026","114,067.56","112,470.02","114,314.05","112,418.36","313.46M","1.47%"
"03/30/2026","112,418.36","112,276.86","112,511.86","111,194.33","294.59M","0.57%"
"03/27/2026","111,777.98","113,102.91","113,160.58","110,301.27","281.48M","-0.95%"
"03/26/2026","112,847.23","113,203.30","114,312.68","111,320.22","284.50M","-1.28%"
"03/25/2026","114,312.68","112,089.64","114,762.26","110,804.74","385.22M","3.17%"
"03/24/2026","110,804.74","110,265.67","111,001.30","109,299.98","313.34M","0.31%"
"03/23/2026","110,460.06","108,544.10","111,422.12","106,178.72","419.10M","0.35%"
"03/20/2026","110,070.23","110,782.46","113,356.47","110,070.23","747.61M","-0.45%"
"03/19/2026","110,572.12","112,717.72","113,709.76","108,640.61","603.37M","-2.76%"
"03/18/2026","113,709.76","117,256.19","117,701.82","113,126.22","338.96M","-3.02%"
"03/17/2026","117,252.45","116,326.55","117,350.79","115,774.93","350.92M","0.59%"
"03/16/2026","116,562.25","115,576.28","116,981.86","114,320.41","356.76M","1.43%"
"03/13/2026","114,924.21","117,078.79","117,078.79","114,924.21","364.96M","-1.73%"
"03/12/2026","116,948.44","117,158.73","118,091.70","115,663.62","265.27M","-0.38%"
"03/11/2026","117,398.52","119,080.44","119,606.91","115,746.70","306.55M","-1.85%"
"03/10/2026","119,606.91","118,858.13","120,689.51","116,785.77","360.93M","2.42%"
"03/09/2026","116,785.77","115,505.98","117,226.80","115,234.81","477.15M","0.17%"
"03/06/2026","116,583.41","120,630.46","120,760.94","116,047.28","314.13M","-2.98%"
"03/05/2026","120,167.42","122,284.06","122,284.06","119,579.12","268.14M","-0.78%"
"03/04/2026","121,114.33","120,993.84","122,538.61","119,962.82","289.64M","0.96%"
"03/03/2026","119,962.82","126,324.48","126,991.00","119,891.72","348.43M","-5.53%"
"03/02/2026","126,991.00","128,895.03","129,339.03","126,571.57","269.63M","-1.14%"
"02/27/2026","128,455.68","128,780.96","128,780.96","126,583.84","442.00M","1.48%"
"02/26/2026","126,583.84","126,798.60","127,467.05","126,516.61","260.01M","-0.13%"
"02/25/2026","126,742.36","126,456.26","127,186.71","125,162.06","197.78M","1.26%"
"02/24/2026","125,162.06","124,601.52","125,294.57","124,083.39","187.87M","0.09%"
"02/23/2026","125,052.11","124,002.03","125,304.20","123,022.03","204.20M","1.65%"
"02/20/2026","123,022.03","122,192.20","123,356.35","121,844.58","201.31M","0.97%"
"02/19/2026","121,844.58","122,737.81","123,199.41","120,909.06","237.59M","-0.55%"
"02/18/2026","122,517.32","120,466.76","122,517.32","119,410.04","233.08M","2.60%"
"02/17/2026","119,410.04","120,385.27","120,988.65","119,410.04","219.36M","-1.30%"
"02/16/2026","120,988.65","120,545.38","121,552.44","120,545.38","203.15M","0.34%"
"02/13/2026","120,584.07","120,851.02","122,213.40","119,905.61","230.49M","-1.33%"
"02/12/2026","122,213.40","121,484.76","122,608.70","121,366.53","217.11M","0.38%"
"02/11/2026","121,752.86","121,450.89","122,194.92","120,886.62","224.65M","0.72%"
"02/10/2026","120,886.62","120,750.70","121,264.58","119,642.86","218.34M","0.51%"
"02/09/2026","120,276.83","121,057.03","121,057.03","119,300.01","206.33M","0.19%"
"02/06/2026","120,051.24","117,608.60","120,235.69","117,608.60","227.92M","1.27%"
"02/05/2026","118,539.92","119,293.75","120,813.77","117,759.01","337.94M","-1.88%"
"02/04/2026","120,813.77","121,238.30","121,755.26","120,516.30","270.55M","0.25%"
"02/03/2026","120,516.30","120,289.81","121,091.60","118,902.86","315.79M","1.36%"
"02/02/2026","118,902.86","118,886.04","120,045.73","112,738.82","333.04M","-0.95%"
"01/30/2026","120,045.73","123,858.13","125,249.08","120,045.73","417.52M","-4.15%"
"01/29/2026","125,249.08","126,213.67","126,936.57","125,065.26","289.66M","0.14%"
