"Date","Price","Open","High","Low","Vol.","Change %"
"08/28/2026","24,175.65","24,122.60","24,188.30","24,076.85","296.13M","0.35%"
"08/27/2026","24,090.85","24,277.60","24,297.45","24,090.85","323.42M","-0.48%"
"08/26/2026","24,207.75","24,341.95","24,378.60","24,207.75","244.79M","-0.52%"
"08/25/2026","24,334.55","24,175.75","24,334.55","24,115.45","239.45M","0.48%"
"08/24/2026","24,219.05","24,285.05","24,313.00","24,144.30","236.29M","-0.14%"
"08/21/2026","24,252.00","24,284.05","24,284.05","24,206.80","259.28M","0.08%"
"08/20/2026","24,231.85","24,225.45","24,265.15","24,184.55","253.92M","0.64%"
"08/19/2026","24,078.30","24,152.05","24,172.85","24,025.65","238.72M","-0.32%"
"08/18/2026","24,154.90","24,223.85","24,269.65","24,154.90","227.03M","-0.55%"
"08/17/2026","24,287.65","24,343.45","24,360.10","24,226.95","225.43M","-0.32%"
"08/14/2026","24,366.00","24,361.90","24,405.20","24,296.80","267.71M","-0.12%"
"08/13/2026","24,395.85","24,431.60","24,431.60","24,311.40","295.82M","-0.16%"
"08/12/2026","24,435.95","24,472.45","24,473.30","24,265.95","317.55M","-0.15%"
"08/11/2026","24,471.70","24,575.10","24,576.85","24,429.25","271.77M","-0.46%"
"08/10/2026","24,583.80","24,581.25","24,620.95","24,511.10","269.51M","0.05%"
"08/07/2026","24,570.65","24,538.90","24,630.40","24,522.75","254.82M","-0.27%"
"08/06/2026","24,636.00","24,641.00","24,677.05","24,604.15","343.99M","0.05%"
"08/05/2026","24,624.65","24,669.20","24,677.60","24,497.95","355.52M","0.04%"
"08/04/2026","24,614.90","24,703.90","24,703.90","24,427.95","296.49M","-0.64%"
"08/03/2026","24,774.30","24,572.70","24,774.30","24,515.15","342.28M","1.60%"
"07/31/2026","24,383.60","24,361.45","24,429.40","24,299.70","411.69M","0.27%"
"07/30/2026","24,317.15","24,249.55","24,342.95","24,187.10","400.64M","0.28%"
