"Date","Price","Open","High","Low","Vol.","Change %"
"08/28/2026","3,952.18","3,950.24","3,970.31","3,947.80","51.06B","-0.11%"
"08/27/2026","3,956.57","3,911.89","3,958.03","3,909.31","51.68B","1.13%"
"08/26/2026","3,912.52","3,881.74","3,926.44","3,881.74","48.96B","0.59%"
"08/25/2026","3,889.44","3,863.37","3,896.21","3,850.86","46.41B","0.19%"
"08/24/2026","3,882.01","3,902.70","3,910.24","3,855.35","48.69B","-0.59%"
"08/21/2026","3,905.20","3,891.18","3,912.13","3,883.79","44.69B","0.04%"
"08/20/2026","3,903.72","3,907.21","3,925.06","3,888.10","50.66B","0.24%"
"08/19/2026","3,894.42","3,952.12","3,961.14","3,879.58","57.22B","-2.40%"
"08/18/2026","3,990.30","3,979.49","3,994.18","3,955.60","51.12B","0.19%"
"08/17/2026","3,982.65","3,930.10","3,983.51","3,924.47","48.98B","1.41%"
"08/14/2026","3,927.18","3,930.02","3,932.64","3,903.70","49.95B","0.01%"
"08/13/2026","3,926.96","3,957.16","3,968.48","3,924.64","57.28B","-0.50%"
"08/12/2026","3,946.68","3,933.55","3,950.62","3,927.55","50.33B","0.32%"
"08/11/2026","3,934.09","3,950.71","3,966.39","3,930.64","52.95B","-0.82%"
"08/10/2026","3,966.59","3,943.82","3,967.59","3,938.63","54.21B","0.67%"
"08/07/2026","3,940.04","3,896.49","3,940.93","3,885.62","56.50B","1.02%"
"08/06/2026","3,900.35","3,864.27","3,902.05","3,864.27","58.86B","0.57%"
"08/05/2026","3,878.43","3,815.12","3,884.40","3,815.12","59.22B","1.47%"
"08/04/2026","3,822.28","3,816.37","3,831.94","3,799.52","54.03B","0.33%"
"08/03/2026","3,809.66","3,812.61","3,827.64","3,797.64","52.45B","-0.59%"
"07/31/2026","3,832.26","3,833.54","3,847.09","3,822.37","59.75B","0.72%"
"07/30/2026","3,804.69","3,812.11","3,839.34","3,767.50","59.23B","-0.62%"
