"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","108,649.81","108,086.19","109,156.96","107,830.67","347.46M","0.66%"
"09/30/2025","107,940.48","107,506.66","108,110.39","106,750.40","341.89M","0.65%"
"09/29/2025","107,243.58","107,914.92","107,914.92","106,700.14","236.95M","0.51%"
"09/26/2025","106,700.14","106,241.37","106,893.82","105,565.98","233.07M","0.85%"
"09/25/2025","105,803.18","106,005.40","106,693.24","105,647.81","296.33M","-0.83%"
"09/23/2025","106,693.24","106,352.91","106,828.29","105,963.07","297.35M","0.69%"
"09/22/2025","105,963.07","106,968.14","106,968.14","105,594.82","244.56M","-0.14%"
"09/19/2025","106,110.83","105,675.58","106,110.83","104,983.85","646.97M","0.65%"
"09/18/2025","105,422.83","104,504.81","105,898.85","104,504.81","444.32M","0.05%"
"09/17/2025","105,367.88","104,845.19","105,446.04","104,257.46","259.34M","0.46%"
"09/16/2025","104,884.98","105,486.83","105,486.83","104,644.52","358.09M","0.20%"
"09/15/2025","104,675.38","104,388.64","104,754.05","104,093.54","221.84M","0.21%"
"09/12/2025","104,458.36","104,456.25","104,613.93","103,927.36","305.23M","0.51%"
"09/11/2025","103,927.36","103,544.26","104,081.91","102,800.93","262.01M","0.33%"
"09/10/2025","103,587.74","103,380.19","103,659.82","103,131.08","283.47M","0.35%"
"09/09/2025","103,227.66","103,181.24","103,759.84","102,771.76","321.06M","0.44%"
"09/08/2025","102,771.76","102,223.26","102,771.76","101,532.28","263.98M","1.22%"
"09/05/2025","101,532.28","101,080.10","102,173.57","100,432.95","295.79M","1.09%"
"09/04/2025","100,432.95","101,287.26","101,540.16","100,432.95","454.16M","-1.07%"
"09/03/2025","101,514.87","101,887.52","101,887.52","100,586.22","344.41M","0.34%"
"09/02/2025","101,167.18","102,405.10","102,405.10","100,589.31","329.39M","-0.72%"
"09/01/2025","101,899.00","102,500.98","102,741.69","101,835.59","283.83M","0.06%"
"08/29/2025","101,835.59","101,850.63","102,110.69","101,398.39","301.52M","-0.02%"
"08/28/2025","101,858.90","102,053.94","102,625.06","101,658.56","281.12M","-0.14%"
"08/27/2025","102,006.75","102,409.17","102,433.16","101,725.29","271.76M","-0.42%"
"08/26/2025","102,433.16","102,856.71","102,978.47","102,157.31","834.00M","-0.53%"
"08/25/2025","102,978.47","102,927.25","103,265.96","102,723.50","210.16M","0.25%"
"08/22/2025","102,723.50","102,007.28","102,723.50","101,750.49","256.47M","0.96%"
"08/21/2025","101,750.49","101,379.74","101,866.63","101,055.87","235.40M","0.69%"
"08/20/2025","101,055.87","100,758.44","101,196.15","100,640.26","233.76M","-0.14%"
"08/19/2025","101,196.15","101,041.08","101,727.26","100,898.14","233.45M","0.05%"
"08/18/2025","101,142.62","102,296.47","102,296.47","101,142.62","196.30M","-0.79%"
"08/15/2025","101,950.32","102,348.94","102,462.70","101,792.37","186.03M","-0.04%"
"08/14/2025","101,993.04","102,193.92","102,553.36","101,529.98","228.25M","-0.28%"
"08/13/2025","102,278.42","101,777.12","102,639.58","101,271.16","254.47M","0.99%"
"08/12/2025","101,271.16","100,810.23","101,386.53","100,630.37","216.25M","0.64%"
"08/11/2025","100,630.37","100,714.75","101,090.13","100,254.87","225.35M","-0.22%"
"08/08/2025","100,855.21","100,630.17","101,058.47","100,603.70","283.44M","0.21%"
"08/07/2025","100,643.36","100,323.35","100,962.91","100,152.77","318.29M","0.49%"
"08/06/2025","100,152.77","99,907.21","100,347.25","99,674.14","212.65M","0.48%"
"08/05/2025","99,674.14","99,760.36","100,092.12","99,312.06","294.69M","0.36%"
"08/04/2025","99,312.06","98,631.52","99,312.06","97,744.15","280.71M","1.60%"
"08/01/2025","97,744.15","98,249.25","98,519.51","97,010.47","269.72M","-0.79%"
"07/31/2025","98,519.51","98,820.01","99,358.90","98,519.51","366.38M","-0.80%"
"07/30/2025","99,314.70","99,043.66","99,430.73","98,827.33","203.46M","0.15%"
"07/29/2025","99,165.06","98,891.04","99,456.26","98,692.31","242.70M","0.47%"
"07/28/2025","98,696.39","99,338.36","99,402.24","98,482.87","188.24M","-0.22%"
"07/25/2025","98,918.87","99,619.88","99,971.12","98,848.18","386.86M","-1.05%"
"07/24/2025","99,971.12","100,133.24","100,521.22","99,463.92","393.50M","-0.21%"
"07/23/2025","100,179.84","100,107.68","100,504.10","99,324.53","337.02M","0.86%"
"07/22/2025","99,324.53","99,567.61","99,653.78","98,822.95","2.00B","-0.33%"
"07/21/2025","99,653.78","98,813.92","99,658.14","98,687.07","258.36M","0.98%"
"07/18/2025","98,687.07","97,886.10","98,867.38","97,353.34","283.94M","1.37%"
"07/17/2025","97,353.34","97,263.80","97,374.64","97,001.62","274.37M","0.30%"
"07/16/2025","97,064.25","97,021.53","97,194.13","96,484.39","259.98M","0.05%"
"07/15/2025","97,019.36","97,254.36","97,653.63","96,799.66","231.98M","0.23%"
"07/14/2025","96,799.66","97,459.64","97,459.64","96,685.30","222.87M","-0.43%"
"07/11/2025","97,221.58","97,819.07","97,819.07","96,703.60","237.37M","-0.15%"
"07/10/2025","97,364.46","97,551.19","98,140.32","97,230.02","195.66M","0.14%"
"07/09/2025","97,230.02","96,888.32","97,583.38","96,888.32","182.23M","-0.03%"
"07/08/2025","97,255.74","97,538.47","97,878.81","97,167.82","253.94M","-0.11%"
"07/07/2025","97,363.36","96,967.21","97,375.13","96,461.90","146.59M","0.19%"
"07/04/2025","97,182.71","96,977.71","97,186.58","96,711.91","124.97M","0.25%"
"07/03/2025","96,937.03","96,968.28","97,284.25","96,609.37","204.04M","0.34%"
"07/02/2025","96,609.37","96,958.19","97,178.55","95,962.01","273.04M","-0.31%"
"07/01/2025","96,911.35","96,984.09","97,300.39","96,429.74","233.61M","0.50%"
"06/30/2025","96,429.74","96,098.65","96,706.28","95,862.28","284.14M","0.59%"
"06/27/2025","95,862.28","96,010.73","96,010.73","95,342.00","256.99M","-0.11%"
"06/26/2025","95,968.26","95,774.03","96,315.73","95,311.22","316.00M","0.69%"
"06/25/2025","95,311.22","95,991.55","96,526.09","94,905.64","297.04M","-0.60%"
"06/24/2025","95,887.03","95,448.53","96,100.77","95,128.20","247.66M","0.80%"
"06/23/2025","95,128.20","94,283.79","95,145.53","94,220.84","194.10M","0.44%"
"06/20/2025","94,710.48","94,819.50","95,527.61","94,710.48","593.88M","-0.22%"
"06/19/2025","94,914.70","94,554.68","94,992.81","94,047.47","343.80M","-0.08%"
"06/18/2025","94,992.81","94,361.01","95,182.82","94,013.92","231.46M","0.35%"
"06/17/2025","94,657.07","95,079.60","95,453.03","94,382.93","335.88M","-0.70%"
"06/13/2025","95,324.34","96,720.49","97,029.34","95,324.34","348.22M","-1.76%"
"06/12/2025","97,029.34","96,465.89","97,182.75","96,134.16","263.20M","0.65%"
"06/11/2025","96,404.14","96,881.31","97,094.28","96,053.16","265.74M","-0.26%"
"06/10/2025","96,657.00","96,577.79","97,055.12","96,407.34","311.95M","0.25%"
"06/09/2025","96,413.48","96,599.34","96,774.75","96,310.89","264.62M","0.05%"
"06/06/2025","96,366.08","96,797.22","96,901.34","96,336.01","260.76M","-0.05%"
"06/05/2025","96,411.77","95,910.14","96,776.84","95,650.16","284.04M","0.80%"
"06/04/2025","95,650.16","95,272.37","95,882.40","94,882.30","228.25M","0.81%"
"06/03/2025","94,882.30","94,812.01","95,097.13","94,545.87","","-0.29%"
"06/02/2025","95,162.33","94,290.33","95,162.33","94,256.84","221.26M","0.88%"
"05/30/2025","94,330.84","94,469.35","95,055.97","94,184.69","495.08M","-0.42%"
"05/29/2025","94,726.12","94,079.95","94,963.41","93,868.87","350.59M","0.91%"
"05/28/2025","93,868.87","93,602.18","94,315.72","93,590.33","215.02M","0.11%"
"05/27/2025","93,764.15","93,079.46","93,965.08","93,079.46","215.21M","0.04%"
"05/26/2025","93,724.31","93,595.29","94,203.95","93,492.61","139.90M","0.21%"
"05/23/2025","93,528.74","93,361.47","93,994.12","92,835.75","182.54M","0.42%"
"05/22/2025","93,135.11","93,193.17","93,397.44","92,490.41","230.85M","-0.28%"
"05/21/2025","93,397.44","93,294.26","93,827.39","92,763.22","267.44M","0.68%"
"05/20/2025","92,763.22","92,527.04","92,763.22","92,172.75","218.15M","0.29%"
"05/19/2025","92,492.11","92,505.19","92,696.70","91,753.14","195.78M","-0.14%"
"05/16/2025","92,618.55","92,483.94","92,618.55","92,084.64","184.84M","0.30%"
"05/15/2025","92,338.44","92,047.80","92,563.33","91,686.96","216.73M","-0.15%"
"05/14/2025","92,473.98","92,680.12","93,072.02","92,295.13","313.89M","-0.18%"
"05/13/2025","92,638.80","92,048.77","92,674.05","91,980.87","241.44M","0.51%"
"05/12/2025","92,170.83","92,476.35","92,992.11","91,861.21","226.52M","0.34%"
"05/09/2025","91,861.21","90,901.01","92,041.66","90,890.08","248.64M","1.07%"
"05/08/2025","90,890.08","91,452.63","91,857.58","90,890.08","191.13M","-0.66%"
"05/07/2025","91,496.59","91,981.38","92,412.94","91,478.34","277.84M","-0.58%"
"05/06/2025","92,027.51","92,628.63","92,653.29","91,004.45","235.81M","-0.04%"
"05/05/2025","92,063.06","92,304.55","92,596.54","91,831.61","245.46M","-0.29%"
"05/02/2025","92,332.59","91,408.27","92,702.80","91,408.27","178.45M","0.82%"
"04/30/2025","91,583.39","91,201.51","91,954.44","91,201.51","282.40M","0.30%"
"04/29/2025","91,311.15","90,654.20","91,447.71","90,654.20","194.00M","0.65%"
"04/25/2025","90,720.33","90,823.05","91,155.37","90,552.77","230.80M","0.19%"
"04/24/2025","90,552.77","89,527.92","90,647.95","89,485.72","276.46M","0.79%"
"04/23/2025","89,846.81","90,428.39","90,868.71","89,652.31","362.68M","-0.07%"
"04/22/2025","89,912.00","90,403.41","90,867.47","89,486.79","283.63M","0.48%"
"04/17/2025","89,486.79","89,839.73","89,936.74","89,216.04","253.19M","-0.23%"
"04/16/2025","89,696.69","89,466.10","90,534.36","89,407.05","247.86M","0.20%"
"04/15/2025","89,521.80","88,431.48","89,631.73","88,263.79","274.12M","0.91%"
"04/14/2025","88,717.11","87,149.86","88,717.11","86,406.46","305.21M","2.67%"
"04/11/2025","86,406.46","86,568.99","86,919.71","85,648.20","301.37M","0.42%"
"04/10/2025","86,041.54","84,776.98","86,704.45","82,485.81","461.90M","4.31%"
"04/09/2025","82,485.81","82,809.31","84,227.34","81,923.54","460.98M","-2.07%"
"04/08/2025","84,227.34","82,485.25","84,693.45","81,303.74","503.39M","2.51%"
"04/07/2025","82,161.52","79,356.56","83,629.39","77,165.00","533.24M","0.75%"
"04/04/2025","81,553.66","85,630.47","86,082.52","80,868.87","534.33M","-5.26%"
"04/03/2025","86,082.52","88,133.30","88,133.30","85,074.31","","-3.39%"
"04/02/2025","89,105.74","89,813.67","90,028.78","88,736.01","267.22M","-0.94%"
"04/01/2025","89,950.79","89,227.49","90,219.42","88,637.45","273.61M","1.48%"
"03/31/2025","88,637.45","89,466.54","89,572.58","88,595.99","274.67M","-1.04%"
"03/28/2025","89,572.58","89,792.15","90,154.19","89,360.77","212.87M","-0.36%"
"03/27/2025","89,897.64","89,851.27","89,994.03","89,261.29","240.20M","-0.03%"
"03/26/2025","89,926.53","89,830.51","90,310.71","89,622.16","218.68M","0.24%"
"03/25/2025","89,713.04","88,931.03","89,773.33","88,822.91","244.12M","0.82%"
"03/24/2025","88,985.61","89,218.50","89,781.45","88,958.96","229.99M","-0.60%"
"03/20/2025","89,518.75","89,640.49","90,264.13","89,395.76","770.06M","-0.70%"
"03/19/2025","90,149.69","88,876.00","90,464.39","88,876.00","308.85M","1.41%"
"03/18/2025","88,893.11","88,864.60","89,639.09","88,525.10","284.01M","0.42%"
"03/17/2025","88,525.10","87,692.82","88,547.93","87,692.82","273.30M","0.69%"
"03/14/2025","87,916.46","87,745.77","88,178.28","87,414.71","","0.97%"
"03/13/2025","87,067.75","86,952.81","87,300.44","86,703.33","300.09M","0.25%"
"03/12/2025","86,853.81","86,964.59","87,472.92","86,821.33","265.88M","-0.27%"
"03/11/2025","87,091.04","87,358.38","87,752.56","86,951.08","332.60M","-0.23%"
"03/10/2025","87,291.39","88,066.24","88,570.16","87,291.39","230.32M","-1.44%"
"03/07/2025","88,570.16","88,200.74","88,603.00","87,713.91","264.75M","0.35%"
"03/06/2025","88,260.08","88,777.48","88,930.31","87,717.58","259.78M","0.62%"
"03/05/2025","87,717.58","87,569.81","88,113.97","86,730.82","283.72M","1.14%"
"03/04/2025","86,730.82","87,389.73","87,564.82","86,634.32","273.04M","-0.95%"
"03/03/2025","87,564.82","86,485.40","87,848.52","85,942.71","244.04M","1.89%"
"02/28/2025","85,942.71","86,658.56","87,325.35","85,942.71","696.11M","-1.58%"
"02/27/2025","87,325.35","88,193.98","88,378.04","87,325.35","248.75M","-1.13%"
"02/26/2025","88,321.76","88,003.70","88,466.09","87,753.79","237.30M","0.65%"
"02/25/2025","87,753.79","87,067.06","88,058.60","87,067.06","242.08M","0.38%"
"02/24/2025","87,423.27","88,211.35","88,913.81","87,423.27","214.09M","-1.68%"
"02/21/2025","88,913.81","89,022.51","89,185.81","88,751.68","227.42M","0.05%"
"02/20/2025","88,873.33","88,408.95","88,953.94","88,261.96","287.23M","0.60%"
"02/19/2025","88,341.89","88,888.79","89,253.73","88,341.89","284.36M","-0.81%"
"02/18/2025","89,061.67","88,622.73","89,198.82","88,399.57","218.99M","0.75%"
"02/17/2025","88,399.57","89,010.76","89,031.43","88,033.00","189.73M","-0.36%"
"02/14/2025","88,717.13","88,634.49","89,008.21","87,841.46","211.75M","1.00%"
