"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","552.40","567.22","568.34","550.20","292.84K","-2.65%"
"09/30/2025","567.41","566.64","571.87","562.86","460.72K","-0.26%"
"09/29/2025","568.90","566.85","571.37","563.84","507.81K","0.62%"
"09/26/2025","565.42","565.82","572.79","564.13","579.93K","0.13%"
"09/25/2025","564.66","564.00","566.64","559.05","484.85K","-0.31%"
"09/24/2025","566.42","566.00","567.93","558.32","710.88K","-0.44%"
"09/23/2025","568.94","566.00","570.97","565.62","650.82K","0.15%"
"09/22/2025","568.06","559.00","571.73","557.00","838.72K","1.48%"
"09/19/2025","559.75","557.96","562.79","555.00","1.24M","0.68%"
"09/18/2025","555.98","579.31","579.99","548.09","1.60M","-3.92%"
"09/17/2025","578.64","568.81","585.40","568.81","875.45K","2.05%"
"09/16/2025","567.02","576.15","580.04","562.90","566.60K","-1.66%"
"09/15/2025","576.61","584.15","584.34","574.95","1.26M","-1.14%"
"09/12/2025","583.25","584.07","585.45","576.34","722.14K","-0.38%"
"09/11/2025","585.48","565.71","585.84","564.80","477.04K","3.96%"
"09/10/2025","563.18","571.77","571.77","558.98","648.75K","-1.05%"
"09/09/2025","569.16","571.99","574.50","567.90","671.18K","-0.94%"
"09/08/2025","574.58","557.73","576.16","554.91","922.81K","3.50%"
"09/05/2025","555.15","558.36","561.59","554.00","626.84K","-0.37%"
"09/04/2025","557.19","554.10","557.59","551.00","590.63K","1.01%"
"09/03/2025","551.61","552.60","558.44","549.09","898.66K","-0.42%"
"09/02/2025","553.91","560.66","565.79","548.00","845.44K","-2.43%"
"08/29/2025","567.72","568.80","571.64","565.53","499.01K","-0.15%"
"08/28/2025","568.55","571.05","572.13","568.39","521.74K","-0.28%"
"08/27/2025","570.15","571.49","575.27","569.71","333.06K","-0.22%"
"08/26/2025","571.43","572.88","572.91","562.93","425.11K","-0.40%"
"08/25/2025","573.72","573.46","577.45","569.93","532.53K","-0.19%"
"08/22/2025","574.83","571.12","580.23","566.69","380.11K","1.33%"
"08/21/2025","567.27","570.61","572.12","565.98","535.64K","-1.22%"
"08/20/2025","574.25","567.63","574.41","562.60","577.29K","1.07%"
"08/19/2025","568.16","556.00","570.01","555.33","685.21K","2.25%"
"08/18/2025","555.67","556.02","561.73","555.02","709.96K","-0.24%"
"08/15/2025","557.02","564.26","566.85","555.96","372.33K","-1.54%"
