"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","24,836.30","24,620.55","24,867.95","24,605.95","308.90M","0.92%"
"09/30/2025","24,611.10","24,691.95","24,731.80","24,587.70","303.04M","-0.10%"
"09/29/2025","24,634.90","24,728.55","24,791.30","24,606.20","394.39M","-0.08%"
"09/26/2025","24,654.70","24,818.55","24,868.60","24,629.45","291.54M","-0.95%"
"09/25/2025","24,890.85","25,034.50","25,092.70","24,878.30","342.53M","-0.66%"
"09/24/2025","25,056.90","25,108.75","25,149.85","25,027.45","244.38M","-0.45%"
"09/23/2025","25,169.50","25,209.00","25,261.90","25,084.65","299.20M","-0.13%"
"09/22/2025","25,202.35","25,238.10","25,331.70","25,151.05","254.51M","-0.49%"
"09/19/2025","25,327.05","25,410.20","25,428.75","25,286.30","380.36M","-0.38%"
"09/18/2025","25,423.60","25,441.05","25,448.95","25,329.75","272.19M","0.37%"
"09/17/2025","25,330.25","25,276.60","25,346.50","25,275.35","268.94M","0.36%"
"09/16/2025","25,239.10","25,073.60","25,261.40","25,070.45","240.12M","0.68%"
"09/15/2025","25,069.20","25,118.90","25,138.45","25,048.75","185.38M","-0.18%"
"09/12/2025","25,114.00","25,074.45","25,139.45","25,038.05","225.74M","0.43%"
"09/11/2025","25,005.50","24,945.50","25,037.30","24,940.15","224.57M","0.13%"
"09/10/2025","24,973.10","24,991.00","25,035.70","24,915.05","244.15M","0.42%"
"09/09/2025","24,868.60","24,864.10","24,891.80","24,814.00","226.92M","0.39%"
"09/08/2025","24,773.15","24,802.60","24,885.50","24,751.55","213.23M","0.13%"
"09/05/2025","24,741.00","24,818.85","24,832.35","24,621.60","210.07M","0.03%"
"09/04/2025","24,734.30","24,980.75","24,980.75","24,708.20","314.09M","0.08%"
"09/03/2025","24,715.05","24,616.50","24,737.05","24,533.20","340.28M","0.55%"
"09/02/2025","24,579.60","24,653.00","24,756.10","24,522.35","271.56M","-0.18%"
"09/01/2025","24,625.05","24,432.70","24,635.60","24,432.70","229.33M","0.81%"
