Date,Price,Open,High,Low,Vol.,Change %,LogReturn
2020-10-01,95479,"94,604","95,486","93,599",9.24M,0.93%,
2020-10-02,94016,"95,475","95,996","93,897",8.58M,-1.53%,-0.015441347466800608
2020-10-05,96089,"94,019","96,414","93,984",8.62M,2.20%,0.021809864773423636
2020-10-06,95615,"96,091","97,405","95,211",11.30M,-0.49%,-0.004945133809898205
2020-10-07,95526,"95,616","96,380","94,881",9.83M,-0.09%,-0.0009312497730149239
2020-10-08,97920,"95,530","97,938","95,530",11.16M,2.51%,0.02475235702209326
2020-10-09,97483,"97,924","98,642","97,161",10.81M,-0.45%,-0.004472814936866545
2020-10-13,98503,"97,483","98,998","97,336",7.87M,1.05%,0.01040900073988524
2020-10-14,99334,"98,502","99,571","98,501",8.90M,0.84%,0.00840090465713468
2020-10-15,99054,"99,328","99,486","97,778",8.34M,-0.28%,-0.0028227532503829187
2020-10-16,98309,"99,054","99,172","98,309",7.84M,-0.75%,-0.007549576551885578
2020-10-19,98658,"98,310","99,917","98,310",9.93M,0.36%,0.003543744538243082
2020-10-20,100540,"98,664","100,722","98,664",8.80M,1.91%,0.018896334304285188
2020-10-21,100552,"100,541","101,586","100,149",8.66M,0.01%,0.00011934835810712488
2020-10-22,101918,"100,553","102,020","100,457",9.56M,1.36%,0.01349356177486963
2020-10-23,101260,"101,918","102,218","101,188",7.56M,-0.65%,-0.006477101855642929
2020-10-26,101017,"101,260","101,784","99,762",8.07M,-0.24%,-0.002402647032509068
2020-10-27,99606,"101,017","101,660","99,414",8.67M,-1.40%,-0.014066415769260066
2020-10-28,95369,"99,598","99,598","95,369",11.05M,-4.25%,-0.0434688256817595
2020-10-29,96582,"95,368","96,688","93,387",12.70M,1.27%,0.012638810393912965
2020-10-30,93952,"96,579","96,579","93,559",10.64M,-2.72%,-0.027608374900151677
2020-11-03,95980,"93,968","96,350","93,968",10.19M,2.16%,0.021355822878103847
2020-11-04,97867,"95,992","98,296","95,987",10.70M,1.97%,0.019469577630901427
2020-11-05,100751,"97,873","100,922","97,872",10.46M,2.95%,0.029042712274846207
2020-11-06,100925,"100,751","101,104","99,837",8.38M,0.17%,0.0017255404031575653
2020-11-09,103515,"100,954","105,147","100,954",17.41M,2.57%,0.025338863001670365
2020-11-10,105067,"103,516","105,758","103,453",16.67M,1.50%,0.01488171215873943
2020-11-11,104809,"105,067","105,462","104,143",10.84M,-0.25%,-0.0024585958371694974
2020-11-12,102507,"104,810","105,019","102,034",10.86M,-2.20%,-0.02220855713269412
2020-11-13,104723,"102,509","104,726","102,509",9.77M,2.16%,0.021387680084518426
2020-11-16,106430,"104,729","106,518","104,729",11.72M,1.63%,0.016168723038883923
2020-11-17,107249,"106,430","107,810","105,847",10.31M,0.77%,0.007665741702380496
2020-11-18,106119,"107,246","107,467","106,043",10.34M,-1.05%,-0.010592127824577836
