Date,Price,Open,High,Low,Vol.,Change %,LogReturn
2006-08-30,22051.38,"21,670.24","22,051.38","21,670.24",149.47M,1.76%,
2006-08-31,21953.8,"22,051.38","22,183.62","21,833.09",180.40M,-0.44%,-0.004434939702061506
2006-09-01,22212.57,"21,953.80","22,250.81","21,947.09",144.86M,1.18%,0.01171809958808668
2006-09-04,22480.54,"22,212.57","22,496.99","22,189.09",108.59M,1.21%,0.011991701234763093
2006-09-05,22438.48,"22,480.54","22,549.01","22,348.20",144.51M,-0.19%,-0.0018727039143822235
2006-09-06,22375.73,"22,438.48","22,511.68","22,286.65",150.82M,-0.28%,-0.0028004528478767373
2006-09-07,21884.88,"22,375.73","22,375.73","21,855.98",179.22M,-2.19%,-0.022180901906887214
2006-09-08,21718.58,"21,884.88","21,983.41","21,643.81",163.95M,-0.76%,-0.007627872023847014
2006-09-11,21054.39,"21,718.58","21,718.58","21,054.39",149.18M,-3.06%,-0.031059025942779483
2006-09-12,21261.7,"21,054.39","21,368.36","20,847.63",174.22M,0.98%,0.009798242634108167
2006-09-13,21318.22,"21,261.70","21,412.84","21,231.10",155.39M,0.27%,0.0026547740435046772
2006-09-14,21471.2,"21,318.22","21,689.64","21,318.22",151.52M,0.72%,0.007150396139902454
2006-09-15,21380.78,"21,471.20","21,471.20","21,280.76",146.06M,-0.42%,-0.004220114645509881
2006-09-18,21418.43,"21,380.78","21,495.95","21,262.37",118.57M,0.18%,0.0017593787227315931
2006-09-19,21517.4,"21,418.43","21,637.39","21,418.43",161.67M,0.46%,0.004610143802393973
2006-09-20,21627.42,"21,517.40","21,627.42","21,155.31",160.36M,0.51%,0.005100043920561023
2006-09-21,21886.4,"21,627.42","22,012.63","21,627.42",330.10M,1.20%,0.011903485281827888
2006-09-22,22008.98,"21,886.40","22,217.60","21,886.40",174.96M,0.56%,0.005585112539918804
2006-09-26,22162.65,"22,008.98","22,181.41","21,811.33",188.62M,0.70%,0.006957887673969899
2006-09-27,22249.72,"22,162.65","22,454.46","22,162.65",174.94M,0.39%,0.003920984696472211
2006-09-28,22491.3,"22,249.72","22,493.78","22,236.15",137.46M,1.09%,0.010799143505472548
2006-09-29,22374.58,"22,491.30","22,718.27","22,337.99",186.18M,-0.52%,-0.005203074733854246
2006-10-02,22552.86,"22,374.58","22,594.47","22,374.58",114.39M,0.80%,0.007936394139806433
2006-10-03,22274.14,"22,552.86","22,552.86","22,198.73",136.11M,-1.24%,-0.012435522868550182
2006-10-04,22367.15,"22,274.14","22,421.38","22,226.62",142.33M,0.42%,0.004167000307768473
2006-10-05,22475.14,"22,367.15","22,591.86","22,354.98",159.27M,0.48%,0.0048164448677290046
2006-10-06,22511.61,"22,475.14","22,573.18","22,363.43",118.20M,0.16%,0.0016213666463770486
2006-10-09,22773.36,"22,511.61","22,773.36","22,407.71",108.53M,1.16%,0.011560255643553851
2006-10-10,22799.56,"22,773.36","22,882.94","22,673.58",149.33M,0.12%,0.0011498057568609425
2006-10-11,22679.38,"22,799.56","22,799.56","22,567.37",152.50M,-0.53%,-0.00528509590334523
2006-10-12,22751.49,"22,679.38","22,853.89","22,541.69",133.44M,0.32%,0.0031744961325601982
2006-10-13,22840.3,"22,751.49","22,920.03","22,695.41",153.93M,0.39%,0.0038958817949038115
2006-10-16,23141.09,"22,840.30","23,148.67","22,840.30",126.66M,1.32%,0.013083305684270576
2006-10-17,23155.11,"23,141.09","23,297.58","22,985.60",139.24M,0.06%,0.0006056652782985681
2006-10-18,23209.26,"23,155.11","23,327.08","23,130.23",139.85M,0.23%,0.0023358464536884682
2006-10-19,23254.9,"23,209.26","23,302.00","23,044.33",126.01M,0.20%,0.0019645255473654264
2006-10-20,23337.66,"23,254.90","23,505.31","23,254.90",106.82M,0.36%,0.003552502246615853
2006-10-23,23469.79,"23,337.66","23,469.79","23,260.80",95.40M,0.57%,0.005645697467305456
2006-10-24,23532.81,"23,469.79","23,553.72","23,409.65",128.95M,0.27%,0.0026815553932489906
2006-10-25,23489.48,"23,532.81","23,648.40","23,412.02",124.38M,-0.18%,-0.0018429562772953613
2006-10-26,23212.71,"23,489.48","23,573.31","23,212.71",160.40M,-1.18%,-0.011852687858524981
2006-10-27,23062.26,"23,212.71","23,317.10","22,955.09",148.07M,-0.65%,-0.006502458245126538
2006-10-30,23200.0,"23,062.26","23,248.29","22,930.63",97.86M,0.60%,0.005954763429731501
2006-10-31,23338.16,"23,200.00","23,353.64","23,129.61",171.83M,0.60%,0.005937510459853471
2006-11-01,23600.52,"23,338.16","23,696.86","23,338.16",201.11M,1.12%,0.01117895655500901
