Date,Price,Open,High,Low,Vol.,Change %,LogReturn
2006-08-30,1459.16,"1,450.43","1,466.58","1,450.41",,0.60%,
2006-08-31,1448.72,"1,459.18","1,474.25","1,443.61",,-0.72%,-0.007180519730554792
2006-09-01,1434.01,"1,448.72","1,453.72","1,431.33",,-1.02%,-0.010205692297138741
2006-09-04,1451.3,"1,434.05","1,453.38","1,431.26",,1.21%,0.011984990840368906
2006-09-05,1481.21,"1,451.30","1,482.21","1,442.70",,2.06%,0.020399614823094388
2006-09-06,1446.37,"1,481.19","1,481.21","1,443.30",,-2.35%,-0.023802352027042725
2006-09-07,1402.36,"1,446.31","1,446.37","1,395.64",,-3.04%,-0.030900437604920256
2006-09-08,1405.87,"1,402.36","1,413.85","1,395.30",,0.25%,0.0024997965464562126
2006-09-11,1349.28,"1,405.86","1,405.87","1,343.57",,-4.03%,-0.04108521138757325
2006-09-12,1371.58,"1,349.81","1,371.83","1,348.82",,1.65%,0.016392243145477988
2006-09-13,1384.16,"1,371.46","1,396.04","1,356.99",,0.92%,0.009130097460254833
2006-09-14,1381.32,"1,384.31","1,412.75","1,379.16",,-0.21%,-0.002053893717093221
2006-09-15,1369.59,"1,379.17","1,396.22","1,364.63",,-0.85%,-0.008528138756017916
2006-09-18,1384.47,"1,369.59","1,390.48","1,367.38",,1.09%,0.01080596994492595
2006-09-19,1396.07,"1,384.48","1,399.50","1,384.47",,0.84%,0.00834375142778261
2006-09-20,1369.4,"1,396.06","1,396.07","1,355.67",,-1.91%,-0.019288458644699195
2006-09-21,1347.78,"1,368.96","1,376.28","1,338.70",,-1.58%,-0.015913893281828836
2006-09-22,1300.21,"1,347.78","1,357.23","1,299.47",,-3.53%,-0.03593300453989949
2006-09-25,1255.48,"1,300.21","1,300.21","1,253.38",,-3.44%,-0.03500782030287986
2006-09-26,1305.77,"1,255.51","1,305.77","1,255.48",,4.01%,0.03927493550445234
2006-09-27,1333.55,"1,305.87","1,343.28","1,305.77",,2.13%,0.02105165416541647
2006-09-28,1368.09,"1,333.55","1,372.75","1,333.55",,2.59%,0.025571047259924394
2006-09-29,1367.24,"1,368.09","1,379.93","1,351.19",,-0.06%,-0.0006214972433746177
2006-10-02,1369.39,"1,367.27","1,384.65","1,358.84",,0.16%,0.0015712759432923258
2006-10-03,1334.56,"1,368.02","1,369.39","1,330.82",,-2.54%,-0.025763735698763505
2006-10-04,1338.27,"1,334.52","1,345.37","1,304.65",,0.28%,0.0027760855592307435
2006-10-05,1385.13,"1,338.70","1,396.21","1,338.27",,3.50%,0.03441626297995255
2006-10-06,1374.71,"1,385.14","1,390.05","1,363.06",,-0.75%,-0.00755119826717244
2006-10-09,1412.24,"1,374.72","1,412.95","1,367.00",,2.73%,0.026934296515714985
2006-10-10,1409.31,"1,412.20","1,421.11","1,394.20",,-0.21%,-0.0020768733874566916
2006-10-11,1417.9,"1,409.24","1,418.21","1,387.02",,0.61%,0.0060766808499415305
2006-10-12,1412.7,"1,417.70","1,417.90","1,399.65",,-0.37%,-0.003674136825893668
2006-10-13,1439.57,"1,413.23","1,440.68","1,412.70",,1.90%,0.018841690948141154
2006-10-16,1438.13,"1,439.69","1,450.99","1,426.53",,-0.10%,-0.0010007993329338074
2006-10-17,1424.1,"1,438.16","1,457.75","1,421.70",,-0.98%,-0.009803623307443997
2006-10-18,1448.47,"1,424.10","1,451.67","1,422.80",,1.71%,0.016967791689117696
2006-10-19,1455.07,"1,448.45","1,455.38","1,438.54",,0.46%,0.004546182499481617
2006-10-20,1442.83,"1,455.07","1,466.82","1,436.60",,-0.84%,-0.0084475466980776
2006-10-23,1439.74,"1,442.80","1,448.06","1,424.77",,-0.21%,-0.0021439210035295807
2006-10-24,1429.47,"1,439.78","1,444.66","1,416.24",,-0.71%,-0.007158795529091078
2006-10-25,1449.1,"1,429.47","1,449.10","1,424.38",,1.37%,0.013638927868595328
2006-10-26,1443.08,"1,449.11","1,462.94","1,437.50",,-0.42%,-0.004162955759310578
2006-10-27,1434.97,"1,443.07","1,444.39","1,420.02",,-0.56%,-0.005635775240723133
2006-10-30,1403.65,"1,434.97","1,434.97","1,400.54",,-2.18%,-0.022067956292731828
2006-10-31,1426.86,"1,403.66","1,427.11","1,399.46",,1.65%,0.016400238986116283
2006-11-01,1456.0,"1,426.87","1,458.18","1,426.86",,2.04%,0.020216724011402266
2006-11-02,1435.21,"1,455.99","1,456.00","1,432.82",,-1.43%,-0.014381769806362518
2006-11-03,1452.72,"1,435.20","1,454.65","1,434.13",,1.22%,0.012126481301272713
2006-11-07,1480.88,"1,453.12","1,488.66","1,452.72",,1.94%,0.019198844399888344
2006-11-08,1477.37,"1,480.88","1,484.38","1,468.62",,-0.24%,-0.002373025705833536
2006-11-09,1502.86,"1,477.41","1,505.11","1,477.37",,1.73%,0.017106479429668482
2006-11-10,1503.55,"1,502.86","1,506.76","1,487.28",,0.05%,0.0004590192369738807
2006-11-13,1500.3,"1,503.54","1,511.19","1,495.37",,-0.22%,-0.0021638905192708315
2006-11-14,1498.73,"1,500.30","1,507.75","1,490.18",,-0.10%,-0.0010470052939931136
