Date,Price,Open,High,Low,Vol.,Change %,LogReturn
01/02/2024,555.8,560.04,561.52,551.09,364.73K,-1.74%,
01/02/2025,597.13,601.5,603.76,595.09,390.34K,-0.48%,0.0717263278228095
01/03/2022,595.58,614.33,617.13,589.0,297.40K,-2.79%,-0.002599124468778718
01/03/2023,461.16,469.57,476.99,456.35,345.00K,-0.86%,-0.2557906662976811
01/03/2024,549.87,552.91,552.91,544.84,418.58K,-1.07%,0.1759368322871132
01/03/2025,601.48,597.88,602.94,595.94,243.76K,0.73%,0.08971139800225326
01/04/2021,437.64,450.76,455.03,433.41,408.56K,-1.99%,-0.31799663004553025
01/04/2022,591.13,605.17,606.32,584.03,381.71K,-0.75%,0.300639304767553
01/04/2023,474.12,466.02,475.15,462.38,427.22K,2.81%,-0.22057550516484248
01/04/2024,559.72,547.34,562.32,547.34,368.60K,1.79%,0.16597620447621306
01/05/2021,431.37,436.84,440.09,426.45,319.41K,-1.43%,-0.26047046817975333
01/05/2022,566.12,590.18,591.83,565.21,516.41K,-4.23%,0.2718398793578789
01/05/2023,459.12,467.98,471.85,459.08,324.99K,-3.16%,-0.20949445606553102
01/05/2024,538.05,556.2,560.21,536.35,447.09K,-3.87%,0.15863987884629402
01/06/2021,435.17,430.59,439.21,423.88,430.02K,0.88%,-0.21221473330424284
01/06/2022,562.98,562.6,566.0,550.22,680.77K,-0.55%,0.25750734418785504
01/06/2023,469.01,465.45,473.16,455.48,366.29K,2.15%,-0.18262001334942324
01/06/2025,596.66,601.48,604.93,596.54,359.57K,-0.80%,0.2407233467393228
01/07/2021,443.64,437.88,447.0,436.26,391.20K,1.95%,-0.2963340141833721
01/07/2022,552.0,562.98,566.16,551.68,551.65K,-1.95%,0.21853462354055445
01/07/2025,591.33,594.51,597.7,588.05,445.40K,-0.89%,0.06882619092985252
01/08/2021,452.68,443.65,454.06,443.64,305.18K,2.04%,-0.2671887631092071
01/08/2024,543.15,541.92,543.26,536.07,347.42K,0.95%,0.18220005078201892
01/08/2025,602.23,588.05,602.3,586.11,417.30K,1.84%,0.1032539072634645
01/09/2023,480.54,475.83,491.83,472.72,312.13K,2.46%,-0.22572896057957834
01/09/2024,539.75,537.83,546.7,537.82,358.18K,-0.63%,0.11619559783127079
01/10/2022,541.86,542.48,545.08,528.37,1.08M,-1.84%,0.0039015960958456004
01/10/2023,488.08,479.83,489.97,477.01,270.85K,1.57%,-0.10452833864716543
01/10/2024,546.66,541.63,546.83,538.0,243.42K,1.28%,0.11334771011022514
01/10/2025,575.73,589.53,595.0,573.7,447.95K,-4.40%,0.05181176384444354
01/11/2021,451.79,451.19,455.17,445.88,277.87K,-0.20%,-0.24242133069678876
01/11/2022,553.32,544.25,555.47,539.34,675.65K,2.11%,0.2027190259051377
01/11/2023,504.12,494.26,504.41,491.35,364.16K,3.29%,-0.09312216103732353
01/11/2024,550.28,549.78,554.78,546.1,867.59K,0.66%,0.08761290462350378
01/12/2021,453.19,450.48,455.81,449.13,391.63K,0.31%,-0.19411577599571356
01/12/2022,559.08,560.68,568.0,555.0,532.72K,1.04%,0.2099811120196246
01/12/2023,504.05,505.12,506.8,494.84,303.04K,-0.01%,-0.10361710611675523
01/12/2024,545.46,555.3,556.0,542.31,308.63K,-0.88%,0.07895400586187139
01/13/2021,438.4,453.32,454.0,435.58,414.00K,-3.26%,-0.21849773972801614
01/13/2022,533.41,559.04,564.04,530.56,567.82K,-4.59%,0.1961586235949159
01/13/2023,505.24,496.54,506.58,496.54,320.58K,0.24%,-0.05425679532294713
01/13/2025,580.52,574.0,581.67,570.25,410.44K,0.83%,0.1388906896963875
01/14/2021,409.52,439.39,441.95,408.81,813.30K,-6.59%,-0.34893851145283433
01/14/2022,526.74,530.25,530.28,517.29,564.28K,-1.25%,0.2517213260168446
01/14/2025,585.8,582.67,587.47,579.46,446.89K,0.91%,0.10627136622746065
01/15/2021,415.3,408.92,417.13,404.04,816.31K,1.41%,-0.34397728375692516
01/15/2025,601.0,596.67,602.71,593.32,504.14K,2.59%,0.3695937838984997
01/16/2024,542.47,541.07,543.52,536.08,604.42K,-0.55%,-0.10246215018883932
01/16/2025,609.97,603.44,610.89,598.74,425.39K,1.49%,0.11727699128372782
01/17/2023,510.28,505.54,512.08,499.32,332.32K,1.00%,-0.17845018096000695
01/17/2024,538.16,532.0,539.3,525.46,538.85K,-0.79%,0.05319631904726112
