dataset,model,mean_diff,std_diff,skewness_diff,kurtosis_diff,ks_statistic,ks_pvalue,wasserstein,acf_returns_mae,acf_absolute_mae,acf_squared_mae,tail_index_diff,extreme_events_diff,mse,mae,mean_diff_rank,std_diff_rank,skewness_diff_rank,kurtosis_diff_rank,ks_statistic_rank,ks_pvalue_rank,wasserstein_rank,acf_returns_mae_rank,acf_absolute_mae_rank,acf_squared_mae_rank,tail_index_diff_rank,extreme_events_diff_rank,mse_rank,mae_rank,avg_rank
BOVESPA,QuantGAN,0.1671271026134491,0.05089196935296059,0.66583570279181,0.7753376960754395,0.728,2.3962415162116635e-32,0.1671271049976349,0.048022606250484504,0.063719455383703,0.08149761807233576,11.180238723754883,11.200000000000001,0.04370799660682678,0.180230975151062,3.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.8571428571428572
BOVESPA,FinGAN,0.0887535959482193,0.0808326005935669,1.1948550939559937,0.3253612518310547,0.408,1.0828757559441906e-09,0.09059808516502381,0.17705229368819406,0.15104565837029968,0.19350000128390327,6.832442283630371,16.0,0.025441501289606094,0.12213631719350815,1.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0
BOVESPA,TimeGAN,0.0945381224155426,0.05991039797663689,5.812732100486755,26.58586883544922,0.952,6.999257973806794e-63,0.09512953096628189,0.143607048548743,0.15098796567068465,0.1532287796886052,17.903419494628906,78.4,0.012661709450185299,0.09548573940992355,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.142857142857143
FTSE,QuantGAN,0.20507337152957916,0.12479397654533386,2.064674496650696,2.674820899963379,0.736,3.7544797949860166e-33,0.20507335501909257,0.08348823960630163,0.21361939404760638,0.2291414685427181,5.713194847106934,90.4,0.07051901519298553,0.20704147219657898,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.8571428571428572
FTSE,TimeGAN,0.21050897240638733,0.0488913431763649,6.234413981437683,23.95358657836914,1.0,2.1927812846103578e-74,0.21050894385576246,0.15893318151844846,0.15893318151844846,0.14485796559001168,9.530427932739258,1.5999999999999943,0.04680813476443291,0.21050895750522614,2.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0714285714285716
FTSE,FinGAN,0.2210617959499359,0.11868375539779663,1.4468501210212708,3.804530382156372,0.792,3.140472630554346e-39,0.22106178194284437,0.1513000020096379,0.09053155488424725,0.09765351781501405,2.0386104583740234,97.60000000000001,0.07759206742048264,0.2255481779575348,3.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0714285714285716
MSCI,QuantGAN,0.06663408875465393,0.05324520170688629,0.005601108074188232,0.035547494888305664,0.3968253968253968,3.0160939476087707e-09,0.0690747138467573,0.03918994311243296,0.1601587703992282,0.12246707853891196,2.992058753967285,21.428571428571427,0.016461586579680443,0.10089508444070816,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.5,2.0,2.0,1.5357142857142858
MSCI,FinGAN,0.012701049447059631,0.08389252424240112,0.47075264155864716,0.8460910320281982,0.2698412698412698,0.00019191174358864995,0.06504417266992349,0.25013187377443236,0.20037439268367785,0.16594740740143724,1.2657461166381836,21.428571428571427,0.030740026384592056,0.13807527720928192,1.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.5,3.0,3.0,1.9642857142857142
MSCI,TimeGAN,0.08814745396375656,0.07247310876846313,5.096955940127373,28.2700252532959,0.8650793650793651,5.939255785809193e-49,0.09349964547251897,0.25266335044626986,0.26534607026335455,0.21506137242390505,10.142902374267578,76.98412698412699,0.013193468563258648,0.09390095621347427,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.5
NIFTY50,FinGAN,0.05734186992049217,0.007761791348457336,1.4299982190132141,0.8429865837097168,0.24,0.001432928425898266,0.06551265900215367,0.13630470463765726,0.16782902595737287,0.16188246579540352,1.0123100280761719,16.8,0.03619613125920296,0.14853599667549133,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.5
NIFTY50,QuantGAN,0.09234777092933655,0.059454210102558136,1.2748947143554688,1.9047852754592896,0.472,5.844094385098562e-13,0.11874880169710378,0.1463553223218168,0.13683554174138174,0.13779813180407208,1.7384848594665527,21.6,0.047634657472372055,0.17321452498435974,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0
NIFTY50,TimeGAN,0.09854721277952194,0.11201965808868408,6.26659893989563,26.444896697998047,0.848,3.251565139252821e-46,0.10389017442247131,0.17999576207911294,0.19269062581682397,0.18563149992241373,4.884389877319336,78.4,0.022588398307561874,0.10451606661081314,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.5
SHANGHAI,QuantGAN,0.08549080789089203,0.09487961232662201,0.6175744235515594,0.7728142738342285,0.319672131147541,6.512103422710935e-06,0.10002953653819249,0.46018814283888787,0.2775406628381461,0.28631338172902665,20.625783920288086,29.508196721311474,0.044635407626628876,0.14851437509059906,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.7142857142857142
SHANGHAI,FinGAN,0.006993606686592102,0.057045355439186096,1.420033037662506,2.0740182399749756,0.19672131147540983,0.017607698709612186,0.05746524826791444,0.41644073696807027,0.4108171794408311,0.286428067398568,11.488346099853516,19.672131147540984,0.044900082051754,0.16382499039173126,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.7142857142857142
SHANGHAI,TimeGAN,0.15977054834365845,0.09452995657920837,5.486084759235382,26.963951110839844,0.9836065573770492,4.110332757759175e-68,0.15990174567846,0.4670788203521321,0.47032871592479447,0.43280510616799195,26.502243041992188,63.9344262295082,0.034686602652072906,0.16010770201683044,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.5714285714285716
