TimeStep,Real,Synthetic
0,0.038005944,0.09675512
1,0.034642637,0.04698297
2,0.03550974,0.07019065
3,0.038023476,0.04748114
4,0.038417626,0.022141982
5,0.040729865,0.05755626
6,0.041868497,0.099165745
7,0.048577644,0.10524105
8,0.044461068,0.11427973
9,0.042963367,0.10607383
10,0.045906268,0.10789634
11,0.046212792,0.13065745
12,0.045039147,0.14789097
13,0.046939738,0.14309411
14,0.04934836,0.15556483
15,0.047263827,0.148853
16,0.038259987,0.1547451
17,0.04506542,0.124478
18,0.042937096,0.14953801
19,0.043173574,0.1599804
20,0.034957968,0.15586823
21,0.038373806,0.1600146
22,0.0443297,0.15179835
23,0.047509093,0.14012145
24,0.050565846,0.15197729
25,0.048236076,0.16487588
26,0.058203388,0.18866579
27,0.062512636,0.17918982
28,0.06658538,0.19772486
29,0.06504389,0.2095629
30,0.0816941,0.18893902
31,0.087632455,0.14867693
32,0.10351183,0.12625544
33,0.09825667,0.13572069
34,0.08544276,0.15310398
35,0.06723353,0.17059064
36,0.05739757,0.18124042
37,0.062302448,0.19414999
38,0.049253,0.19796519
39,0.06456348,0.20017983
40,0.070137344,0.20254764
41,0.060900215,0.19865493
42,0.07721856,0.2016222
43,0.06738549,0.20389634
44,0.061031647,0.20460916
45,0.042978067,0.20522521
46,0.056684803,0.20712341
47,0.04388074,0.20398585
48,0.01744891,0.20654967
49,0.038946684,0.20619732
50,0.0,0.20811544
51,0.018290177,0.20848854
52,0.005626406,0.20621106
53,0.014521747,0.20728584
54,0.008194198,0.20758155
55,0.014276328,0.20647477
56,0.046255726,0.20952737
57,0.04313579,0.21023156
58,0.053319465,0.20920098
59,0.04936697,0.2120209
60,0.06063726,0.21241355
61,0.058893275,0.20947713
62,0.040900994,0.21071391
63,0.051768262,0.21195641
64,0.041637186,0.21244991
65,0.06309994,0.21206881
66,0.054888196,0.21383803
67,0.061829176,0.21525484
68,0.058323633,0.21553434
69,0.064370714,0.21374162
70,0.07672778,0.2134737
71,0.07400219,0.21678674
72,0.08614892,0.21776603
73,0.08406314,0.21696149
74,0.07944459,0.21794008
75,0.064072676,0.21741362
76,0.07865583,0.21911238
77,0.07678036,0.21984647
78,0.08167059,0.21920462
79,0.08823478,0.22160184
80,0.08322181,0.22059645
81,0.08944413,0.2224143
82,0.08402811,0.22127022
83,0.07570239,0.22415338
84,0.08316047,0.22373787
85,0.08530767,0.22213739
86,0.08885697,0.22386265
87,0.09506181,0.22598006
88,0.10174866,0.22447813
89,0.11061763,0.22480986
90,0.10139808,0.22742362
91,0.10060938,0.22690603
92,0.1093908,0.22705846
93,0.12552506,0.22802292
94,0.13462195,0.22694208
95,0.13655879,0.22840509
96,0.14232537,0.2322884
97,0.13549836,0.23244822
98,0.14429724,0.23258144
99,0.13348262,0.23118408
100,0.12673454,0.23282738
101,0.12539358,0.23387751
102,0.13901271,0.23348056
103,0.13658509,0.23616782
104,0.13725118,0.23437609
105,0.13529682,0.23588441
106,0.1353319,0.23788054
107,0.14071535,0.23829429
108,0.13668217,0.23873901
109,0.1451344,0.23770274
110,0.15638356,0.23967835
111,0.13637528,0.24027094
112,0.14115377,0.2409115
113,0.14961477,0.24081875
114,0.14592354,0.24357909
115,0.15179794,0.24436183
116,0.15116666,0.24464719
117,0.15268344,0.24568936
118,0.16199498,0.24604683
119,0.15930332,0.24792457
120,0.15178041,0.24786727
121,0.16070607,0.24835537
122,0.14895712,0.250952
123,0.15053537,0.25055316
124,0.16097793,0.25093752
125,0.16210896,0.25176004
126,0.16499357,0.25364265
127,0.1729548,0.25484148
128,0.17409462,0.25388253
129,0.18616804,0.25374565
130,0.19644397,0.25390202
131,0.19540058,0.25770354
132,0.18042505,0.25858843
133,0.19181456,0.25653085
134,0.18656257,0.2595016
135,0.18331851,0.26265728
136,0.18565951,0.2607885
137,0.19650538,0.26356572
138,0.19011353,0.26329663
139,0.19398022,0.26484904
140,0.18314315,0.265346
141,0.18541396,0.26560435
142,0.19337523,0.2678983
143,0.18615049,0.27034324
144,0.19491838,0.27074626
145,0.20012647,0.26994923
146,0.20015284,0.2703892
147,0.21402359,0.2723496
148,0.22165169,0.27194816
149,0.22372088,0.2736611
150,0.22543052,0.27452162
151,0.22066088,0.2802251
152,0.21945097,0.27832472
153,0.20840338,0.27742425
154,0.2291044,0.2787353
155,0.2292008,0.28172308
156,0.23344447,0.28277475
157,0.26055464,0.2822531
158,0.25788045,0.28382677
159,0.25359303,0.28569072
160,0.25368068,0.28690767
161,0.27270702,0.2874783
162,0.27399585,0.2885486
163,0.2750392,0.28936458
164,0.2758459,0.292409
165,0.2707693,0.29184273
166,0.288989,0.29336134
167,0.29694137,0.29499114
168,0.3127459,0.2960853
169,0.33118147,0.2966618
170,0.28448737,0.29884374
171,0.27070013,0.3023276
172,0.24580938,0.30082667
173,0.27394512,0.30131373
174,0.25979832,0.3048556
175,0.2546325,0.30612555
176,0.27946177,0.30545014
177,0.2836278,0.3075351
178,0.26691124,0.30907637
179,0.26512206,0.31189755
180,0.2555008,0.31045988
181,0.2670077,0.3106434
182,0.27123508,0.31616735
183,0.2532029,0.3158915
184,0.2610701,0.3161924
185,0.27951446,0.31787997
186,0.28517145,0.318197
187,0.2918633,0.320059
188,0.30255455,0.3221339
189,0.30550146,0.32372177
190,0.2861274,0.32614064
191,0.30648375,0.3260829
192,0.30978146,0.3283798
193,0.31776258,0.33176556
194,0.31336862,0.33212262
195,0.31070244,0.33198
196,0.3269541,0.3333429
197,0.32773468,0.33574086
198,0.32236716,0.33660638
199,0.3179731,0.34072456
200,0.31241256,0.3419351
201,0.30140567,0.34243396
202,0.30658898,0.34224582
203,0.30235285,0.34413517
204,0.29660812,0.34696195
205,0.30465066,0.34680164
206,0.28889883,0.35090157
207,0.29786235,0.35082394
208,0.270858,0.35240346
209,0.28478554,0.3561527
210,0.2675953,0.35515967
211,0.26923543,0.35897034
212,0.28462765,0.3603399
213,0.31180745,0.36142132
214,0.32463866,0.36134392
215,0.33874166,0.36318046
216,0.30607158,0.36617607
217,0.27587467,0.36837816
218,0.29860792,0.37068215
219,0.29996735,0.37165523
220,0.2943629,0.37327656
221,0.3020195,0.3737675
222,0.29875693,0.37554204
223,0.29898497,0.37743354
224,0.2993884,0.38047403
225,0.28702205,0.38226163
226,0.28885505,0.3830264
227,0.28246135,0.38530895
228,0.29217902,0.38830608
229,0.2931087,0.38854924
230,0.29802898,0.38870388
231,0.2976255,0.39293456
232,0.30304572,0.39513153
233,0.29797485,0.39503288
234,0.3036686,0.3952337
235,0.30537057,0.39859068
236,0.2963606,0.40232933
237,0.2816481,0.40501285
238,0.2831045,0.40424496
239,0.28454325,0.40710324
240,0.29491308,0.4103033
241,0.29672906,0.41267952
242,0.29258817,0.4123676
243,0.2960536,0.41467118
244,0.29362345,0.4176193
245,0.2957377,0.41926718
246,0.29384273,0.42084807
247,0.2844029,0.41989422
248,0.28385898,0.42542803
249,0.280569,0.42947727
250,0.2820868,0.42785835
251,0.28919303,0.43244064
252,0.28600827,0.43396074
253,0.28806126,0.43659872
254,0.29828197,0.4388493
255,0.27055022,0.4408311
256,0.29615006,0.4419649
257,0.29379007,0.44343
258,0.30588827,0.446545
259,0.30108932,0.4489862
260,0.30273867,0.45200446
261,0.29110548,0.45326525
262,0.27914783,0.45502597
263,0.2849644,0.4575302
264,0.29691333,0.45905963
265,0.31452104,0.46251696
266,0.3090816,0.4642626
267,0.3070024,0.4657244
268,0.2993523,0.46681553
269,0.28119197,0.47166038
270,0.28586802,0.47379655
271,0.28371868,0.47617778
272,0.29239526,0.47911417
273,0.30361593,0.48263806
274,0.30269483,0.48272222
275,0.30738848,0.48282662
276,0.30481786,0.48765743
277,0.3345674,0.49269122
278,0.3284087,0.49328557
279,0.34599,0.49240023
280,0.36306256,0.4976213
281,0.35290328,0.4980054
282,0.3658522,0.49984932
283,0.35096443,0.5011031
284,0.34826225,0.5048296
285,0.35168374,0.509759
286,0.33165482,0.51181316
287,0.3241539,0.51401293
288,0.33668175,0.51674443
289,0.2948692,0.5205698
290,0.3091518,0.5223883
291,0.31361735,0.5239016
292,0.29833457,0.5267044
293,0.27722657,0.52873147
294,0.26197892,0.5310926
295,0.2651811,0.5345524
296,0.23471203,0.5367694
297,0.26739433,0.5389586
298,0.26556894,0.54139966
299,0.28400764,0.5464453
300,0.27918074,0.5475864
301,0.29094955,0.55093247
302,0.2944599,0.5526294
303,0.29621518,0.55416214
304,0.27449426,0.5578882
305,0.27882087,0.559661
306,0.29077393,0.56105644
307,0.28671944,0.5651081
308,0.27170345,0.5650124
309,0.26792097,0.5692701
310,0.2785927,0.57401794
311,0.2824191,0.5753257
312,0.2797336,0.57684344
313,0.29646087,0.5824502
314,0.31273186,0.5842784
315,0.3189014,0.58619636
316,0.31447828,0.5898988
317,0.3243777,0.59401745
318,0.33046833,0.59573275
319,0.333382,0.59696186
320,0.3617816,0.60152894
