Date,LogReturn
2020-01-02,0.0186
2020-01-03,0.0124
2020-01-06,-0.0058
2020-01-07,0.0281
2020-01-08,0.0153
2020-01-09,-0.0092
2020-01-10,0.0076
2020-01-13,0.0224
2020-01-14,-0.0031
2020-01-15,0.0189
2020-01-16,-0.0127
2020-01-17,0.0053
2020-01-21,0.0142
2020-01-22,-0.0275
2020-01-23,0.0089
2020-01-24,-0.0196
2020-01-27,-0.0112
2020-01-28,0.0247
2020-01-29,0.0035
2020-01-30,-0.0168
2020-01-31,0.0094
2020-02-03,0.0172
2020-02-04,-0.0059
2020-02-05,0.0318
2020-02-06,-0.0083
2020-02-07,0.0126
2020-02-10,-0.0204
2020-02-11,0.0071
2020-02-12,0.0253
2020-02-13,-0.0142
2020-02-14,0.0098
2020-02-18,0.0185
2020-02-19,-0.0067
2020-02-20,0.0221
2020-02-21,-0.0289
2020-02-24,-0.0153
2020-02-25,0.0116
2020-02-26,-0.0194
2020-02-27,0.0072
2020-02-28,-0.0235
2020-03-02,0.0168
2020-03-03,-0.0091
2020-03-04,0.0327
2020-03-05,-0.0149
2020-03-06,0.0053
2020-03-09,-0.0276
2020-03-10,0.0194
2020-03-11,-0.0132
2020-03-12,0.0087
2020-03-13,-0.0215
2020-03-16,0.0149
2020-03-17,-0.0078
2020-03-18,0.0263
2020-03-19,-0.0124
2020-03-20,0.0091
2020-03-23,-0.0182
2020-03-24,0.0227
2020-03-25,-0.0065
2020-03-26,0.0158
2020-03-27,-0.0093
2020-03-30,0.0172
2020-03-31,-0.0126
2020-04-01,0.0084
2020-04-02,-0.0197
2020-04-03,0.0115
2020-04-06,0.0249
2020-04-07,-0.0138
2020-04-08,0.0183
2020-04-09,-0.0072
2020-04-13,0.0156
2020-04-14,-0.0094
2020-04-15,0.0217
2020-04-16,-0.0058
2020-04-17,0.0129
2020-04-20,-0.0163
2020-04-21,0.0075
2020-04-22,0.0192
2020-04-23,-0.0114
2020-04-24,0.0137
2020-04-27,-0.0089
2020-04-28,0.0251
2020-04-29,-0.0146
2020-04-30,0.0093
2020-05-01,-0.0184
2020-05-04,0.0127
2020-05-05,-0.0069
2020-05-06,0.0208
2020-05-07,-0.0123
2020-05-08,0.0165
2020-05-11,-0.0097
2020-05-12,0.0224
2020-05-13,-0.0152
2020-05-14,0.0108
2020-05-15,-0.0076
2020-05-18,0.0183
2020-05-19,-0.0119
2020-05-20,0.0147
2020-05-21,-0.0082
2020-05-22,0.0124
2020-05-26,-0.0168
