Date,LogReturn
2020-01-01,0.0128
2020-01-02,-0.0083
2020-01-03,0.0284
2020-01-06,-0.0156
2020-01-07,0.0421
2020-01-08,-0.0227
2020-01-09,0.0059
2020-01-10,-0.0374
2020-01-13,0.0182
2020-01-14,-0.0093
2020-01-15,0.0315
2020-01-16,-0.0452
2020-01-17,0.0078
2020-01-21,-0.0286
2020-01-22,0.0537
2020-01-23,-0.0129
2020-01-24,0.0194
2020-01-27,-0.0673
2020-01-28,0.0348
2020-01-29,-0.0115
2020-01-30,0.0276
2020-01-31,-0.0392
2020-02-03,0.0157
2020-02-04,-0.0084
2020-02-05,0.0482
2020-02-06,-0.0175
2020-02-07,0.0039
2020-02-10,-0.0241
2020-02-11,0.0367
2020-02-12,-0.0098
2020-02-13,0.0124
2020-02-14,-0.0319
2020-02-18,0.0192
2020-02-19,-0.0056
2020-02-20,0.0423
2020-02-21,-0.0587
2020-02-24,0.0135
2020-02-25,-0.0724
2020-02-26,0.0289
2020-02-27,-0.0631
2020-02-28,0.0172
2020-03-02,-0.0483
2020-03-03,0.0396
2020-03-04,-0.0257
2020-03-05,0.0512
2020-03-06,-0.0428
2020-03-09,0.0183
2020-03-10,-0.0364
2020-03-11,0.0275
2020-03-12,-0.0892
2020-03-13,0.0637
2020-03-16,-0.0541
2020-03-17,0.0728
2020-03-18,-0.0389
2020-03-19,0.0412
2020-03-20,-0.0275
2020-03-23,0.0156
2020-03-24,-0.0193
2020-03-25,0.0462
2020-03-26,-0.0127
2020-03-27,0.0084
2020-03-30,-0.0342
2020-03-31,0.0287
2020-04-01,-0.0215
2020-04-02,0.0173
2020-04-03,-0.0098
2020-04-06,0.0394
2020-04-07,-0.0152
2020-04-08,0.0268
2020-04-09,-0.0073
2020-04-13,0.0189
2020-04-14,-0.0246
2020-04-15,0.0321
2020-04-16,-0.0197
2020-04-17,0.0142
2020-04-20,-0.0283
2020-04-21,0.0415
2020-04-22,-0.0138
2020-04-23,0.0276
2020-04-24,-0.0352
2020-04-27,0.0194
2020-04-28,-0.0227
2020-04-29,0.0463
2020-04-30,-0.0175
2020-05-01,0.0082
2020-05-04,-0.0319
2020-05-05,0.0247
2020-05-06,-0.0183
2020-05-07,0.0356
2020-05-08,-0.0094
2020-05-11,0.0128
2020-05-12,-0.0264
2020-05-13,0.0187
2020-05-14,-0.0142
2020-05-15,0.0295
2020-05-18,-0.0218
2020-05-19,0.0372
2020-05-20,-0.0135
2020-05-21,0.0249
2020-05-22,-0.0197
