commit_drift_accepted,model,metric,recorded,phase_b_draw0,delta_draw0,phase_b_mean,phase_b_sd,phase_b_min,phase_b_max,recorded_within_draw_range,recorded_percentile,n_draws
True,GARCH,mean_diff,0.00046150712,0.0004615071229636669,2.9636669095396695e-12,0.0007043791585601867,0.00044987863567434933,9.810668416321278e-06,0.0019394514383748174,True,25.0,20
True,GARCH,std_diff,0.0012465455,0.0012465454638004303,-3.619956960056181e-11,0.00524208890274167,0.0017225289449368114,0.0012465454638004303,0.008675532415509224,True,5.0,20
True,GARCH,skewness_diff,0.14825639,0.14825643599033356,4.599033356922355e-08,0.22232960797846318,0.21673783137798688,0.0002980530261993408,0.8398939967155457,True,40.0,20
True,GARCH,kurtosis_diff,0.8219609,0.8219614028930664,5.028930664119358e-07,0.6984982371330262,0.7147156549763868,0.016012191772460938,3.359982967376709,True,65.0,20
True,GARCH,wasserstein,0.0013849094977536,0.0013849094977536702,7.025630077706069e-17,0.004050595269937974,0.0012016548116099296,0.0013849094977536702,0.006020865394957803,False,0.0,20
True,GARCH,energy_distance,0.0001101493835449,0.00011014938354492188,2.1873778829895052e-17,0.0005513764917850494,0.0002490050560572607,0.00011014938354492188,0.0009859148412942886,False,0.0,20
True,GARCH,quantile_mse,3.878085628729825e-06,3.878085628729825e-06,0.0,7.234566323825818e-05,4.8177594376957445e-05,3.878085628729825e-06,0.0001706910904030959,True,5.0,20
True,GARCH,acf_returns_mae,0.0523189116895082,0.05231891355884727,1.869339065485587e-09,0.05495441507372743,0.004327371226644348,0.04884869307745248,0.06805680450750515,True,25.0,20
True,GARCH,acf_absolute_mae,0.0545226135406119,0.0545226150425151,1.50190319903043e-09,0.06583398829782346,0.024361354156031634,0.04540291730081662,0.1508355100778863,True,40.0,20
True,GARCH,acf_squared_mae,0.0496959183753642,0.0496959182809951,-9.436909587101638e-11,0.06549816431779074,0.023401699458946445,0.0417387301443523,0.141705840884606,True,25.0,20
True,GARCH,tail_index_diff,0.91396093,0.9139609336853027,3.685302729650175e-09,0.8306055784225463,0.628195901869704,0.08721208572387695,2.3198885917663574,True,60.0,20
True,GARCH,extreme_events_diff,0.806451612903226,0.806451612903226,0.0,0.7661290322580647,0.40120461173654065,0.20161290322580605,1.814516129032259,True,55.00000000000001,20
True,GARCH,arch_pvalue_diff,0.0089285007794273,0.008928500779435189,7.889522368742519e-15,0.7605932250887675,0.19659962822613303,0.008928500779435189,0.8367428482499992,False,0.0,20
True,GARCH,arch_stat_diff,0.0636570770103603,0.06365707701041501,5.470623953840459e-14,35.33465530407518,31.66006137131722,0.06365707701041501,106.08235602583841,False,0.0,20
True,GARCH,hurst_diff,0.0065921629945855,0.0065921629945854265,-7.37257477290143e-17,0.022195837769153764,0.019980976316623766,0.002408573803421965,0.08348732850125462,True,15.0,20
True,GARCH,resid_kurtosis_diff,1.039539048868638,1.0395390532538022,4.3851642317349615e-09,0.760961497406492,0.36014999886492316,0.2112983649405562,1.3397924124946363,True,70.0,20
True,GARCH,discriminative_auc_dist,0.1255191597414588,0.12551915974145889,8.326672684688674e-17,0.2959643467220683,0.10047681393559098,0.02034372114496752,0.4478268698060941,True,5.0,20
True,GARCH,discriminative_auc_raw,0.6255191597414589,0.6255191597414589,0.0,0.7959643467220683,0.10047681393559098,0.5203437211449675,0.9478268698060941,True,10.0,20
True,GARCH,discriminative_auc_absz,0.4244967153961869,0.4245620383077103,6.532291152339109e-05,1.8467776584673903,0.7110339514661813,0.4245620383077103,3.0332484755347773,False,0.0,20
True,GARCH,composite_rank,1.4642857142857144,1.4285714285714286,-0.03571428571428581,3.019642857142857,0.6974328839042653,1.4285714285714286,4.357142857142858,True,5.0,20
True,GJR-GARCH,mean_diff,0.00079479907,0.0007947990670800209,-2.919979145629692e-12,0.0006752108398359269,0.00047900618778148456,4.511716542765498e-05,0.001757007441483438,True,70.0,20
True,GJR-GARCH,std_diff,0.0020875856,0.0020875856280326843,2.803268424680927e-11,0.004749616375193,0.0015038728154847319,0.0020875856280326843,0.007523959502577782,False,0.0,20
