market,seed,window,train_len,model,unconstrained_persistence,constraint_applied,constrained_persistence,loglikelihood_change,stationarity_tol,stationarity_delta
BOVESPA,43,main,3962,GARCH,0.9735196826188716,False,,,1e-06,0.0001
BOVESPA,43,main,3962,GJR-GARCH,0.9682261709800661,False,,,1e-06,0.0001
BOVESPA,43,fold 0,828,GARCH,0.98650691970737,False,,,1e-06,0.0001
BOVESPA,43,fold 1,1653,GARCH,0.9823616589660211,False,,,1e-06,0.0001
BOVESPA,43,fold 2,2478,GARCH,0.9820892181266662,False,,,1e-06,0.0001
BOVESPA,43,fold 3,3303,GARCH,0.9803193811101599,False,,,1e-06,0.0001
BOVESPA,43,fold 4,4128,GARCH,0.973797804499266,False,,,1e-06,0.0001
BOVESPA,43,fold 0,828,GJR-GARCH,0.9720075464175643,False,,,1e-06,0.0001
BOVESPA,43,fold 1,1653,GJR-GARCH,0.9790334684320712,False,,,1e-06,0.0001
BOVESPA,43,fold 2,2478,GJR-GARCH,0.9825188030109878,False,,,1e-06,0.0001
BOVESPA,43,fold 3,3303,GJR-GARCH,0.9746175389345495,False,,,1e-06,0.0001
BOVESPA,43,fold 4,4128,GJR-GARCH,0.968670902252284,False,,,1e-06,0.0001
