market,seed,window,train_len,model,unconstrained_persistence,constraint_applied,constrained_persistence,loglikelihood_change,stationarity_tol,stationarity_delta
FTSE,44,main,3997,GARCH,0.9860196257357546,False,,,1e-06,0.0001
FTSE,44,main,3997,GJR-GARCH,0.98302504178627,False,,,1e-06,0.0001
FTSE,44,fold 0,837,GARCH,0.9911722742257423,False,,,1e-06,0.0001
FTSE,44,fold 1,1669,GARCH,0.9913071901943223,False,,,1e-06,0.0001
FTSE,44,fold 2,2501,GARCH,0.9894582881224652,False,,,1e-06,0.0001
FTSE,44,fold 3,3333,GARCH,0.988247725782261,False,,,1e-06,0.0001
FTSE,44,fold 4,4165,GARCH,0.9860769376520373,False,,,1e-06,0.0001
FTSE,44,fold 0,837,GJR-GARCH,0.9871149114897895,False,,,1e-06,0.0001
FTSE,44,fold 1,1669,GJR-GARCH,0.9893751544893161,False,,,1e-06,0.0001
FTSE,44,fold 2,2501,GJR-GARCH,0.9866584832556475,False,,,1e-06,0.0001
FTSE,44,fold 3,3333,GJR-GARCH,0.9858712965373407,False,,,1e-06,0.0001
FTSE,44,fold 4,4165,GJR-GARCH,0.983465218957954,False,,,1e-06,0.0001
