market,seed,window,train_len,model,unconstrained_persistence,constraint_applied,constrained_persistence,loglikelihood_change,stationarity_tol,stationarity_delta
MOEX,43,main,3995,GARCH,0.9913984945034321,False,,,1e-06,0.0001
MOEX,43,main,3995,GJR-GARCH,0.9873032169491445,False,,,1e-06,0.0001
MOEX,43,fold 0,834,GARCH,0.9938899519727602,False,,,1e-06,0.0001
MOEX,43,fold 1,1666,GARCH,0.9935138777179189,False,,,1e-06,0.0001
MOEX,43,fold 2,2498,GARCH,0.9915305461787124,False,,,1e-06,0.0001
MOEX,43,fold 3,3330,GARCH,0.9945235821681605,False,,,1e-06,0.0001
MOEX,43,fold 4,4162,GARCH,0.9894480056245595,False,,,1e-06,0.0001
MOEX,43,fold 0,834,GJR-GARCH,0.9914196970182686,False,,,1e-06,0.0001
MOEX,43,fold 1,1666,GJR-GARCH,0.9895780709094969,False,,,1e-06,0.0001
MOEX,43,fold 2,2498,GJR-GARCH,0.9883809465651144,False,,,1e-06,0.0001
MOEX,43,fold 3,3330,GJR-GARCH,0.9919380428461676,False,,,1e-06,0.0001
MOEX,43,fold 4,4162,GJR-GARCH,0.9851016823833614,False,,,1e-06,0.0001
