commit_drift_accepted,model,metric,recorded,phase_b_draw0,delta_draw0,phase_b_mean,phase_b_sd,phase_b_min,phase_b_max,recorded_within_draw_range,recorded_percentile,n_draws
True,GJR-GARCH,mean_diff,0.0014588628,0.0014588627964258194,-3.5741806649752794e-12,0.0011823042790638284,0.0006593800999603258,5.9406651416793466e-05,0.002211823360994458,True,65.0,20
True,GJR-GARCH,std_diff,0.0004426865,0.00044268649071455,-9.285449958842257e-12,0.0028980821836739777,0.001979616451827318,1.9120052456855774e-06,0.007573070004582405,True,15.0,20
True,GJR-GARCH,skewness_diff,0.51174855,0.5117485523223877,2.322387726572117e-09,0.40518903657794,0.3340968182311047,0.045451223850250244,1.3152605295181274,True,65.0,20
True,GJR-GARCH,kurtosis_diff,1.0478721,1.0478720664978027,-3.35021972386329e-08,1.387725591659546,1.1960343369366702,0.04094409942626953,5.15959358215332,True,45.0,20
True,GJR-GARCH,wasserstein,0.0018280748782863,0.0018280748782863157,1.5612511283791264e-17,0.0026231805475100457,0.000862722178333167,0.0010742384826808123,0.004052215266317945,True,15.0,20
True,GJR-GARCH,energy_distance,0.0001281555742025,0.00012815557420253754,3.754050022231059e-17,0.00026572374626994134,0.0001667963110041555,4.366133362054825e-05,0.0006551779806613922,True,20.0,20
True,GJR-GARCH,quantile_mse,6.597784914092466e-06,6.597784914092466e-06,0.0,4.62511695657441e-05,5.625912801597273e-05,4.95610531108099e-06,0.00026895487831143667,True,10.0,20
True,GJR-GARCH,acf_returns_mae,0.0560204253392294,0.05602042361628264,-1.7229467574875201e-09,0.05343626644130928,0.005586169280709878,0.04018793515278958,0.06616477340459824,True,75.0,20
True,GJR-GARCH,acf_absolute_mae,0.0609893057169392,0.060989307078998536,1.3620593333762976e-09,0.06671556295417395,0.03749753010364356,0.044060928884427995,0.21576056707184763,True,50.0,20
True,GJR-GARCH,acf_squared_mae,0.0466371117439121,0.04663710644817911,-5.295732991017488e-09,0.06053016501558387,0.023619243787660726,0.03695192073006183,0.15086130429059266,True,20.0,20
True,GJR-GARCH,tail_index_diff,0.21926427,0.21926426887512207,-1.124877940794633e-09,0.5461606025695801,0.42468697581501036,0.07631182670593262,1.3262889385223389,True,35.0,20
True,GJR-GARCH,extreme_events_diff,0.3999999999999994,0.39999999999999947,5.551115123125783e-17,0.63,0.31160872901765757,0.20000000000000018,1.2000000000000002,True,25.0,20
True,GJR-GARCH,arch_pvalue_diff,0.0251574258879566,0.025157425887956913,3.122502256758253e-16,0.09269627128950778,0.1997475454002115,0.025157425887956913,0.9346592469091025,False,0.0,20
True,GJR-GARCH,arch_stat_diff,2.828265286625289,2.828265286625234,-5.5067062021407764e-14,23.02671176242587,25.414240664249824,1.6401693040397003,113.87526896704203,True,15.0,20
True,GJR-GARCH,hurst_diff,0.0721522092484804,0.07215220924848043,2.7755575615628914e-17,0.030060911389065182,0.01849693554562986,0.0006890916825234017,0.07215220924848043,True,95.0,20
True,GJR-GARCH,resid_kurtosis_diff,1.1378599900189563,1.1378598628381216,-1.2718083475249387e-07,1.394907011644639,0.9466919513591353,0.24632488158581367,4.945672584995249,True,40.0,20
True,GJR-GARCH,discriminative_auc_dist,0.0332682291666666,0.03326822916666661,6.938893903907228e-18,0.15907335069444445,0.09554691973063915,0.03326822916666661,0.34257812499999996,False,0.0,20
True,GJR-GARCH,discriminative_auc_raw,0.5332682291666666,0.5332682291666666,0.0,0.6048632812499999,0.15309225002152888,0.23639322916666666,0.842578125,True,30.0,20
True,GJR-GARCH,discriminative_auc_absz,0.6851355751063632,0.6851355751063632,0.0,0.8610524697514765,0.6505203876476202,0.04286445748620348,2.7457688144745203,True,55.00000000000001,20
True,GJR-GARCH,composite_rank,1.9285714285714288,2.142857142857143,0.21428571428571397,2.8089285714285714,0.5007997430640926,2.0357142857142856,4.0,False,0.0,20
True,CNN-WGAN-GP,mean_diff,0.0006426218,0.0007920274510979652,0.00014940565109796528,0.000981989766296465,0.0003324791352521315,0.0003106360964011401,0.0015679140342399478,True,15.0,20
