commit_drift_accepted,model,metric,recorded,phase_b_draw0,delta_draw0,phase_b_mean,phase_b_sd,phase_b_min,phase_b_max,recorded_within_draw_range,recorded_percentile,n_draws
True,QuantGAN,mean_diff,0.0006105092,0.0003325240686535835,-0.0002779851313464165,0.0008100930746877566,0.00041682010797607154,7.227039895951748e-05,0.0017374602612107992,True,35.0,20
True,QuantGAN,std_diff,0.0029372536,0.015540149994194508,0.012602896394194507,0.005810269340872765,0.003839291035981552,0.0008490094915032387,0.015540149994194508,True,30.0,20
True,QuantGAN,skewness_diff,0.310232,0.5627018213272095,0.25246982132720946,0.4119737148284912,0.3225950922486038,0.0008467435836791992,1.2900354862213135,True,40.0,20
True,QuantGAN,kurtosis_diff,8.727324,10.583972930908203,1.8566489309082037,8.800909972190857,2.0018606202656,3.2867040634155273,11.578046798706055,True,50.0,20
True,QuantGAN,wasserstein,0.0031743371627226,0.012441547705765077,0.009267210543042477,0.004690026623716727,0.002741017962835032,0.0014381484355582858,0.012441547705765077,True,40.0,20
True,QuantGAN,energy_distance,0.0003885012120008,0.003512434661388397,0.003123933449387597,0.000769892055541277,0.0008259972709924527,0.00010480079799890518,0.003512434661388397,True,50.0,20
True,QuantGAN,quantile_mse,3.73217462462644e-05,0.0007425793480828036,0.0007052576018365392,0.00018741059821683723,0.00019241538404676426,4.4255182432934355e-06,0.0007425793480828036,True,20.0,20
True,QuantGAN,acf_returns_mae,0.0516678776309709,0.08678166948477156,0.03511379185380066,0.06017657967750437,0.010794270111663852,0.044846761236985916,0.08678166948477156,True,30.0,20
True,QuantGAN,acf_absolute_mae,0.0516309817353794,0.07559987647866365,0.023968894743284244,0.09262433732310091,0.04087164595052456,0.04546160182449967,0.20682557996595277,True,10.0,20
True,QuantGAN,acf_squared_mae,0.0473421524293371,0.05990228119771927,0.012560128768382174,0.07416591167723528,0.028578602277053,0.03628611782216467,0.1445196947979275,True,15.0,20
True,QuantGAN,tail_index_diff,0.24140859,0.8485522270202637,0.6071436370202636,1.2505730271339417,0.5502343193848567,0.19449424743652344,2.327949047088623,True,10.0,20
