commit_drift_accepted,draw,model,mean_diff,std_diff,skewness_diff,kurtosis_diff,wasserstein,energy_distance,quantile_mse,acf_returns_mae,acf_absolute_mae,acf_squared_mae,tail_index_diff,extreme_events_diff,arch_pvalue_diff,arch_stat_diff,hurst_diff,resid_kurtosis_diff,discriminative_auc_dist,discriminative_auc_raw,discriminative_auc_absz,mean_diff_rank,std_diff_rank,wasserstein_rank,energy_distance_rank,quantile_mse_rank,acf_returns_mae_rank,acf_absolute_mae_rank,acf_squared_mae_rank,tail_index_diff_rank,extreme_events_diff_rank,hurst_diff_rank,resid_kurtosis_diff_rank,discriminative_auc_dist_rank,discriminative_auc_absz_rank,fidelity_rank,temporal_rank,composite_rank,avg_rank
True,0,GJR-GARCH,0.0006676479,0.00021343585,0.49083066,10.745013,0.0016391443937171849,0.00011756177991628647,5.467863504044469e-06,0.048478236436058066,0.10144259717548267,0.1118574747594539,2.0192242,1.6460905349794235,3.44267183830002e-06,52.0331700990441,0.10754545917862779,12.21166379305292,0.006239314347003588,0.4937606856529964,0.3006693422196235,3.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,5.0,5.0,4.0,2.0,2.0,2.2857142857142856,3.0,2.642857142857143,2.642857142857143
True,0,TimeGAN,0.0011114696,0.003305775,0.41337225,11.0818615,0.003743533423992767,0.00047768279910087585,7.719980084008909e-05,0.05311418854384101,0.060821485777851195,0.049854379487223925,0.8902495,0.0,0.048598525136843346,74.0839640164986,0.06660436345845477,11.19753607984627,0.3251365918578706,0.8251365918578706,2.024486980309259,5.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,4.0,2.857142857142857,2.5714285714285716,2.7142857142857144,2.7142857142857144
True,0,GARCH,0.0006731105,0.00064609013,0.49892822,10.517231,0.0017979790587483563,0.00013542454689741135,7.826635615614049e-06,0.04938395601566299,0.11047035556519404,0.11776084988960064,2.1293435,1.4403292181069958,7.785414266316114e-07,48.796450160879964,0.10688524726206161,12.198318161397406,0.0038021859617272113,0.5038021859617272,0.2302114196810846,4.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,3.5,4.0,3.0,1.0,1.0,2.9285714285714284,3.0,2.9642857142857144,2.9642857142857144
True,0,CNN-WGAN-GP,0.00013044721,0.0053473217,0.08742148,11.254401,0.005141618997105546,0.0008227825164794922,0.00011367618858871894,0.07051042468534434,0.10394272142322734,0.09758966540568509,1.8796186,1.4403292181069958,2.933915498739126e-06,51.68375940293433,0.025498552435725963,12.534653583341505,0.3222751123607944,0.8222751123607944,2.004408914825826,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.5,1.0,5.0,3.0,3.0,3.357142857142857,3.2857142857142856,3.321428571428571,3.3214285714285716
True,0,QuantGAN,0.00033252407,0.01554015,0.5627018,10.583973,0.012441547705765077,0.003512434661388397,0.0007425793480828036,0.08678166948477156,0.07559987647866365,0.05990228119771927,0.8485522,0.4115226337448554,0.28720791660947037,79.02759586623986,0.047515375772500756,10.602933632368376,0.4079490188264293,0.9079490188264293,2.605554687841562,2.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,5.0,3.5714285714285716,3.142857142857143,3.357142857142857,3.357142857142857
True,0,CONTROL: shuffled real,5.820766e-11,0.0,5.9604645e-08,0.0,0.0,0.0,0.0,0.046350483982096194,0.07598293550428935,0.045030715017346665,0.0,0.0,0.9490790116835569,84.0725083076581,0.0805816226377506,0.7719062153596497,0.08538313370381029,0.4146168662961897,0.8559956303438748,,,,,,,,,,,,,,,,,,
True,1,CNN-WGAN-GP,0.00097122474,0.00037249178,0.4559817,9.244259,0.0017356563831159935,0.00015155784785747528,9.601267712686478e-06,0.04525661401232355,0.05824528723198455,0.04295733711333014,1.1246698,0.0,0.02833177712401692,72.70926609852748,0.06620091005024109,10.5090039045706,0.12673658004983968,0.6267365800498397,0.6323790050238107,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,4.0,2.0,2.4285714285714284,2.142857142857143,2.2857142857142856,2.2857142857142856
True,1,GJR-GARCH,1.7768471e-06,0.0004283404,0.78147364,10.82291,0.0014932332309841154,8.470751345157623e-05,4.568040434918394e-06,0.049708017888333414,0.08649117794120684,0.07834464042156469,1.7891603,0.8230452674897117,0.009453159145615543,70.00556377753814,0.05534803869360361,11.906285557050044,0.09673753945235336,0.40326246054764664,0.9356657808298937,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,4.0,1.9285714285714286,3.142857142857143,2.5357142857142856,2.5357142857142856
True,1,GARCH,3.6782585e-06,0.00033003464,0.7748697,10.826448,0.0015334180930657584,8.966401219367981e-05,4.575879945337837e-06,0.04984900536175701,0.08700464079389349,0.07911643662373535,1.8656754,0.8230452674897117,0.008709519685149426,69.80763502400404,0.05495877235463875,11.917476566320143,0.07499723249274914,0.42500276750725086,0.7831211593461883,2.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,3.5,2.0,4.0,2.0,3.0,2.5,3.2857142857142856,2.892857142857143,2.892857142857143
True,1,QuantGAN,0.0013471063,0.0076615727,0.25014833,8.196539,0.004885990521696513,0.0005033574998378754,0.00024142816862586378,0.06132524845786975,0.16476303454721347,0.12823812473216095,1.7918568,2.469135802469135,2.2040653644637583e-18,0.06661656933195559,0.04335151958285188,9.230014766481212,0.0518544758587266,0.5518544758587266,0.1069557779754705,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,4.428571428571429,2.7142857142857144,3.5714285714285716,3.5714285714285716
