market,seed,window,train_len,model,unconstrained_persistence,constraint_applied,constrained_persistence,loglikelihood_change,stationarity_tol,stationarity_delta
SHANGHAI,43,main,3888,GARCH,1.0,True,0.9999000000000001,-0.0009234438548446633,1e-06,0.0001
SHANGHAI,43,main,3888,GJR-GARCH,0.9998766602620248,False,,,1e-06,0.0001
SHANGHAI,43,fold 0,810,GARCH,0.9927773456529,False,,,1e-06,0.0001
SHANGHAI,43,fold 1,1620,GARCH,0.9971397721033464,False,,,1e-06,0.0001
SHANGHAI,43,fold 2,2430,GARCH,0.9971630957464104,False,,,1e-06,0.0001
SHANGHAI,43,fold 3,3240,GARCH,0.9999999999996521,True,0.9999000000001249,-0.019636427291516156,1e-06,0.0001
SHANGHAI,43,fold 4,4050,GARCH,0.999536503557171,False,,,1e-06,0.0001
SHANGHAI,43,fold 0,810,GJR-GARCH,0.9765192722934034,False,,,1e-06,0.0001
SHANGHAI,43,fold 1,1620,GJR-GARCH,0.9966536176421891,False,,,1e-06,0.0001
SHANGHAI,43,fold 2,2430,GJR-GARCH,0.9969469891312251,False,,,1e-06,0.0001
SHANGHAI,43,fold 3,3240,GJR-GARCH,1.0000000000003353,True,0.9998999999997221,-0.01974318130487518,1e-06,0.0001
SHANGHAI,43,fold 4,4050,GJR-GARCH,0.999126071907519,False,,,1e-06,0.0001
