market,seed,model,discriminative_auc_raw,unrepaired_null_mean,unrepaired_null_sd,length_matched_null_mean,length_matched_null_sd,absz_unrepaired_stored,absz_length_matched,absz_delta,absz_rank_unrepaired,absz_rank_length_matched,temporal_rank_unrepaired,temporal_rank_length_matched,composite_rank_unrepaired,composite_rank_length_matched,composite_position_unrepaired,composite_position_length_matched,absz_rank_changed,temporal_rank_changed,composite_rank_changed,composite_position_changed
BOVESPA,42,GARCH,0.625519,0.573064,0.123552,0.570979,0.176851,0.424497,0.308397,-0.116099,1.0,1.0,1.428571,1.428571,1.464286,1.464286,1.0,1.0,False,False,False,False
BOVESPA,42,GJR-GARCH,0.655582,0.573064,0.123552,0.570979,0.176851,0.667827,0.478388,-0.189438,2.0,2.0,2.0,2.0,2.071429,2.071429,2.0,2.0,False,False,False,False
BOVESPA,42,CNN-WGAN-GP,0.844054,0.573064,0.123552,0.570979,0.176851,2.193314,1.544098,-0.649216,5.0,5.0,3.142857,3.142857,2.857143,2.857143,3.0,3.0,False,False,False,False
BOVESPA,42,QuantGAN,0.686198,0.573064,0.123552,0.570979,0.176851,0.915633,0.651507,-0.264127,3.0,3.0,4.0,4.0,4.178571,4.178571,4.0,4.0,False,False,False,False
BOVESPA,42,TimeGAN,0.775637,0.573064,0.123552,0.570979,0.176851,1.639548,1.157236,-0.482312,4.0,4.0,4.428571,4.428571,4.428571,4.428571,5.0,5.0,False,False,False,False
BOVESPA,43,CNN-WGAN-GP,0.594494,0.573064,0.123552,0.570979,0.176851,0.173381,0.132967,-0.040414,1.0,1.0,1.571429,1.571429,1.428571,1.428571,1.0,1.0,False,False,False,False
BOVESPA,43,GJR-GARCH,0.759421,0.573064,0.123552,0.570979,0.176851,1.508294,1.065541,-0.442753,3.0,3.0,2.285714,2.285714,2.214286,2.214286,2.0,2.0,False,False,False,False
BOVESPA,43,QuantGAN,0.750016,0.573064,0.123552,0.570979,0.176851,1.432171,1.012361,-0.419809,2.0,2.0,3.428571,3.428571,3.428571,3.428571,3.0,3.0,False,False,False,False
BOVESPA,43,GARCH,0.819185,0.573064,0.123552,0.570979,0.176851,1.992024,1.403476,-0.588548,4.0,4.0,3.571429,3.571429,3.5,3.5,4.0,4.0,False,False,False,False
BOVESPA,43,TimeGAN,0.958125,0.573064,0.123552,0.570979,0.176851,3.116607,2.189113,-0.927494,5.0,5.0,4.142857,4.142857,4.428571,4.428571,5.0,5.0,False,False,False,False
BOVESPA,44,CNN-WGAN-GP,0.658752,0.573064,0.123552,0.570979,0.176851,0.693486,0.496314,-0.197172,1.0,1.0,2.571429,2.571429,2.5,2.5,1.0,1.0,False,False,False,False
BOVESPA,44,GJR-GARCH,0.883213,0.573064,0.123552,0.570979,0.176851,2.510265,1.765521,-0.744744,3.0,3.0,2.428571,2.428571,2.571429,2.571429,2.0,2.0,False,False,False,False
BOVESPA,44,QuantGAN,0.765136,0.573064,0.123552,0.570979,0.176851,1.55455,1.097856,-0.456694,2.0,2.0,2.857143,2.857143,3.0,3.0,3.0,3.0,False,False,False,False
BOVESPA,44,GARCH,0.921919,0.573064,0.123552,0.570979,0.176851,2.823554,1.984386,-0.839168,5.0,5.0,2.714286,2.714286,3.214286,3.214286,4.0,4.0,False,False,False,False
BOVESPA,44,TimeGAN,0.905129,0.573064,0.123552,0.570979,0.176851,2.687657,1.889448,-0.798209,4.0,4.0,4.428571,4.428571,3.714286,3.714286,5.0,5.0,False,False,False,False
FTSE,42,QuantGAN,0.525237,0.785845,0.092025,0.587026,0.159536,2.831937,0.387308,-2.444629,4.0,1.0,2.714286,2.285714,2.214286,2.0,1.0,1.0,True,True,True,False
FTSE,42,CNN-WGAN-GP,0.457566,0.785845,0.092025,0.587026,0.159536,3.567285,0.811479,-2.755807,5.0,4.0,2.571429,2.428571,2.321429,2.25,2.0,2.0,True,True,True,False
FTSE,42,GARCH,0.693693,0.785845,0.092025,0.587026,0.159536,1.001384,0.668609,-0.332776,2.0,2.0,2.714286,2.714286,3.107143,3.107143,3.0,3.0,False,False,False,False
FTSE,42,GJR-GARCH,0.711199,0.785845,0.092025,0.587026,0.159536,0.811147,0.778343,-0.032804,1.0,3.0,2.857143,3.142857,3.571429,3.714286,4.0,4.0,True,True,True,False
FTSE,42,TimeGAN,0.91088,0.785845,0.092025,0.587026,0.159536,1.358713,2.029983,0.67127,3.0,5.0,4.142857,4.428571,3.785714,3.928571,5.0,5.0,True,True,True,False
FTSE,43,GARCH,0.538264,0.785845,0.092025,0.587026,0.159536,2.690376,0.305652,-2.384725,4.0,2.0,3.0,2.714286,2.214286,2.071429,1.0,1.0,True,True,True,False
FTSE,43,GJR-GARCH,0.454532,0.785845,0.092025,0.587026,0.159536,3.600254,0.830496,-2.769758,5.0,3.0,2.0,1.714286,2.357143,2.214286,2.0,2.0,True,True,True,False
FTSE,43,CNN-WGAN-GP,0.596537,0.785845,0.092025,0.587026,0.159536,2.057141,0.059617,-1.997523,3.0,1.0,3.0,2.714286,2.5,2.357143,3.0,3.0,True,True,True,False
FTSE,43,QuantGAN,0.739915,0.785845,0.092025,0.587026,0.159536,0.499105,0.958338,0.459233,1.0,4.0,2.714286,3.142857,3.285714,3.5,4.0,4.0,True,True,True,False
FTSE,43,TimeGAN,0.94468,0.785845,0.092025,0.587026,0.159536,1.725998,2.241844,0.515845,2.0,5.0,4.285714,4.714286,4.642857,4.857143,5.0,5.0,True,True,True,False
FTSE,44,TimeGAN,0.640166,0.785845,0.092025,0.587026,0.159536,1.583041,0.333092,-1.249949,3.0,1.0,2.285714,2.0,2.285714,2.142857,1.0,1.0,True,True,True,False
FTSE,44,GJR-GARCH,0.463588,0.785845,0.092025,0.587026,0.159536,3.501856,0.773737,-2.728119,5.0,4.0,2.571429,2.428571,2.428571,2.357143,2.0,2.0,True,True,True,False
FTSE,44,QuantGAN,0.490607,0.785845,0.092025,0.587026,0.159536,3.208242,0.604372,-2.60387,4.0,3.0,3.571429,3.428571,3.178571,3.107143,3.0,3.0,True,True,True,False
FTSE,44,CNN-WGAN-GP,0.653157,0.785845,0.092025,0.587026,0.159536,1.441871,0.414523,-1.027349,2.0,2.0,3.714286,3.714286,3.428571,3.428571,4.0,4.0,False,False,False,False
FTSE,44,GARCH,0.729487,0.785845,0.092025,0.587026,0.159536,0.612423,0.892973,0.28055,1.0,5.0,2.857143,3.428571,3.678571,3.964286,5.0,5.0,True,True,True,False
MOEX,42,TimeGAN,0.611892,0.631976,0.14407,0.625181,0.17288,0.139399,0.076869,-0.06253,1.0,1.0,2.428571,2.428571,2.428571,2.428571,1.0,1.0,False,False,False,False
MOEX,42,QuantGAN,0.50128,0.631976,0.14407,0.625181,0.17288,0.907166,0.716689,-0.190476,4.0,4.0,2.714286,2.714286,2.5,2.5,2.0,2.0,False,False,False,False
MOEX,42,CNN-WGAN-GP,0.747027,0.631976,0.14407,0.625181,0.17288,0.798581,0.704799,-0.093781,3.0,3.0,3.285714,3.285714,2.857143,2.857143,3.0,3.0,False,False,False,False
MOEX,42,GJR-GARCH,0.721832,0.631976,0.14407,0.625181,0.17288,0.623698,0.55906,-0.064638,2.0,2.0,2.428571,2.428571,3.071429,3.071429,4.0,4.0,False,False,False,False
