market,seed,model,discriminative_auc_raw,legacy_null_mean,legacy_null_sd,b999_null_mean,b999_null_sd,absz_legacy_stored,absz_b999,absz_delta,absz_rank_legacy,absz_rank_b999,temporal_rank_legacy,temporal_rank_b999,composite_rank_legacy,composite_rank_b999,composite_position_legacy,composite_position_b999,absz_rank_changed,temporal_rank_changed,composite_rank_changed,composite_position_changed
BOVESPA,42,GARCH,0.625519,0.573064,0.123552,0.548796,0.130103,0.424497,0.589714,0.165217,1.0,1.0,1.428571,1.428571,1.464286,1.464286,1.0,1.0,False,False,False,False
BOVESPA,42,GJR-GARCH,0.655582,0.573064,0.123552,0.548796,0.130103,0.667827,0.820786,0.152959,2.0,2.0,2.0,2.0,2.071429,2.071429,2.0,2.0,False,False,False,False
BOVESPA,42,CNN-WGAN-GP,0.844054,0.573064,0.123552,0.548796,0.130103,2.193314,2.269423,0.076109,5.0,5.0,3.142857,3.142857,2.857143,2.857143,3.0,3.0,False,False,False,False
BOVESPA,42,QuantGAN,0.686198,0.573064,0.123552,0.548796,0.130103,0.915633,1.056108,0.140475,3.0,3.0,4.0,4.0,4.178571,4.178571,4.0,4.0,False,False,False,False
BOVESPA,42,TimeGAN,0.775637,0.573064,0.123552,0.548796,0.130103,1.639548,1.743555,0.104006,4.0,4.0,4.428571,4.428571,4.428571,4.428571,5.0,5.0,False,False,False,False
BOVESPA,43,CNN-WGAN-GP,0.594494,0.573064,0.123552,0.548796,0.130103,0.173381,0.351249,0.177868,1.0,1.0,1.571429,1.571429,1.428571,1.428571,1.0,1.0,False,False,False,False
BOVESPA,43,GJR-GARCH,0.759421,0.573064,0.123552,0.548796,0.130103,1.508294,1.618912,0.110618,3.0,3.0,2.285714,2.285714,2.214286,2.214286,2.0,2.0,False,False,False,False
BOVESPA,43,QuantGAN,0.750016,0.573064,0.123552,0.548796,0.130103,1.432171,1.546624,0.114453,2.0,2.0,3.428571,3.428571,3.428571,3.428571,3.0,3.0,False,False,False,False
BOVESPA,43,GARCH,0.819185,0.573064,0.123552,0.548796,0.130103,1.992024,2.078273,0.086249,4.0,4.0,3.571429,3.571429,3.5,3.5,4.0,4.0,False,False,False,False
BOVESPA,43,TimeGAN,0.958125,0.573064,0.123552,0.548796,0.130103,3.116607,3.146203,0.029596,5.0,5.0,4.142857,4.142857,4.428571,4.428571,5.0,5.0,False,False,False,False
BOVESPA,44,CNN-WGAN-GP,0.658752,0.573064,0.123552,0.548796,0.130103,0.693486,0.845152,0.151666,1.0,1.0,2.571429,2.571429,2.5,2.5,1.0,1.0,False,False,False,False
BOVESPA,44,GJR-GARCH,0.883213,0.573064,0.123552,0.548796,0.130103,2.510265,2.570407,0.060142,3.0,3.0,2.428571,2.428571,2.571429,2.571429,2.0,2.0,False,False,False,False
BOVESPA,44,QuantGAN,0.765136,0.573064,0.123552,0.548796,0.130103,1.55455,1.662838,0.108288,2.0,2.0,2.857143,2.857143,3.0,3.0,3.0,3.0,False,False,False,False
BOVESPA,44,GARCH,0.921919,0.573064,0.123552,0.548796,0.130103,2.823554,2.867914,0.044359,5.0,5.0,2.714286,2.714286,3.214286,3.214286,4.0,4.0,False,False,False,False
BOVESPA,44,TimeGAN,0.905129,0.573064,0.123552,0.548796,0.130103,2.687657,2.738862,0.051205,4.0,4.0,4.428571,4.428571,3.714286,3.714286,5.0,5.0,False,False,False,False
FTSE,42,QuantGAN,0.525237,0.785845,0.092025,0.754598,0.116182,2.831937,1.97415,-0.857787,4.0,4.0,2.714286,2.714286,2.214286,2.214286,1.0,1.0,False,False,False,False
FTSE,42,CNN-WGAN-GP,0.457566,0.785845,0.092025,0.754598,0.116182,3.567285,2.556599,-1.010686,5.0,5.0,2.571429,2.571429,2.321429,2.321429,2.0,2.0,False,False,False,False
FTSE,42,GARCH,0.693693,0.785845,0.092025,0.754598,0.116182,1.001384,0.52422,-0.477165,2.0,2.0,2.714286,2.714286,3.107143,3.107143,3.0,3.0,False,False,False,False
FTSE,42,GJR-GARCH,0.711199,0.785845,0.092025,0.754598,0.116182,0.811147,0.373538,-0.437609,1.0,1.0,2.857143,2.857143,3.571429,3.571429,4.0,4.0,False,False,False,False
FTSE,42,TimeGAN,0.91088,0.785845,0.092025,0.754598,0.116182,1.358713,1.345148,-0.013565,3.0,3.0,4.142857,4.142857,3.785714,3.785714,5.0,5.0,False,False,False,False
FTSE,43,GARCH,0.538264,0.785845,0.092025,0.754598,0.116182,2.690376,1.862024,-0.828353,4.0,4.0,3.0,3.0,2.214286,2.214286,1.0,1.0,False,False,False,False
FTSE,43,GJR-GARCH,0.454532,0.785845,0.092025,0.754598,0.116182,3.600254,2.582713,-1.017541,5.0,5.0,2.0,2.0,2.357143,2.357143,2.0,2.0,False,False,False,False
FTSE,43,CNN-WGAN-GP,0.596537,0.785845,0.092025,0.754598,0.116182,2.057141,1.360455,-0.696686,3.0,2.0,3.0,2.857143,2.5,2.428571,3.0,3.0,True,True,True,False
FTSE,43,QuantGAN,0.739915,0.785845,0.092025,0.754598,0.116182,0.499105,0.126378,-0.372727,1.0,1.0,2.714286,2.714286,3.285714,3.285714,4.0,4.0,False,False,False,False
FTSE,43,TimeGAN,0.94468,0.785845,0.092025,0.754598,0.116182,1.725998,1.636065,-0.089933,2.0,3.0,4.285714,4.428571,4.642857,4.714286,5.0,5.0,True,True,True,False
FTSE,44,TimeGAN,0.640166,0.785845,0.092025,0.754598,0.116182,1.583041,0.984934,-0.598107,3.0,3.0,2.285714,2.285714,2.285714,2.285714,1.0,1.0,False,False,False,False
FTSE,44,GJR-GARCH,0.463588,0.785845,0.092025,0.754598,0.116182,3.501856,2.504774,-0.997082,5.0,5.0,2.571429,2.571429,2.428571,2.428571,2.0,2.0,False,False,False,False
FTSE,44,QuantGAN,0.490607,0.785845,0.092025,0.754598,0.116182,3.208242,2.272211,-0.936031,4.0,4.0,3.571429,3.571429,3.178571,3.178571,3.0,3.0,False,False,False,False
FTSE,44,CNN-WGAN-GP,0.653157,0.785845,0.092025,0.754598,0.116182,1.441871,0.873117,-0.568754,2.0,2.0,3.714286,3.714286,3.428571,3.428571,4.0,4.0,False,False,False,False
FTSE,44,GARCH,0.729487,0.785845,0.092025,0.754598,0.116182,0.612423,0.216134,-0.396289,1.0,1.0,2.857143,2.857143,3.678571,3.678571,5.0,5.0,False,False,False,False
MOEX,42,TimeGAN,0.611892,0.631976,0.14407,0.61604,0.140496,0.139399,0.029518,-0.109881,1.0,1.0,2.428571,2.428571,2.428571,2.428571,1.0,1.0,False,False,False,False
MOEX,42,QuantGAN,0.50128,0.631976,0.14407,0.61604,0.140496,0.907166,0.816812,-0.090354,4.0,3.0,2.714286,2.571429,2.5,2.428571,2.0,2.0,True,True,True,False
MOEX,42,CNN-WGAN-GP,0.747027,0.631976,0.14407,0.61604,0.140496,0.798581,0.932318,0.133737,3.0,4.0,3.285714,3.428571,2.857143,2.928571,3.0,3.0,True,True,True,False
MOEX,42,GJR-GARCH,0.721832,0.631976,0.14407,0.61604,0.140496,0.623698,0.752987,0.129289,2.0,2.0,2.428571,2.428571,3.071429,3.071429,4.0,4.0,False,False,False,False
MOEX,42,GARCH,0.767101,0.631976,0.14407,0.61604,0.140496,0.937914,1.075195,0.137281,5.0,5.0,4.142857,4.142857,4.142857,4.142857,5.0,5.0,False,False,False,False
MOEX,43,CNN-WGAN-GP,0.633572,0.631976,0.14407,0.61604,0.140496,0.011081,0.12479,0.113708,1.0,1.0,2.428571,2.428571,1.785714,1.785714,1.0,1.0,False,False,False,False
MOEX,43,GARCH,0.688759,0.631976,0.14407,0.61604,0.140496,0.394136,0.517587,0.123451,3.0,3.0,2.285714,2.285714,2.607143,2.607143,2.0,2.0,False,False,False,False
MOEX,43,GJR-GARCH,0.685981,0.631976,0.14407,0.61604,0.140496,0.374855,0.497816,0.12296,2.0,2.0,1.714286,1.714286,2.607143,2.607143,3.0,3.0,False,False,False,False
MOEX,43,TimeGAN,0.704319,0.631976,0.14407,0.61604,0.140496,0.502139,0.628336,0.126198,4.0,4.0,4.428571,4.428571,3.928571,3.928571,4.0,4.0,False,False,False,False
MOEX,43,QuantGAN,0.714562,0.631976,0.14407,0.61604,0.140496,0.573237,0.701242,0.128006,5.0,5.0,4.142857,4.142857,4.071429,4.071429,5.0,5.0,False,False,False,False
MOEX,44,GJR-GARCH,0.533268,0.631976,0.14407,0.61604,0.140496,0.685136,0.589135,-0.096001,3.0,3.0,2.571429,2.571429,1.928571,1.928571,1.0,1.0,False,False,False,False
MOEX,44,CNN-WGAN-GP,0.610048,0.631976,0.14407,0.61604,0.140496,0.152203,0.042647,-0.109555,1.0,1.0,2.571429,2.571429,2.607143,2.607143,2.0,2.0,False,False,False,False
MOEX,44,GARCH,0.730729,0.631976,0.14407,0.61604,0.140496,0.685457,0.816317,0.13086,4.0,4.0,3.0,3.0,3.285714,3.285714,3.0,3.0,False,False,False,False
MOEX,44,QuantGAN,0.736979,0.631976,0.14407,0.61604,0.140496,0.728838,0.860802,0.131963,5.0,5.0,2.714286,2.714286,3.392857,3.392857,4.0,4.0,False,False,False,False
MOEX,44,TimeGAN,0.65855,0.631976,0.14407,0.61604,0.140496,0.184458,0.302576,0.118118,2.0,2.0,4.142857,4.142857,3.785714,3.785714,5.0,5.0,False,False,False,False
NIFTY50,42,GJR-GARCH,0.364276,0.476928,0.216928,0.556819,0.249152,0.519331,0.772791,0.25346,2.0,3.0,1.571429,1.714286,1.714286,1.785714,1.0,1.0,True,True,True,False
NIFTY50,42,GARCH,0.591708,0.476928,0.216928,0.556819,0.249152,0.529092,0.14003,-0.389061,3.0,2.0,2.857143,2.714286,2.714286,2.642857,2.0,2.0,True,True,True,False
NIFTY50,42,CNN-WGAN-GP,0.828408,0.476928,0.216928,0.556819,0.249152,1.620244,1.090055,-0.530189,4.0,4.0,2.714286,2.714286,3.142857,3.142857,3.0,3.0,False,False,False,False
NIFTY50,42,QuantGAN,0.581325,0.476928,0.216928,0.556819,0.249152,0.481228,0.098357,-0.382871,1.0,1.0,3.285714,3.285714,3.5,3.5,4.0,4.0,False,False,False,False
NIFTY50,42,TimeGAN,0.903829,0.476928,0.216928,0.556819,0.249152,1.967922,1.392765,-0.575157,5.0,5.0,4.571429,4.571429,3.928571,3.928571,5.0,5.0,False,False,False,False
NIFTY50,43,CNN-WGAN-GP,0.593851,0.476928,0.216928,0.556819,0.249152,0.538972,0.148633,-0.390339,3.0,3.0,3.142857,3.142857,2.321429,2.321429,1.0,1.0,False,False,False,False
NIFTY50,43,GARCH,0.586983,0.476928,0.216928,0.556819,0.249152,0.507311,0.121067,-0.386244,2.0,2.0,1.714286,1.714286,2.5,2.5,2.0,2.0,False,False,False,False
NIFTY50,43,GJR-GARCH,0.585957,0.476928,0.216928,0.556819,0.249152,0.502581,0.116948,-0.385632,1.0,1.0,2.571429,2.571429,2.535714,2.535714,3.0,3.0,False,False,False,False
NIFTY50,43,QuantGAN,0.728847,0.476928,0.216928,0.556819,0.249152,1.161281,0.690454,-0.470828,4.0,4.0,2.857143,2.857143,3.5,3.5,4.0,4.0,False,False,False,False
NIFTY50,43,TimeGAN,0.798686,0.476928,0.216928,0.556819,0.249152,1.483227,0.97076,-0.512468,5.0,5.0,4.714286,4.714286,4.142857,4.142857,5.0,5.0,False,False,False,False
NIFTY50,44,QuantGAN,0.567555,0.476928,0.216928,0.556819,0.249152,0.417753,0.043092,-0.374661,1.0,1.0,2.714286,2.714286,2.214286,2.214286,1.0,1.0,False,False,False,False
NIFTY50,44,CNN-WGAN-GP,0.655844,0.476928,0.216928,0.556819,0.249152,0.824751,0.39745,-0.427301,2.0,2.0,2.428571,2.428571,2.214286,2.214286,1.0,1.0,False,False,False,False
NIFTY50,44,GJR-GARCH,0.726568,0.476928,0.216928,0.556819,0.249152,1.150778,0.681309,-0.469469,3.0,3.0,2.142857,2.142857,2.714286,2.714286,3.0,3.0,False,False,False,False
NIFTY50,44,GARCH,0.914817,0.476928,0.216928,0.556819,0.249152,2.018574,1.436866,-0.581708,4.0,4.0,2.714286,2.714286,3.357143,3.357143,4.0,4.0,False,False,False,False
NIFTY50,44,TimeGAN,0.951383,0.476928,0.216928,0.556819,0.249152,2.187135,1.583626,-0.60351,5.0,5.0,5.0,5.0,4.5,4.5,5.0,5.0,False,False,False,False
SHANGHAI,42,QuantGAN,0.727396,0.536611,0.142518,0.5686,0.148715,1.338641,1.067782,-0.270859,3.0,3.0,2.0,2.0,2.071429,2.071429,1.0,1.0,False,False,False,False
