n,mean,sd,p2_5,p25,p50,p75,p97_5,min,max,frac_lt_0_5,frac_gt_0_9,frac_gt_0_95,kde_modes,kde_mode_locations,bimodality_coef,hist10,market,variant
248,0.5442438714902315,0.12558117934021665,0.2954203032544379,0.48253733572281965,0.5350389367927956,0.6031888509930668,0.8005629824433242,0.25062666666666666,0.8275415721844294,0.31451612903225806,0.0,0.0,1,0.53,0.16779168484640553,0 0 7 23 48 107 32 24 7 0,BOVESPA,V0 legacy (left-anchored truncation)
189,0.6832182736108329,0.17630002234982606,0.4569591836734694,0.5345162858531842,0.6411496561848103,0.8010868418275825,1.0,0.4286258032624815,1.0,0.13227513227513227,0.19576719576719576,0.13756613756613756,1,0.55,0.256656235282528,0 0 0 0 25 56 33 27 11 37,BOVESPA,"V1 literal: [0:n] vs [n:2n], n=60..N/2"
248,0.6765738210672205,0.1445094835181589,0.4590664840010079,0.5385904074027985,0.6537476586888658,0.8011722742278298,0.943999145855012,0.4286258032624815,0.956774193548387,0.09274193548387097,0.05241935483870968,0.020161290322580645,2,0.54;0.80,0.21583006155874515,0 0 0 0 23 72 45 45 50 13,BOVESPA,"V2 minimal fix: adjacent at the cut, same cuts"
251,0.7513434087179108,0.12017318837946112,0.4992340458779261,0.6554460775609197,0.7728677145789444,0.8376494095807765,0.9648176428314769,0.4533896169354839,0.9865800865800866,0.027888446215139442,0.05976095617529881,0.035856573705179286,1,0.83,0.22558494229773632,0 0 0 0 7 25 41 65 98 15,FTSE,V0 legacy (left-anchored truncation)
191,0.6286089875310529,0.1462748755701779,0.1351818181818182,0.5935192306383443,0.658974358974359,0.7204838504507494,0.8089816568047338,0.032,0.8299621928166353,0.1099476439790576,0.0,0.0,1,0.68,0.4659463407363614,4 3 2 4 8 29 76 57 8 0,FTSE,"V1 literal: [0:n] vs [n:2n], n=60..N/2"
251,0.7346528766446455,0.11341150460085583,0.4992340458779261,0.654211670347236,0.7396987179487179,0.8232853223593964,0.9252756822986739,0.4533896169354839,0.9564466891133557,0.027888446215139442,0.04780876494023904,0.00796812749003984,1,0.74,0.2040098704242211,0 0 0 0 7 25 53 83 71 12,FTSE,"V2 minimal fix: adjacent at the cut, same cuts"
250,0.6209688265731715,0.13893763849221683,0.35480171039094655,0.5307947338074188,0.6189284373845159,0.7337657560210291,0.8444266940915272,0.28351961428884503,0.8549054878048781,0.192,0.0,0.0,1,0.58,0.1961483281912021,0 0 1 19 28 61 63 43 35 0,MOEX,V0 legacy (left-anchored truncation)
191,0.5840220920997403,0.20589928619335257,0.13694753049148653,0.4771899814471243,0.5651143317230274,0.7284565009393746,0.9925925925925925,0.041673710904480125,1.0,0.34554973821989526,0.06282722513089005,0.05759162303664921,1,0.54,0.1706706919643314,4 2 13 10 37 37 34 20 22 12,MOEX,"V1 literal: [0:n] vs [n:2n], n=60..N/2"
250,0.589125498312483,0.15081885271345172,0.19479966666666668,0.518230083234245,0.6100752984389348,0.6809052771863946,0.8444266940915272,0.15729166666666664,0.8549054878048781,0.212,0.0,0.0,1,0.61,0.23683043483948715,0 7 7 16 23 63 81 33 20 0,MOEX,"V2 minimal fix: adjacent at the cut, same cuts"
248,0.568498121771279,0.2489025771223422,0.23086984112144468,0.3341838909013424,0.5582556191874803,0.7745020810220752,0.9953949921548018,0.21909469302809575,0.997738751147842,0.45161290322580644,0.14112903225806453,0.11290322580645161,2,0.32;0.63,0.2285176361108262,0 0 43 52 17 27 27 26 21 35,NIFTY50,V0 legacy (left-anchored truncation)
189,0.6745603714606117,0.2570306077034172,0.05768148148148148,0.4936942296252231,0.749021994967941,0.8500195963158926,0.9959316578079179,0.011111111111111113,0.997738751147842,0.25396825396825395,0.18518518518518517,0.14814814814814814,1,0.79,0.2872811302892553,10 4 2 15 17 12 16 44 34 35,NIFTY50,"V1 literal: [0:n] vs [n:2n], n=60..N/2"
248,0.6628864311613277,0.28354360527939565,0.12263841537040983,0.42873417728591284,0.7367369427109687,0.9178379607048051,0.9953949921548018,0.10604865220249834,0.997738751147842,0.3064516129032258,0.27419354838709675,0.21370967741935484,1,0.92,0.2504015191487508,0 25 13 21 17 18 21 30 35 68,NIFTY50,"V2 minimal fix: adjacent at the cut, same cuts"
244,0.5709025127985732,0.1495029682144773,0.35315819021930517,0.44349537605943967,0.5390155112377335,0.7241623631616737,0.8617977783399858,0.34901387874360845,0.9826904761904762,0.38934426229508196,0.020491803278688523,0.00819672131147541,2,0.47;0.74,0.22726948900579072,0 0 0 29 66 61 22 51 10 5,SHANGHAI,V0 legacy (left-anchored truncation)
184,0.753751834662286,0.18209448605726553,0.42292619189258096,0.6089285714285715,0.7568915021629954,0.9181658496732026,1.0,0.4135098155859607,1.0,0.14673913043478262,0.2826086956521739,0.20652173913043478,3,0.49;0.76;0.96,0.21608294049893204,0 0 0 0 27 18 12 53 22 52,SHANGHAI,"V1 literal: [0:n] vs [n:2n], n=60..N/2"
244,0.7004730722220489,0.13124983865380171,0.425015625,0.5907758229393331,0.7267320206293271,0.8048490353382617,0.8820890861275474,0.4135098155859607,0.9826904761904762,0.11065573770491803,0.020491803278688523,0.00819672131147541,1,0.74,0.2299023172974878,0 0 0 0 27 36 38 76 62 5,SHANGHAI,"V2 minimal fix: adjacent at the cut, same cuts"
