n,mean,sd,p2_5,p25,p50,p75,p97_5,min,max,frac_lt_0_5,frac_gt_0_9,frac_gt_0_95,kde_modes,kde_mode_locations,bimodality_coef,hist10,market,null,L,n_series,n_positions,independent_blocks
3962,0.5709788872928556,0.17685071744767575,0.2369110110803324,0.45534666435826415,0.5661575484764543,0.6800824099722993,0.91478324099723,0.15009441366574328,0.9250921052631579,0.32937910146390714,0.04846037354871277,0.0,1,0.55,0.18482282657642812,0 43 227 497 538 1054 674 436 301 192,BOVESPA,track_a,496,4953,3962,4.992943548387097
3304,0.5798071912113666,0.1316440899338258,0.32475348173295787,0.48614443887195713,0.5907256664480538,0.6678426758226921,0.8206309555958488,0.285459665907951,0.8967092318969175,0.26785714285714285,0.0,0.0,1,0.59,0.1819447011421264,0 0 25 360 500 954 907 392 166 0,BOVESPA,walk_forward,825,4953,3304,3.001818181818182
3996,0.5870260866290294,0.15953554099762546,0.1782761546481243,0.5118741834013459,0.6132652536154066,0.7100346551045246,0.805350399126575,0.11154670496849943,0.8706908200887742,0.23323323323323322,0.0,0.0,3,0.18;0.61;0.72,0.28148511064311355,0 143 122 284 383 907 1068 974 115 0,FTSE,track_a,501,4997,3996,4.987025948103793
3334,0.535000914944325,0.18582582993866575,0.2343381087164066,0.37973526873334995,0.5090942668286201,0.7156687406434938,0.8268754003252159,0.18015742774509722,0.8355687493396096,0.47960407918416315,0.0,0.0,2,0.49;0.80,0.21164921315806226,0 17 382 595 605 512 374 430 419 0,FTSE,walk_forward,832,4997,3334,3.0030048076923075
3995,0.6251814198086149,0.1728797049414955,0.2710959201388889,0.4769205729166667,0.6768446180555555,0.75244140625,0.8762033420138889,0.22515190972222218,0.9448567708333334,0.26633291614518145,0.01376720901126408,0.0,2,0.39;0.70,0.26165609376636134,0 0 201 466 397 281 1012 1132 451 55,MOEX,track_a,500,4994,3995,4.994
3331,0.6017028997014481,0.1651254497278135,0.262744075654336,0.47682097129066253,0.6337927313564163,0.7397815264581656,0.8464904160390037,0.1971152272725148,0.863434096066831,0.2891023716601621,0.0,0.0,2,0.49;0.74,0.23652761664251454,0 5 139 391 428 387 857 880 244 0,MOEX,walk_forward,832,4994,3331,3.001201923076923
3963,0.6378665152662124,0.17006558968909344,0.24061649353647277,0.5239849953831948,0.6650297783933519,0.7803710757156048,0.9063799284395198,0.15596975992613113,0.9736124192059095,0.20893262679788038,0.026747413575574062,0.012364370426444614,1,0.80,0.233987627762873,0 34 142 245 407 666 789 954 620 106,NIFTY50,track_a,496,4954,3963,4.993951612903226
3305,0.6630263874622887,0.13570910117780804,0.26254079703715133,0.606944176536399,0.6943867906330774,0.7605570772732533,0.852059719918213,0.1950001928937927,0.8883685043015316,0.10075642965204236,0.0,0.0,2,0.55;0.76,0.3524959432933742,0 6 103 77 147 476 946 1283 267 0,NIFTY50,walk_forward,825,4954,3305,3.0024242424242424
3889,0.6931884248350821,0.1568575350846694,0.4242884308356888,0.5678423037468358,0.668093224404248,0.8253825925023925,0.9755376959087632,0.24338590367106763,0.9884674897848231,0.08331190537413216,0.1262535356132682,0.031884803291334536,2,0.56;0.89,0.19031975741722282,0 0 36 39 249 935 877 588 674 491,SHANGHAI,track_a,486,4860,3889,5.0
3241,0.6626849395619665,0.14444553702101995,0.4249238904021791,0.5720878064412755,0.6302916199327031,0.7541499759653902,0.9500480692196763,0.3699246915558404,0.9810607274475245,0.12372724467756865,0.11786485652576366,0.025609379821042888,2,0.61;0.95,0.22188665118734624,0 0 0 29 372 746 1020 487 205 382,SHANGHAI,walk_forward,810,4860,3241,3.0
