market,null,L,persistence,generated_from,pairs,rejected,mean,sd,p2_5,p97_5,frac_lt_0_5
BOVESPA,track_a,496,0.9735196826188716,unconstrained,300,0,0.5240727339181287,0.1350781573446483,0.22981355609418283,0.7623303554939979,0.4033333333333333
BOVESPA,walk_forward,825,0.9735196826188716,unconstrained,300,0,0.5133350179391227,0.11409813045793157,0.28208981134987077,0.7157003973612127,0.44
FTSE,track_a,501,0.9860196257357546,unconstrained,300,0,0.5534239474453513,0.15927052049031407,0.2266306636150487,0.8544412787263743,0.35333333333333333
FTSE,walk_forward,832,0.9860196257357546,unconstrained,300,0,0.5270941895298145,0.1372935166930085,0.25568276079230035,0.7826470964324419,0.4066666666666667
MOEX,track_a,500,0.9913984945034321,unconstrained,300,0,0.5688394097222221,0.17502911758916825,0.21380208333333336,0.9105740017361109,0.38333333333333336
MOEX,walk_forward,832,0.9913984945034321,unconstrained,300,0,0.5399104426322862,0.14566668637262806,0.2645881617814133,0.8388639950890324,0.4
NIFTY50,track_a,496,0.9905321430401564,unconstrained,300,0,0.573133405663281,0.16981732011699782,0.24576570867959371,0.9137126615881808,0.35
NIFTY50,walk_forward,825,0.9905321430401564,unconstrained,300,0,0.5502331185782441,0.14045324377445922,0.27155472396898267,0.8224017206126298,0.34
SHANGHAI,track_a,486,0.9999000000000001,constrained,300,8,0.7043494750756247,0.22516880046045148,0.22727377780729788,1.0,0.19666666666666666
SHANGHAI,walk_forward,810,0.9999000000000001,constrained,300,5,0.6476948005127384,0.1989608823141451,0.2444700368530684,0.9932851305880468,0.23333333333333334
