,mean_acf_abs_lags_1_50,signed_bias_vs_real_mean,mae_vs_real_mean,share_units_draws_mae_gt_control,acf_abs_lag1,acf_abs_lag10,acf_abs_lag50
CNN-WGAN-GP,0.07180512037614993,0.012143244541635284,0.06401142065620798,0.29,0.10174432126693761,0.09726606226088003,0.028230313103996787
CONTROL: shuffled real,-0.0025278261001989177,-0.05380839501227184,0.07303939061068768,0.0,-0.010077634053932064,0.011057098930537745,0.013805413789475777
GARCH,0.02946612521899743,0.036979025398317426,0.0743699107167835,0.44666666666666666,0.07890340472143957,0.08032318978534911,-0.007337774939731077
GJR-GARCH,0.027067612664365262,0.022868560655692195,0.07070952184142819,0.39,0.08521229763398283,0.0946518384733002,-0.013952809996037041
QuantGAN,0.14266338441761842,0.03479580720825976,0.07908791132885172,0.42333333333333334,0.20433166703205471,0.21467136181055438,0.06905226151575516
TimeGAN,0.06456717241148041,0.03824801467695933,0.11773858637768757,0.52,0.09145434636901385,0.07553518387768723,0.034578551570210565
iid,-0.003018574892646518,-0.05312090605633217,0.07159279139469556,0.44,-0.01401113011414626,-0.006750986532818738,-0.012862671648437896
real,0.05128056891207291,,,,0.15845630884395615,0.08094343010718189,-0.022350754684018672
sb_abs,0.07295713896677775,0.028082602936262576,0.07355133576228579,0.36,0.11839441901217954,0.1264341664476343,0.041360938873354826
sb_r,0.0003570911866094839,-0.047778102444919195,0.0705899723391826,0.37333333333333335,0.08212596811927182,-0.008121513724949616,-0.00892582496724272
