frame,scenario,entry,overall_composite_mean,overall_composite_sd_over_draws,min,max,within_unit_sd_mean,position_min,position_max,position_mode,draws_ahead_of_all_generators,draws
A,S0,CONTROL: shuffled real,2.576666666666667,0.05506129340785621,2.469047619047619,2.683333333333333,0.21086980902466848,1,1,1,20,20
A,S0,iid,5.208571428571429,0.16251433236160537,4.864285714285714,5.409523809523809,0.641213495848504,4,7,7,0,20
A,S0,sb_r,4.890119047619048,0.2404858369240678,4.383333333333334,5.245238095238095,0.721015215286768,3,7,6,0,20
A,S4,CONTROL: shuffled real,2.739285714285714,0.0806972982471208,2.5766666666666667,2.8699999999999997,0.26485443487038596,1,1,1,20,20
A,S4,iid,5.082333333333333,0.14968359037912693,4.805714285714286,5.312857142857142,0.6350656922691518,5,7,6,0,20
A,S4,sb_r,4.813452380952381,0.24242267269737203,4.392857142857142,5.2976190476190474,0.7363725864958199,3,7,5,0,20
B,S0,CONTROL: shuffled real,2.602738095238095,0.061674310786999774,2.5142857142857142,2.7666666666666666,0.2185485733832425,1,1,1,20,20
B,S0,iid,5.226666666666667,0.18621742781300393,4.888095238095238,5.492857142857143,0.6318013452186969,5,7,7,0,20
B,S0,sb_abs,4.657142857142857,0.33981348829407926,4.166666666666667,5.457142857142857,1.0968453477902544,3,7,4,0,20
B,S4,CONTROL: shuffled real,2.755785714285715,0.0868634021125492,2.5923809523809522,2.940952380952381,0.27033845350576724,1,1,1,20,20
B,S4,iid,5.095428571428572,0.16795821802682034,4.845238095238096,5.372857142857143,0.6293053776624414,5,7,7,0,20
B,S4,sb_abs,4.634333333333332,0.3722352239385274,4.107142857142858,5.404761904761904,1.1318981164073239,3,7,4,0,20
P,S0,CONTROL: shuffled real,2.638452380952381,0.0232423036371736,2.5833333333333335,2.6857142857142855,0.09624817233851825,1,1,1,20,20
P,S0,iid,5.268571428571429,0.12555070241046393,5.023809523809524,5.497619047619048,0.5319764616855764,6,7,7,0,20
P,S0,sb_r,4.929404761904762,0.1751463933403463,4.554761904761905,5.188095238095238,0.6415798433800294,4,7,6,0,20
P,S4,CONTROL: shuffled real,2.815404761904762,0.029281190432425882,2.7347619047619047,2.8685714285714283,0.13026306531132487,1,1,1,20,20
P,S4,iid,5.188904761904762,0.12833832949295623,4.991428571428571,5.417619047619048,0.532231213018042,6,7,7,0,20
P,S4,sb_r,4.8899761904761885,0.17077426476115842,4.569999999999999,5.165238095238095,0.689016126107579,5,7,6,0,20
