frame,scenario,entry,fidelity_rank,temporal_rank,composite,position,n_entries
A,S0,CNN-WGAN-GP,4.336666666666667,3.93,4.133333333333334,2,8
A,S0,CONTROL: shuffled real,1.0319047619047619,4.121428571428571,2.5766666666666667,1,8
A,S0,GARCH,5.02452380952381,4.26904761904762,4.6467857142857145,5,8
A,S0,GJR-GARCH,4.552380952380952,3.895238095238095,4.223809523809524,3,8
A,S0,QuantGAN,4.927857142857143,4.28,4.603928571428571,4,8
A,S0,TimeGAN,5.639761904761905,5.793809523809524,5.716785714285715,8,8
A,S0,iid,5.28,5.137142857142858,5.208571428571429,7,8
A,S0,sb_r,5.206904761904762,4.573333333333333,4.890119047619048,6,8
A,S4,CNN-WGAN-GP,4.336666666666667,3.93,4.133333333333334,2,8
A,S4,CONTROL: shuffled real,1.0319047619047619,4.446666666666667,2.7392857142857143,1,8
A,S4,GARCH,5.02452380952381,4.215333333333333,4.619928571428572,4,8
A,S4,GJR-GARCH,4.552380952380952,3.8833333333333333,4.2178571428571425,3,8
A,S4,QuantGAN,4.927857142857143,4.410666666666667,4.669261904761905,5,8
A,S4,TimeGAN,5.639761904761905,5.809333333333333,5.724547619047619,8,8
A,S4,iid,5.28,4.884666666666666,5.082333333333334,7,8
A,S4,sb_r,5.206904761904762,4.42,4.8134523809523815,6,8
B,S0,CNN-WGAN-GP,4.3723809523809525,4.007142857142857,4.189761904761905,2,8
B,S0,CONTROL: shuffled real,1.0302380952380952,4.175238095238096,2.602738095238095,1,8
B,S0,GARCH,5.030952380952382,4.327619047619048,4.679285714285714,6,8
B,S0,GJR-GARCH,4.560476190476191,3.953809523809524,4.257142857142857,3,8
B,S0,QuantGAN,4.947619047619048,4.325238095238095,4.636428571428572,4,8
B,S0,TimeGAN,5.652142857142858,5.84952380952381,5.7508333333333335,8,8
B,S0,iid,5.296190476190477,5.1571428571428575,5.2266666666666675,7,8
B,S0,sb_abs,5.11,4.204285714285715,4.6571428571428575,5,8
B,S4,CNN-WGAN-GP,4.3723809523809525,3.998666666666667,4.18552380952381,2,8
B,S4,CONTROL: shuffled real,1.0302380952380952,4.481333333333334,2.755785714285714,1,8
B,S4,GARCH,5.030952380952382,4.241333333333333,4.636142857142858,5,8
B,S4,GJR-GARCH,4.560476190476191,3.9099999999999997,4.235238095238095,3,8
B,S4,QuantGAN,4.947619047619048,4.441999999999999,4.694809523809524,6,8
B,S4,TimeGAN,5.652142857142858,5.873333333333333,5.762738095238095,8,8
B,S4,iid,5.296190476190477,4.894666666666667,5.095428571428571,7,8
B,S4,sb_abs,5.11,4.158666666666666,4.634333333333333,4,8
C,S0,CNN-WGAN-GP,4.737857142857143,4.403809523809524,4.570833333333334,2,9
C,S0,CONTROL: shuffled real,1.0338095238095237,4.61952380952381,2.8266666666666667,1,9
C,S0,GARCH,5.501190476190476,4.772380952380953,5.136785714285714,6,9
C,S0,GJR-GARCH,4.97452380952381,4.361904761904762,4.668214285714286,3,9
C,S0,QuantGAN,5.413095238095238,4.786666666666666,5.0998809523809525,4,9
C,S0,TimeGAN,6.226904761904762,6.507142857142857,6.367023809523809,9,9
C,S0,iid,5.795714285714285,5.770952380952381,5.783333333333333,8,9
C,S0,sb_abs,5.603095238095238,4.636190476190476,5.119642857142858,5,9
C,S0,sb_r,5.713809523809524,5.1414285714285715,5.427619047619047,7,9
C,S4,CNN-WGAN-GP,4.737857142857143,4.418666666666667,4.578261904761905,2,9
C,S4,CONTROL: shuffled real,1.0338095238095237,4.997333333333333,3.0155714285714286,1,9
C,S4,GARCH,5.501190476190476,4.707333333333334,5.104261904761905,4,9
C,S4,GJR-GARCH,4.97452380952381,4.348,4.661261904761904,3,9
C,S4,QuantGAN,5.413095238095238,4.9446666666666665,5.178880952380952,6,9
C,S4,TimeGAN,6.226904761904762,6.526,6.376452380952381,9,9
C,S4,iid,5.795714285714285,5.479333333333333,5.63752380952381,8,9
C,S4,sb_abs,5.603095238095238,4.620666666666667,5.111880952380953,5,9
C,S4,sb_r,5.713809523809524,4.958,5.335904761904762,7,9
P,S0,CNN-WGAN-GP,4.12047619047619,3.966666666666667,4.043571428571428,3,8
P,S0,CONTROL: shuffled real,1.0454761904761904,4.231428571428571,2.6384523809523808,1,8
P,S0,GARCH,5.109285714285715,4.033333333333333,4.571309523809523,4,8
P,S0,GJR-GARCH,4.488809523809524,3.4752380952380952,3.9820238095238096,2,8
P,S0,QuantGAN,5.04047619047619,4.197619047619048,4.619047619047619,5,8
P,S0,TimeGAN,5.755714285714286,6.139523809523809,5.947619047619048,8,8
P,S0,iid,5.25047619047619,5.286666666666666,5.26857142857143,7,8
P,S0,sb_r,5.189285714285714,4.66952380952381,4.929404761904762,6,8
P,S4,CNN-WGAN-GP,4.12047619047619,3.978,4.0492380952380955,3,8
P,S4,CONTROL: shuffled real,1.0454761904761904,4.585333333333334,2.8154047619047615,1,8
P,S4,GARCH,5.109285714285715,3.8706666666666667,4.48997619047619,4,8
P,S4,GJR-GARCH,4.488809523809524,3.380666666666667,3.9347380952380955,2,8
P,S4,QuantGAN,5.04047619047619,4.373333333333334,4.706904761904762,5,8
P,S4,TimeGAN,5.755714285714286,6.093999999999999,5.924857142857143,8,8
P,S4,iid,5.25047619047619,5.1273333333333335,5.188904761904762,7,8
P,S4,sb_r,5.189285714285714,4.5906666666666665,4.88997619047619,6,8
