metric,TimeGAN,QuantGAN,CNN-WGAN-GP,GARCH,GJR-GARCH,CONTROL: shuffled real,iid,sb_r,generators_mean
absz,5.296666666666667,4.07,4.133333333333334,4.636666666666667,4.176666666666667,3.61,5.42,4.656666666666666,4.462666666666666
acf_absolute_mae,5.623333333333333,4.333333333333333,3.216666666666667,4.29,3.7866666666666666,5.116666666666666,4.923333333333333,4.71,4.25
acf_returns_mae,6.65,5.01,4.586666666666667,5.033333333333333,4.67,4.046666666666667,2.816666666666667,3.1866666666666665,5.19
acf_squared_mae,5.79,4.926666666666667,4.29,5.073333333333333,4.593333333333334,4.09,3.54,3.6966666666666668,4.934666666666667
dist,6.213333333333333,3.8366666666666664,3.7266666666666666,4.17,3.6733333333333333,3.006666666666667,6.116666666666666,5.256666666666667,4.324
energy_distance,6.496666666666667,4.83,4.27,5.26,4.623333333333333,1.0,4.726666666666667,4.793333333333333,5.096000000000001
extreme_events_diff,5.705,5.118333333333333,4.573333333333333,4.431666666666667,4.423333333333333,1.2233333333333334,5.316666666666666,5.208333333333333,4.850333333333333
hurst_diff,5.366666666666666,3.7266666666666666,3.0366666666666666,2.9633333333333334,2.8966666666666665,5.9,6.953333333333333,5.156666666666666,3.5980000000000003
mean_diff,6.006666666666667,4.77,4.5633333333333335,5.36,4.9,1.0,4.72,4.68,5.12
quantile_mse,4.923333333333333,4.923333333333333,3.8366666666666664,5.28,4.623333333333333,1.0,5.76,5.653333333333333,4.717333333333333
resid_kurtosis_diff,5.616666666666666,4.056666666666667,4.52,3.716666666666667,3.47,3.08,6.19,5.35,4.275999999999999
std_diff,4.576666666666667,4.88,3.933333333333333,5.036666666666667,4.49,1.0,6.083333333333333,6.0,4.583333333333334
tail_index_diff,5.77,5.116666666666666,5.116666666666666,4.6433333333333335,4.37,1.0,5.08,4.903333333333333,5.003333333333334
wasserstein,6.0,4.8566666666666665,4.0633333333333335,5.16,4.4366666666666665,1.0,5.273333333333333,5.21,4.903333333333333
