market,null,L,N,M_obs,positions,approx_independent_pairs,rbf_x1_mean,rbf_x1_sd,rbf_x1_p97_5,rbf_x1_median,poly3_mean,poly3_sd,poly3_p97_5,poly3_median,sigma_median,sigma_min,sigma_max
BOVESPA,L (test block only),496,4953,496,0,0.5,,,,,,,,,,,
BOVESPA,2L (valid+test),496,4953,992,1,1.0,0.13826526275655815,0.0,0.13826526275655815,0.13826526275655815,0.14781099514543072,0.0,0.14781099514543072,0.14781099514543072,2.8225775484576734,2.8225775484576734,2.8225775484576734
BOVESPA,3L,496,4953,1488,497,1.5,0.2645444074800268,0.08750971540582972,0.400954938483868,0.2713218794481893,1.8559130428462431,1.7892129495755142,5.322988568801789,1.079132313638576,3.5199608764680708,2.8225775484576734,6.765791827272664
BOVESPA,4L,496,4953,1984,993,2.0,0.2684396064112796,0.07863005911983319,0.3995617444666278,0.25038262886790486,2.8191823193446917,1.6950692056376624,5.331381896993191,3.1775998090490454,6.765791827272664,2.8225775484576734,7.50124254815219
BOVESPA,6L,496,4953,2976,1985,3.0,0.23062971732106075,0.07001502843154342,0.3949930708105821,0.2020553559252496,2.9809664361423973,1.271273762969866,5.290237727145342,3.0635386115142413,7.434401178788976,2.8225775484576734,7.925932859132769
BOVESPA,all (existing null),496,4953,4953,3962,4.99,0.22306983526864788,0.05749025487112268,0.3851418872832637,0.20348337583453896,3.2678246877843975,1.0806571516247747,5.273291019246194,3.155345403531836,7.635525583789541,2.8225775484576734,7.9722223370262055
FTSE,L (test block only),501,4997,501,0,0.5,,,,,,,,,,,
FTSE,2L (valid+test),501,4997,1002,1,1.0,0.15134609461162696,0.0,0.15134609461162696,0.15134609461162696,0.21710070707312212,0.0,0.21710070707312212,0.21710070707312212,3.1990172288732834,3.1990172288732834,3.1990172288732834
FTSE,3L,501,4997,1503,502,1.5,0.2697062476422137,0.04632270416309035,0.33778152241329074,0.28253045392034126,1.8125733033328826,1.4657426676538343,4.781139485143088,1.318191120533596,3.6656327823638675,3.1451634991585524,6.917016322142285
FTSE,4L,501,4997,2004,1003,2.0,0.26056418310073315,0.06088716040440352,0.3646582533268452,0.2733549778635489,2.745366092896847,1.5346286136456533,5.19814518614531,2.9511368267310765,6.895347237200853,3.1451634991585524,7.897486546558518
FTSE,6L,501,4997,3006,2005,3.0,0.21453807333285957,0.06505875499034232,0.3601171482222728,0.18619219614914528,2.8058062783012865,1.1330863926356656,5.124827087670068,2.8600130032682003,7.620615852962553,3.1451634991585524,7.9496165326837485
FTSE,all (existing null),501,4997,4997,3996,4.99,0.20518698062785815,0.05184210341062117,0.34674194687547255,0.18962252139993885,3.087604949476902,0.9537459241049092,4.93129767906531,3.05816397877442,7.755816120006151,3.1451634991585524,8.044202670552222
MOEX,L (test block only),500,4994,500,0,0.5,,,,,,,,,,,
MOEX,2L (valid+test),500,4994,1000,1,1.0,0.3347229835141299,0.0,0.3347229835141299,0.3347229835141299,0.5365821960042894,0.0,0.5365821960042894,0.5365821960042894,3.319463403809527,3.319463403809527,3.319463403809527
MOEX,3L,500,4994,1500,501,1.5,0.28752591782026365,0.05384644407199917,0.37377042981621744,0.28335788479502044,1.7152902059370199,1.4463959355618052,4.79102346407339,0.9906467585536678,3.7290916759900457,3.2804500212576757,6.9005956235985915
MOEX,4L,500,4994,2000,1001,2.0,0.2707032046524949,0.07478993708586403,0.3806286183256269,0.2753281968516301,2.60309181949168,1.5917249160404305,5.107325402596917,2.3687512510418998,6.889957928258782,3.2804500212576757,7.58494734551196
MOEX,6L,500,4994,3000,2001,3.0,0.2298472344201448,0.06929071577960548,0.37934565150019095,0.21061473969558864,2.776429958753478,1.189395733070871,5.0803784428287475,2.741462469101389,7.425277612322003,3.2804500212576757,7.88412077406365
MOEX,all (existing null),500,4994,4994,3995,4.99,0.22380269844390713,0.054466648733476085,0.37095788756142023,0.2136546322762789,3.0240716407492276,0.9609046621578765,4.989735269566767,3.018590222327312,7.429217482246546,3.2804500212576757,7.88412077406365
NIFTY50,L (test block only),496,4954,496,0,0.5,,,,,,,,,,,
NIFTY50,2L (valid+test),496,4954,992,1,1.0,0.18854207758522268,0.0,0.18854207758522268,0.18854207758522268,0.25174988961449785,0.0,0.25174988961449785,0.25174988961449785,3.1231891166216315,3.1231891166216315,3.1231891166216315
NIFTY50,3L,496,4954,1488,497,1.5,0.2364819014966444,0.06651906750058259,0.3607593000538474,0.2451691304064323,1.2716419350384691,1.1402584799380286,3.660050145509737,0.8759903886667733,3.171176322264891,3.078155567915129,6.497750860305329
NIFTY50,4L,496,4954,1984,993,2.0,0.2553315847549131,0.06787468733957906,0.36679675401869316,0.25472755609064424,2.181549330619835,1.258487790031367,3.803622099408946,2.648241174938594,6.489332422434046,3.078155567915129,7.2884668641035155
NIFTY50,6L,496,4954,2976,1985,3.0,0.22798129537510392,0.057798501773238246,0.3656302033986137,0.21408111621223713,2.4196434909130207,0.9554780491797857,3.779592032019677,2.70602727258526,7.161609461727143,3.078155567915129,7.443499850749247
