market,seed,model,null,stat,n_draws,positions,share_p_le_05,mean_p,share_above_p97_5,p_floor
BOVESPA,42,TimeGAN,L (test block only),rbf_x1,20,0,,,,
BOVESPA,42,TimeGAN,L (test block only),poly3,20,0,,,,
BOVESPA,42,GARCH,L (test block only),rbf_x1,20,0,,,,
BOVESPA,42,GARCH,L (test block only),poly3,20,0,,,,
BOVESPA,42,QuantGAN,L (test block only),rbf_x1,20,0,,,,
BOVESPA,42,QuantGAN,L (test block only),poly3,20,0,,,,
BOVESPA,42,GJR-GARCH,L (test block only),rbf_x1,20,0,,,,
BOVESPA,42,GJR-GARCH,L (test block only),poly3,20,0,,,,
BOVESPA,42,CNN-WGAN-GP,L (test block only),rbf_x1,20,0,,,,
BOVESPA,42,CNN-WGAN-GP,L (test block only),poly3,20,0,,,,
BOVESPA,42,CONTROL: shuffled real,L (test block only),rbf_x1,20,0,,,,
BOVESPA,42,CONTROL: shuffled real,L (test block only),poly3,20,0,,,,
BOVESPA,43,TimeGAN,L (test block only),rbf_x1,20,0,,,,
BOVESPA,43,TimeGAN,L (test block only),poly3,20,0,,,,
BOVESPA,43,GARCH,L (test block only),rbf_x1,20,0,,,,
BOVESPA,43,GARCH,L (test block only),poly3,20,0,,,,
BOVESPA,43,QuantGAN,L (test block only),rbf_x1,20,0,,,,
BOVESPA,43,QuantGAN,L (test block only),poly3,20,0,,,,
BOVESPA,43,GJR-GARCH,L (test block only),rbf_x1,20,0,,,,
BOVESPA,43,GJR-GARCH,L (test block only),poly3,20,0,,,,
BOVESPA,43,CNN-WGAN-GP,L (test block only),rbf_x1,20,0,,,,
BOVESPA,43,CNN-WGAN-GP,L (test block only),poly3,20,0,,,,
BOVESPA,43,CONTROL: shuffled real,L (test block only),rbf_x1,20,0,,,,
BOVESPA,43,CONTROL: shuffled real,L (test block only),poly3,20,0,,,,
BOVESPA,44,TimeGAN,L (test block only),rbf_x1,20,0,,,,
BOVESPA,44,TimeGAN,L (test block only),poly3,20,0,,,,
BOVESPA,44,GARCH,L (test block only),rbf_x1,20,0,,,,
BOVESPA,44,GARCH,L (test block only),poly3,20,0,,,,
BOVESPA,44,QuantGAN,L (test block only),rbf_x1,20,0,,,,
BOVESPA,44,QuantGAN,L (test block only),poly3,20,0,,,,
BOVESPA,44,GJR-GARCH,L (test block only),rbf_x1,20,0,,,,
BOVESPA,44,GJR-GARCH,L (test block only),poly3,20,0,,,,
BOVESPA,44,CNN-WGAN-GP,L (test block only),rbf_x1,20,0,,,,
BOVESPA,44,CNN-WGAN-GP,L (test block only),poly3,20,0,,,,
BOVESPA,44,CONTROL: shuffled real,L (test block only),rbf_x1,20,0,,,,
BOVESPA,44,CONTROL: shuffled real,L (test block only),poly3,20,0,,,,
BOVESPA,42,TimeGAN,2L (valid+test),rbf_x1,20,1,0.0,0.5,1.0,0.5
BOVESPA,42,TimeGAN,2L (valid+test),poly3,20,1,0.0,0.5,1.0,0.5
BOVESPA,42,GARCH,2L (valid+test),rbf_x1,20,1,0.0,0.525,0.95,0.5
BOVESPA,42,GARCH,2L (valid+test),poly3,20,1,0.0,0.55,0.9,0.5
BOVESPA,42,QuantGAN,2L (valid+test),rbf_x1,20,1,0.0,0.55,0.9,0.5
BOVESPA,42,QuantGAN,2L (valid+test),poly3,20,1,0.0,0.525,0.95,0.5
BOVESPA,42,GJR-GARCH,2L (valid+test),rbf_x1,20,1,0.0,0.525,0.95,0.5
BOVESPA,42,GJR-GARCH,2L (valid+test),poly3,20,1,0.0,0.525,0.95,0.5
BOVESPA,42,CNN-WGAN-GP,2L (valid+test),rbf_x1,20,1,0.0,0.575,0.85,0.5
BOVESPA,42,CNN-WGAN-GP,2L (valid+test),poly3,20,1,0.0,0.55,0.9,0.5
BOVESPA,42,CONTROL: shuffled real,2L (valid+test),rbf_x1,20,1,0.0,0.8,0.4,0.5
BOVESPA,42,CONTROL: shuffled real,2L (valid+test),poly3,20,1,0.0,0.75,0.5,0.5
BOVESPA,43,TimeGAN,2L (valid+test),rbf_x1,20,1,0.0,0.5,1.0,0.5
BOVESPA,43,TimeGAN,2L (valid+test),poly3,20,1,0.0,0.5,1.0,0.5
BOVESPA,43,GARCH,2L (valid+test),rbf_x1,20,1,0.0,0.525,0.95,0.5
BOVESPA,43,GARCH,2L (valid+test),poly3,20,1,0.0,0.525,0.95,0.5
BOVESPA,43,QuantGAN,2L (valid+test),rbf_x1,20,1,0.0,0.5,1.0,0.5
BOVESPA,43,QuantGAN,2L (valid+test),poly3,20,1,0.0,0.5,1.0,0.5
BOVESPA,43,GJR-GARCH,2L (valid+test),rbf_x1,20,1,0.0,0.525,0.95,0.5
BOVESPA,43,GJR-GARCH,2L (valid+test),poly3,20,1,0.0,0.525,0.95,0.5
BOVESPA,43,CNN-WGAN-GP,2L (valid+test),rbf_x1,20,1,0.0,0.525,0.95,0.5
BOVESPA,43,CNN-WGAN-GP,2L (valid+test),poly3,20,1,0.0,0.525,0.95,0.5
BOVESPA,43,CONTROL: shuffled real,2L (valid+test),rbf_x1,20,1,0.0,0.85,0.3,0.5
BOVESPA,43,CONTROL: shuffled real,2L (valid+test),poly3,20,1,0.0,0.85,0.3,0.5
BOVESPA,44,TimeGAN,2L (valid+test),rbf_x1,20,1,0.0,0.5,1.0,0.5
BOVESPA,44,TimeGAN,2L (valid+test),poly3,20,1,0.0,0.5,1.0,0.5
BOVESPA,44,GARCH,2L (valid+test),rbf_x1,20,1,0.0,0.5,1.0,0.5
BOVESPA,44,GARCH,2L (valid+test),poly3,20,1,0.0,0.5,1.0,0.5
BOVESPA,44,QuantGAN,2L (valid+test),rbf_x1,20,1,0.0,0.6,0.8,0.5
BOVESPA,44,QuantGAN,2L (valid+test),poly3,20,1,0.0,0.525,0.95,0.5
BOVESPA,44,GJR-GARCH,2L (valid+test),rbf_x1,20,1,0.0,0.5,1.0,0.5
BOVESPA,44,GJR-GARCH,2L (valid+test),poly3,20,1,0.0,0.5,1.0,0.5
BOVESPA,44,CNN-WGAN-GP,2L (valid+test),rbf_x1,20,1,0.0,0.575,0.85,0.5
BOVESPA,44,CNN-WGAN-GP,2L (valid+test),poly3,20,1,0.0,0.525,0.95,0.5
BOVESPA,44,CONTROL: shuffled real,2L (valid+test),rbf_x1,20,1,0.0,0.65,0.7,0.5
BOVESPA,44,CONTROL: shuffled real,2L (valid+test),poly3,20,1,0.0,0.675,0.65,0.5
