market,null,positions,independent_pairs,sigma_star,mean,sd,p97_5,median
BOVESPA,2L (valid+test),1,1.0,3.024396837253019,0.1260916286650815,0.0,0.1260916286650815,0.1260916286650815
BOVESPA,3L,497,1.5,3.024396837253019,0.36418764728535635,0.20550743579216263,0.7358506384530094,0.302461471018747
BOVESPA,4L,993,2.0,3.024396837253019,0.41532541978238097,0.19668170087749687,0.7379226149427595,0.3702748029772402
BOVESPA,6L,1985,3.0,3.024396837253019,0.34658610258065053,0.15532986262253512,0.7350767856122862,0.2802564417036562
BOVESPA,all (exhaustive),3962,4.99,3.024396837253019,0.3169841337868254,0.11479322569787578,0.7245598228188328,0.28219160682657307
FTSE,2L (valid+test),1,1.0,3.2033049362864663,0.1510858202359433,0.0,0.1510858202359433,0.1510858202359433
FTSE,3L,502,1.5,3.2033049362864663,0.3658556192472582,0.1467279215526583,0.6561748544813778,0.32131214294766053
FTSE,4L,1003,2.0,3.2033049362864663,0.4067668698912115,0.16090323943586923,0.705123285911939,0.3480805356655953
FTSE,6L,2005,3.0,3.2033049362864663,0.3399710536324894,0.13242132940400625,0.6955823952155961,0.2801589125169042
FTSE,all (exhaustive),3996,4.99,3.2033049362864663,0.3146647436922818,0.09864868475878302,0.6702360084942866,0.28289405865017714
MOEX,2L (valid+test),1,1.0,3.073650592317076,0.3597475912108591,0.0,0.3597475912108591,0.3597475912108591
MOEX,3L,501,1.5,3.073650592317076,0.3793509934037028,0.13228257014152095,0.6862396076294845,0.35690311668697383
MOEX,4L,1001,2.0,3.073650592317076,0.41323073902189467,0.15226539871790717,0.692084835413097,0.3593656759476602
MOEX,6L,2001,3.0,3.073650592317076,0.34450902812078465,0.1282200931811116,0.6902511746068727,0.2869138385976002
MOEX,all (exhaustive),3995,4.99,3.073650592317076,0.3242872714485135,0.09417506738112685,0.6755588070161823,0.2946214021919893
NIFTY50,2L (valid+test),1,1.0,3.1738621673002334,0.18481061078643113,0.0,0.18481061078643113,0.18481061078643113
NIFTY50,3L,497,1.5,3.1738621673002334,0.32166727636121356,0.1844077801370025,0.699644895619292,0.2450326412748236
NIFTY50,4L,993,2.0,3.1738621673002334,0.3964509989569471,0.18496288041728862,0.7061702446840245,0.3475454646272541
NIFTY50,6L,1985,3.0,3.1738621673002334,0.3492213277422361,0.13956072348927268,0.7054442562973874,0.3095988587961075
NIFTY50,all (exhaustive),3963,4.99,3.1738621673002334,0.33583286458484224,0.10079753452918272,0.691723554261293,0.31438869794195856
SHANGHAI,2L (valid+test),1,1.0,3.2888495197805563,0.11978496199776378,0.0,0.11978496199776378,0.11978496199776378
SHANGHAI,3L,487,1.5,3.2888495197805563,0.3334934453762864,0.20502076126827753,0.7403459183277398,0.26149323599451646
SHANGHAI,4L,973,2.0,3.2888495197805563,0.4214344823374649,0.20184559318284,0.7439729685380333,0.38113662326025055
SHANGHAI,6L,1945,3.0,3.2888495197805563,0.375609055656134,0.15082475730820005,0.7420653040639784,0.33805745653792385
SHANGHAI,all (exhaustive),3889,5.0,3.2888495197805563,0.35819845016785534,0.10946634882651413,0.7339548947271509,0.3384466186017785
