market,seed,model,k,d_sigma,d_rbf,d_poly3
BOVESPA,42,TimeGAN,0,8.988418598310233e-06,1.9263914339262556e-06,8.314253925334469e-07
BOVESPA,42,TimeGAN,1,6.796613586601552e-06,9.630693995621442e-07,3.386235469804433e-08
BOVESPA,42,TimeGAN,2,5.148291641887681e-06,3.411821156706907e-07,2.0410915624324844e-08
BOVESPA,42,TimeGAN,3,2.314624479504701e-05,1.728883443075091e-06,5.599510988218981e-07
BOVESPA,42,TimeGAN,4,9.26679582624601e-06,1.095444924104072e-06,1.6933567259513893e-07
BOVESPA,42,TimeGAN,5,4.505097730422847e-07,2.460886847632793e-07,4.511433928655606e-07
BOVESPA,42,TimeGAN,6,7.936390734819554e-06,1.7380882142425946e-06,1.6006803402746073e-06
BOVESPA,42,TimeGAN,7,8.082131005782145e-06,6.394755722727297e-07,1.9201069711982655e-07
BOVESPA,42,TimeGAN,8,1.8945467792796933e-05,2.042757911935311e-06,1.7985447087198736e-07
BOVESPA,42,TimeGAN,9,8.847139402412552e-06,3.82550126021286e-07,6.974948156823757e-07
BOVESPA,42,TimeGAN,10,7.0942319272404575e-06,8.912607312172582e-07,3.222653930379238e-07
BOVESPA,42,TimeGAN,11,5.158727294229948e-06,4.205484553931882e-07,4.671762052765871e-07
BOVESPA,42,TimeGAN,12,6.172377525981432e-06,1.2632587116367944e-06,1.0941662278440845e-06
BOVESPA,42,TimeGAN,13,4.115980143382103e-06,6.443794695609739e-07,4.5374801338482484e-07
BOVESPA,42,TimeGAN,14,5.552062898317445e-06,2.499601947647534e-07,2.607675533283782e-07
BOVESPA,42,TimeGAN,15,8.527153772419638e-06,8.846862251665755e-07,3.115009370446842e-07
BOVESPA,42,TimeGAN,16,1.1662220718022809e-05,1.0149112421586892e-06,3.1727818416982245e-07
BOVESPA,42,TimeGAN,17,4.780540877824535e-06,5.000898000151466e-07,2.092967328337636e-07
BOVESPA,42,TimeGAN,18,7.092627381410921e-06,7.051764523424708e-07,1.7956360665039028e-07
BOVESPA,42,TimeGAN,19,2.2001484571099184e-05,3.176480828592787e-06,9.55051858042566e-07
BOVESPA,42,GARCH,0,0.0,0.0,0.0
BOVESPA,42,GARCH,1,0.0,0.0,0.0
BOVESPA,42,GARCH,2,0.0,0.0,0.0
BOVESPA,42,GARCH,3,0.0,0.0,0.0
BOVESPA,42,GARCH,4,0.0,0.0,0.0
BOVESPA,42,GARCH,5,0.0,0.0,0.0
BOVESPA,42,GARCH,6,0.0,0.0,0.0
BOVESPA,42,GARCH,7,0.0,0.0,0.0
BOVESPA,42,GARCH,8,0.0,0.0,0.0
BOVESPA,42,GARCH,9,0.0,0.0,0.0
BOVESPA,42,GARCH,10,0.0,0.0,0.0
BOVESPA,42,GARCH,11,0.0,0.0,0.0
BOVESPA,42,GARCH,12,0.0,0.0,0.0
BOVESPA,42,GARCH,13,0.0,0.0,0.0
BOVESPA,42,GARCH,14,0.0,0.0,0.0
BOVESPA,42,GARCH,15,0.0,0.0,0.0
BOVESPA,42,GARCH,16,0.0,0.0,0.0
BOVESPA,42,GARCH,17,0.0,0.0,0.0
BOVESPA,42,GARCH,18,0.0,0.0,0.0
BOVESPA,42,GARCH,19,0.0,0.0,0.0
BOVESPA,42,QuantGAN,0,4.029431075913692e-06,7.846423843993477e-07,8.976279559647082e-07
BOVESPA,42,QuantGAN,1,7.696402491319532e-06,6.4827598889039e-07,1.9590076760778175e-07
BOVESPA,42,QuantGAN,2,2.3956427766869126e-05,1.7866765413820929e-06,3.493134368426354e-07
BOVESPA,42,QuantGAN,3,9.980278741217319e-06,7.956409147080734e-07,2.1371506164769016e-07
BOVESPA,42,QuantGAN,4,1.67320932420445e-05,1.5460179614290581e-06,2.9298391268639534e-08
BOVESPA,42,QuantGAN,5,2.239025858052912e-06,6.809358599202397e-07,9.400170810636155e-07
BOVESPA,42,QuantGAN,6,1.2335001705388038e-05,1.1638082662024374e-06,4.747107418268115e-08
BOVESPA,42,QuantGAN,7,2.060496908207199e-06,8.633848591621529e-08,4.894422271917165e-07
BOVESPA,42,QuantGAN,8,1.0989611647804765e-05,9.936594729254011e-07,7.805930053450538e-07
BOVESPA,42,QuantGAN,9,5.950516381858506e-06,3.030662860670219e-07,1.94658076324572e-07
BOVESPA,42,QuantGAN,10,1.6373091318300226e-06,1.543751224630796e-07,1.5310348544517183e-09
BOVESPA,42,QuantGAN,11,9.166220981349227e-06,6.354258947904867e-07,1.9028317410629825e-07
BOVESPA,42,QuantGAN,12,1.663511955074526e-05,1.1564598592084252e-06,1.1231746732676129e-07
BOVESPA,42,QuantGAN,13,1.2177579771233127e-06,2.621336163688426e-07,5.230757160745725e-08
BOVESPA,42,QuantGAN,14,1.0546756984641803e-05,1.2586666200409269e-06,7.128902694830686e-07
BOVESPA,42,QuantGAN,15,1.5042923987351742e-05,1.2823916157866933e-06,5.451415514556857e-07
BOVESPA,42,QuantGAN,16,2.4067210193656763e-06,2.9054804229211584e-07,5.3794090959513596e-08
BOVESPA,42,QuantGAN,17,3.5853603246316368e-06,3.474606824482862e-08,4.4836261992031723e-07
BOVESPA,42,QuantGAN,18,4.4577241267163e-06,2.477980811654845e-07,1.1480968709065564e-07
BOVESPA,42,QuantGAN,19,1.948192479783728e-06,6.928188889254727e-08,4.397612229922743e-08
BOVESPA,42,GJR-GARCH,0,0.0,0.0,0.0
BOVESPA,42,GJR-GARCH,1,0.0,0.0,0.0
BOVESPA,42,GJR-GARCH,2,0.0,0.0,0.0
BOVESPA,42,GJR-GARCH,3,0.0,0.0,0.0
BOVESPA,42,GJR-GARCH,4,0.0,0.0,0.0
BOVESPA,42,GJR-GARCH,5,0.0,0.0,0.0
BOVESPA,42,GJR-GARCH,6,0.0,0.0,0.0
BOVESPA,42,GJR-GARCH,7,0.0,0.0,0.0
BOVESPA,42,GJR-GARCH,8,0.0,0.0,0.0
BOVESPA,42,GJR-GARCH,9,0.0,0.0,0.0
BOVESPA,42,GJR-GARCH,10,0.0,0.0,0.0
BOVESPA,42,GJR-GARCH,11,0.0,0.0,0.0
BOVESPA,42,GJR-GARCH,12,0.0,0.0,0.0
BOVESPA,42,GJR-GARCH,13,0.0,0.0,0.0
BOVESPA,42,GJR-GARCH,14,0.0,0.0,0.0
BOVESPA,42,GJR-GARCH,15,0.0,0.0,0.0
BOVESPA,42,GJR-GARCH,16,0.0,0.0,0.0
BOVESPA,42,GJR-GARCH,17,0.0,0.0,0.0
BOVESPA,42,GJR-GARCH,18,0.0,0.0,0.0
BOVESPA,42,GJR-GARCH,19,0.0,0.0,0.0
BOVESPA,42,CNN-WGAN-GP,0,5.601465010940387e-06,7.923048970237545e-07,5.484286802470706e-07
BOVESPA,42,CNN-WGAN-GP,1,6.462214657165788e-06,4.438040615006855e-07,4.2173621039864884e-08
BOVESPA,42,CNN-WGAN-GP,2,4.862848853814938e-06,4.087325520263363e-07,1.898913524200907e-07
BOVESPA,42,CNN-WGAN-GP,3,1.4681674722627491e-05,9.079222180741198e-07,9.592388217072312e-08
BOVESPA,42,CNN-WGAN-GP,4,5.403330150421937e-06,5.756081149499437e-07,2.7924852830096825e-07
BOVESPA,42,CNN-WGAN-GP,5,5.5307459323472585e-06,7.78848477267502e-07,4.2927423216099214e-07
BOVESPA,42,CNN-WGAN-GP,6,0.0,4.0750579799464504e-08,6.548480691037639e-08
BOVESPA,42,CNN-WGAN-GP,7,8.56526009007652e-06,6.963127925363466e-07,3.5030303990879474e-07
BOVESPA,42,CNN-WGAN-GP,8,6.502798297614021e-06,2.9525456124446237e-07,2.0536878331256503e-07
BOVESPA,42,CNN-WGAN-GP,9,2.705213516307481e-06,1.0258412563857178e-08,3.4927050052147024e-07
BOVESPA,42,CNN-WGAN-GP,10,1.0040883355877384e-06,1.6695408078248875e-07,2.738713842376228e-07
BOVESPA,42,CNN-WGAN-GP,11,8.932872055389396e-07,2.567934531683136e-08,1.3212445182375632e-07
BOVESPA,42,CNN-WGAN-GP,12,0.0,6.298548260730286e-08,6.982337197314337e-08
BOVESPA,42,CNN-WGAN-GP,13,9.191071746794677e-06,4.966096036618239e-07,6.198192892270526e-08
BOVESPA,42,CNN-WGAN-GP,14,4.916994368109329e-06,2.3495080214708253e-07,1.8416735336757029e-07
BOVESPA,42,CNN-WGAN-GP,15,7.2761751672700825e-06,1.4348658505802803e-07,5.909701954465163e-07
BOVESPA,42,CNN-WGAN-GP,16,1.0481091363701012e-06,6.658735232090152e-07,1.0434701938066837e-06
BOVESPA,42,CNN-WGAN-GP,17,1.1202512411045973e-05,9.800316318475666e-07,1.9612382118339156e-07
BOVESPA,42,CNN-WGAN-GP,18,5.505188163112962e-06,2.1022659879577077e-07,1.0971271890980461e-07
BOVESPA,42,CNN-WGAN-GP,19,6.367701238740864e-06,9.24833162274652e-07,5.626705910088958e-07
BOVESPA,42,CONTROL: shuffled real,0,0.0,0.0,0.0
BOVESPA,42,CONTROL: shuffled real,1,0.0,0.0,0.0
BOVESPA,42,CONTROL: shuffled real,2,0.0,0.0,0.0
BOVESPA,42,CONTROL: shuffled real,3,0.0,0.0,0.0
BOVESPA,42,CONTROL: shuffled real,4,0.0,0.0,0.0
BOVESPA,42,CONTROL: shuffled real,5,0.0,0.0,0.0
BOVESPA,42,CONTROL: shuffled real,6,0.0,0.0,0.0
BOVESPA,42,CONTROL: shuffled real,7,0.0,0.0,0.0
BOVESPA,42,CONTROL: shuffled real,8,0.0,0.0,0.0
BOVESPA,42,CONTROL: shuffled real,9,0.0,0.0,0.0
BOVESPA,42,CONTROL: shuffled real,10,0.0,0.0,0.0
BOVESPA,42,CONTROL: shuffled real,11,0.0,0.0,0.0
BOVESPA,42,CONTROL: shuffled real,12,0.0,0.0,0.0
BOVESPA,42,CONTROL: shuffled real,13,0.0,0.0,0.0
BOVESPA,42,CONTROL: shuffled real,14,0.0,0.0,0.0
BOVESPA,42,CONTROL: shuffled real,15,0.0,0.0,0.0
BOVESPA,42,CONTROL: shuffled real,16,0.0,0.0,0.0
BOVESPA,42,CONTROL: shuffled real,17,0.0,0.0,0.0
BOVESPA,42,CONTROL: shuffled real,18,0.0,0.0,0.0
BOVESPA,42,CONTROL: shuffled real,19,0.0,0.0,0.0
BOVESPA,43,TimeGAN,0,1.1128889723099888e-05,1.8824507816983527e-06,8.219782170471035e-07
BOVESPA,43,TimeGAN,1,8.0642662054764e-06,3.2200476063337646e-07,9.352586509692173e-07
BOVESPA,43,TimeGAN,2,3.1028766769303218e-06,3.816692777380837e-07,2.083977079792021e-08
BOVESPA,43,TimeGAN,3,8.629205061172485e-06,1.9048581862968206e-06,7.335513938500071e-07
BOVESPA,43,TimeGAN,4,2.9948451254036e-05,3.673417279914659e-06,3.069137477496042e-08
BOVESPA,43,TimeGAN,5,8.989430192229975e-06,1.234855274034885e-06,1.3900301354397016e-08
BOVESPA,43,TimeGAN,6,1.593367418939451e-05,2.060091307987122e-06,3.2579843001201425e-07
BOVESPA,43,TimeGAN,7,2.2051881125584316e-06,7.739356888691873e-07,9.811088066413731e-07
BOVESPA,43,TimeGAN,8,2.1816635298321785e-07,2.9500922749114977e-07,1.8276482727230814e-07
BOVESPA,43,TimeGAN,9,3.1789162493467416e-06,4.792771328698819e-07,1.2294451234851067e-06
BOVESPA,43,TimeGAN,10,1.546943527497291e-06,4.136378439767441e-08,1.3938881515684898e-07
BOVESPA,43,TimeGAN,11,3.2272352230577894e-06,2.3302158913551807e-07,6.701030805800201e-07
BOVESPA,43,TimeGAN,12,2.496659128325973e-07,1.6742088559951185e-07,4.795194552542625e-07
BOVESPA,43,TimeGAN,13,0.0,6.438712385481438e-08,2.874680156139675e-07
BOVESPA,43,TimeGAN,14,2.182572231834712e-06,4.243840494577711e-07,1.1163447233286661e-07
