market,seed,model,median_pct,mean_pct,n_above_all,n_below_all
BOVESPA,42,CNN-WGAN-GP,90.0,77.36842105263158,3,0
BOVESPA,42,QuantGAN,95.0,78.15789473684211,9,0
BOVESPA,42,TimeGAN,80.0,74.61988304093568,8,0
BOVESPA,43,CNN-WGAN-GP,30.0,34.21052631578947,0,3
BOVESPA,43,QuantGAN,60.0,55.26315789473684,1,0
BOVESPA,43,TimeGAN,45.0,48.94736842105263,1,0
BOVESPA,44,CNN-WGAN-GP,35.0,37.89473684210526,0,0
BOVESPA,44,QuantGAN,70.0,55.526315789473685,0,0
BOVESPA,44,TimeGAN,50.0,57.36842105263158,1,0
FTSE,42,CNN-WGAN-GP,40.0,46.578947368421055,0,1
FTSE,42,QuantGAN,35.0,40.78947368421053,1,0
FTSE,42,TimeGAN,55.00000000000001,56.31578947368421,1,2
FTSE,43,CNN-WGAN-GP,45.0,50.78947368421053,1,1
FTSE,43,QuantGAN,75.0,60.526315789473685,0,0
FTSE,43,TimeGAN,70.0,60.24930747922438,0,0
FTSE,44,CNN-WGAN-GP,45.0,46.578947368421055,0,0
FTSE,44,QuantGAN,45.0,44.21052631578947,0,2
FTSE,44,TimeGAN,30.0,39.21052631578947,0,2
MOEX,42,CNN-WGAN-GP,65.0,60.26315789473684,1,0
MOEX,42,QuantGAN,40.0,40.26315789473684,0,2
MOEX,42,TimeGAN,45.0,50.0,0,2
MOEX,43,CNN-WGAN-GP,45.0,40.0,0,1
MOEX,43,QuantGAN,80.0,69.21052631578948,6,1
MOEX,43,TimeGAN,65.0,64.21052631578948,0,0
MOEX,44,CNN-WGAN-GP,50.0,45.78947368421053,0,0
MOEX,44,QuantGAN,50.0,51.31578947368421,0,0
MOEX,44,TimeGAN,60.0,62.10526315789474,0,0
NIFTY50,42,CNN-WGAN-GP,70.0,61.05263157894737,1,1
NIFTY50,42,QuantGAN,75.0,65.52631578947368,3,0
NIFTY50,42,TimeGAN,35.0,46.31578947368421,0,2
NIFTY50,43,CNN-WGAN-GP,35.0,39.473684210526315,1,2
NIFTY50,43,QuantGAN,60.0,50.78947368421053,1,2
NIFTY50,43,TimeGAN,60.0,53.68421052631579,2,2
NIFTY50,44,CNN-WGAN-GP,45.0,50.78947368421053,1,0
NIFTY50,44,QuantGAN,30.0,33.68421052631579,0,0
NIFTY50,44,TimeGAN,90.0,80.26315789473684,0,0
SHANGHAI,42,CNN-WGAN-GP,85.0,78.15789473684211,0,0
SHANGHAI,42,QuantGAN,35.0,36.8421052631579,0,0
SHANGHAI,42,TimeGAN,45.0,50.26315789473684,1,1
SHANGHAI,43,CNN-WGAN-GP,50.0,51.31578947368421,1,0
SHANGHAI,43,QuantGAN,40.0,39.473684210526315,0,0
SHANGHAI,43,TimeGAN,45.0,47.63157894736842,0,0
SHANGHAI,44,CNN-WGAN-GP,45.0,47.63157894736842,2,1
SHANGHAI,44,QuantGAN,50.0,47.63157894736842,0,0
SHANGHAI,44,TimeGAN,35.0,47.89473684210526,0,0
