market,seed,source,cells,abs_z_gt3,above_all_draws,below_all_draws,outside_range,z3_TimeGAN,above_all_TimeGAN,z3_QuantGAN,above_all_QuantGAN,z3_CNN-WGAN-GP,above_all_CNN-WGAN-GP,loo_mean,loo_max,loo_share_ge_recorded,loo_mean_TimeGAN,loo_any_share_TimeGAN,loo_mean_QuantGAN,loo_any_share_QuantGAN,loo_mean_CNN-WGAN-GP,loo_any_share_CNN-WGAN-GP
BOVESPA,42,scratch,57,11,20,0,20,1,8,8,9,2,3,1.1,7,0.0,0.1,0.1,0.7,0.25,0.3,0.1
BOVESPA,43,scratch,57,3,2,3,5,0,1,0,1,3,0,1.35,10,0.15,0.3,0.1,0.5,0.15,0.55,0.25
BOVESPA,44,scratch,57,0,1,0,1,0,1,0,0,0,0,1.75,7,1.0,0.45,0.2,0.45,0.3,0.85,0.35
FTSE,42,scratch,57,0,2,3,5,0,1,0,1,0,0,1.25,4,1.0,0.45,0.3,0.6,0.3,0.2,0.15
FTSE,43,scratch,57,2,1,1,2,0,0,0,0,2,1,1.85,8,0.3,0.95,0.25,0.4,0.25,0.5,0.3
FTSE,44,scratch,57,1,0,4,4,1,0,0,0,0,0,1.35,4,0.7,0.45,0.35,0.55,0.3,0.35,0.2
MOEX,42,scratch,57,0,1,4,5,0,0,0,0,0,1,1.65,5,1.0,0.55,0.3,0.55,0.3,0.55,0.3
MOEX,43,scratch,57,6,6,2,8,0,0,6,6,0,0,1.25,7,0.05,0.45,0.2,0.4,0.3,0.4,0.3
MOEX,44,scratch,57,0,0,0,0,0,0,0,0,0,0,1.6,6,1.0,0.35,0.2,0.65,0.5,0.6,0.3
NIFTY50,42,scratch,57,4,4,3,7,0,0,4,3,0,1,1.05,5,0.1,0.2,0.15,0.45,0.25,0.4,0.2
NIFTY50,43,scratch,57,4,4,6,10,2,2,1,1,1,1,1.4,7,0.15,0.4,0.2,0.5,0.2,0.5,0.3
NIFTY50,44,scratch,57,1,1,0,1,0,0,0,0,1,1,1.45,5,0.55,0.65,0.25,0.35,0.25,0.45,0.3
SHANGHAI,42,scratch,57,0,1,1,2,0,1,0,0,0,0,1.5,6,1.0,0.45,0.25,0.55,0.15,0.5,0.3
SHANGHAI,43,scratch,57,1,1,0,1,0,0,0,0,1,1,0.95,4,0.55,0.4,0.2,0.3,0.2,0.25,0.25
SHANGHAI,44,scratch,57,0,2,1,3,0,0,0,0,0,2,1.05,3,1.0,0.2,0.2,0.4,0.3,0.45,0.3
