model,composite_rank,fidelity_rank,temporal_rank,avg_rank,wasserstein,energy_distance,quantile_mse,acf_absolute_mae,tail_index_diff,hurst_diff,resid_kurtosis_diff,discriminative_auc_dist,market,seed,train_seconds,generator_updates,critic_updates,n_params_g
FinGAN,1.5357,1.3571,1.7143,1.5357,0.0048,0.0008,0.0001,0.0586,0.9701,0.0408,1.6041,0.3924,BOVESPA,42,173.11032794136554,9000.0,45000.0,55401.0
QuantGAN,2.1786,2.5,1.8571,2.1786,0.008,0.0009,0.0017,0.2428,2.0564,0.0695,1.0751,0.1924,BOVESPA,42,461.6680776132271,9000.0,45000.0,276481.0
TimeGAN,2.2857,2.1429,2.4286,2.2857,0.0065,0.0022,0.0001,0.1535,9.8245,0.1234,2.5418,0.2756,BOVESPA,42,76.7899411758408,9000.0,9000.0,11400.0
CONTROL: shuffled real,,,,,0.0,0.0,0.0,0.0469,0.0,0.075,0.1041,0.1797,BOVESPA,42,,,,
FinGAN,1.2143,1.1429,1.2857,1.2143,0.002,0.0002,0.0,0.0469,0.0768,0.0173,0.8379,0.2105,BOVESPA,43,175.12165162619203,9000.0,45000.0,55401.0
QuantGAN,1.8571,2.0,1.7143,1.8571,0.0038,0.0005,0.0,0.0486,0.5408,0.0183,0.798,0.2515,BOVESPA,43,468.65817459952086,9000.0,45000.0,276481.0
TimeGAN,2.9286,2.8571,3.0,2.9286,0.0049,0.0011,0.0,0.0515,3.4391,0.1116,2.3098,0.4581,BOVESPA,43,77.90105557255447,9000.0,9000.0,11400.0
CONTROL: shuffled real,,,,,0.0,0.0,0.0,0.0469,0.0,0.075,0.1041,0.1797,BOVESPA,43,,,,
FinGAN,1.7143,1.2857,2.1429,1.7143,0.0016,0.0001,0.0,0.0451,0.3042,0.0835,0.8538,0.2128,BOVESPA,44,173.35544804483652,9000.0,45000.0,55401.0
QuantGAN,1.7143,2.1429,1.2857,1.7143,0.0022,0.0002,0.0,0.0437,0.5338,0.0362,0.2785,0.1533,BOVESPA,44,461.7777096899226,9000.0,45000.0,276481.0
TimeGAN,2.5714,2.5714,2.5714,2.5714,0.0031,0.0002,0.0001,0.3186,0.4251,0.0297,0.7371,0.4051,BOVESPA,44,76.02929002605379,9000.0,9000.0,11400.0
CONTROL: shuffled real,,,,,0.0,0.0,0.0,0.0469,0.0,0.075,0.1041,0.1797,BOVESPA,44,,,,
FinGAN,1.7857,1.7143,1.8571,1.7857,0.0009,0.0,0.0,0.0598,1.3116,0.0363,1.8513,0.0241,FTSE,42,174.39898173790425,9000.0,45000.0,55401.0
QuantGAN,1.7857,2.0,1.5714,1.7857,0.0017,0.0001,0.0,0.0622,3.5441,0.0347,2.0552,0.2161,FTSE,42,465.5039369929582,9000.0,45000.0,276481.0
TimeGAN,2.4286,2.2857,2.5714,2.4286,0.003,0.0006,0.0,0.0968,0.5237,0.006,2.8263,0.4109,FTSE,42,77.52510122768581,9000.0,9000.0,11400.0
CONTROL: shuffled real,,,,,0.0,0.0,0.0,0.0861,0.0,0.1048,1.9809,0.2015,FTSE,42,,,,
FinGAN,1.3571,1.1429,1.5714,1.3571,0.001,0.0,0.0,0.0764,0.9207,0.0649,0.7657,0.1445,FTSE,43,174.7811399642378,9000.0,45000.0,55401.0
QuantGAN,2.0714,2.2857,1.8571,2.0714,0.0046,0.0006,0.0001,0.0746,0.0801,0.0077,1.3563,0.1874,FTSE,43,467.9884045822546,9000.0,45000.0,276481.0
TimeGAN,2.5714,2.5714,2.5714,2.5714,0.0037,0.0008,0.0001,0.0784,9.1929,0.0635,2.4773,0.4447,FTSE,43,77.68854071106762,9000.0,9000.0,11400.0
CONTROL: shuffled real,,,,,0.0,0.0,0.0,0.0861,0.0,0.1048,1.9809,0.2015,FTSE,43,,,,
TimeGAN,1.5,1.5714,1.4286,1.5,0.001,0.0,0.0,0.0557,0.3511,0.0076,1.2888,0.1402,FTSE,44,76.61538417078555,9000.0,9000.0,11400.0
FinGAN,2.1429,2.1429,2.1429,2.1429,0.0009,0.0,0.0,0.069,3.4862,0.0026,1.9497,0.1607,FTSE,44,173.04023712594062,9000.0,45000.0,55401.0
