model,seed,qlike,var_coverage_error,garch_persistence_diff,kupiec_p,christoffersen_p,violations,n_test,n_markets,markets,qlike_rank
CNN-WGAN-GP,42,-8.136575532500348,0.002037111738604276,0.00016840218331004575,0.6437693169388097,0.10689473611367117,129,2479,5,BOVESPA FTSE MOEX NIFTY50 SHANGHAI,1.0
GJR-GARCH,42,-8.129878434172555,0.00486083098023396,0.008424364631638537,0.27392133669898666,0.04969071393244773,136,2479,5,BOVESPA FTSE MOEX NIFTY50 SHANGHAI,2.0
QuantGAN,42,-8.124076668407634,0.00042355788624445084,0.022007746822297336,0.9230179265631431,0.03151838333980761,125,2479,5,BOVESPA FTSE MOEX NIFTY50 SHANGHAI,3.0
GARCH,42,-8.105562594091833,0.005667607906413873,0.019167481324763647,0.20314674951601108,0.06175396952618628,138,2479,5,BOVESPA FTSE MOEX NIFTY50 SHANGHAI,4.0
TimeGAN,42,-8.101711591555025,0.002037111738604276,0.027823662495187307,0.6437693169388097,0.10689473611367117,129,2479,5,BOVESPA FTSE MOEX NIFTY50 SHANGHAI,5.0
CONTROL: shuffled real,42,-8.03063724243877,0.0060306575231948364,0.1358466214947721,0.15990954204916297,0.0032699605920640806,109,2479,5,BOVESPA FTSE MOEX NIFTY50 SHANGHAI,6.0
GARCH,43,-8.140452863420636,0.011315046389673254,0.008323554472371986,0.012404519514069512,0.22270286870951994,152,2479,5,BOVESPA FTSE MOEX NIFTY50 SHANGHAI,1.0
GJR-GARCH,43,-8.137306786630935,0.013331988705123032,0.005459818166370756,0.003388675281082665,0.32084886478378205,157,2479,5,BOVESPA FTSE MOEX NIFTY50 SHANGHAI,2.0
CNN-WGAN-GP,43,-8.133651642278155,0.0008269463493344037,0.013612190536826274,0.8505426401943466,0.07963767671271993,126,2479,5,BOVESPA FTSE MOEX NIFTY50 SHANGHAI,3.0
TimeGAN,43,-8.126207536181171,0.0008269463493344037,0.012843140878123771,0.8505426401943466,0.07963767671271993,126,2479,5,BOVESPA FTSE MOEX NIFTY50 SHANGHAI,4.0
QuantGAN,43,-8.12539606275666,0.0007866075030254147,0.026157518880152275,0.8570348257052129,0.11433690358643034,122,2479,5,BOVESPA FTSE MOEX NIFTY50 SHANGHAI,5.0
CONTROL: shuffled real,43,-8.03063724243877,0.0060306575231948364,0.1358466214947721,0.15990954204916297,0.0032699605920640806,109,2479,5,BOVESPA FTSE MOEX NIFTY50 SHANGHAI,6.0
CNN-WGAN-GP,44,-8.132739401968681,0.007684550221863651,0.011324114481459424,0.08625601326575372,0.1913175356202238,143,2479,5,BOVESPA FTSE MOEX NIFTY50 SHANGHAI,1.0
GJR-GARCH,44,-8.116880639901666,0.006837434449374749,0.02515096103894876,0.11007627790873353,0.13317969314702716,107,2479,5,BOVESPA FTSE MOEX NIFTY50 SHANGHAI,2.0
GARCH,44,-8.08989623590675,0.013695038321903996,0.0240399207151778,0.001028948588581935,0.35411192053503204,90,2479,5,BOVESPA FTSE MOEX NIFTY50 SHANGHAI,3.0
CONTROL: shuffled real,44,-8.03063724243877,0.0060306575231948364,0.1358466214947721,0.15990954204916297,0.0032699605920640806,109,2479,5,BOVESPA FTSE MOEX NIFTY50 SHANGHAI,4.0
QuantGAN,44,-7.812909589735704,0.010064542154094393,0.028697915047254163,0.01734392329666723,0.31692729121127594,99,2479,5,BOVESPA FTSE MOEX NIFTY50 SHANGHAI,5.0
TimeGAN,44,-7.703267378949241,0.0012303348124243635,0.02869791504637076,0.7794856774239198,0.3278691722176367,127,2479,5,BOVESPA FTSE MOEX NIFTY50 SHANGHAI,6.0
