market,model,mean_auc,above_p97_5,above_196,share_above_p97_5,frame,scaler,cv
BOVESPA,TimeGAN,0.8646968297937826,False,False,0.5166666666666667,F,pre,contiguous
BOVESPA,QuantGAN,0.755988865804863,False,False,0.08333333333333333,F,pre,contiguous
BOVESPA,CNN-WGAN-GP,0.7272360610957217,False,False,0.016666666666666666,F,pre,contiguous
BOVESPA,GARCH,0.791669417513081,False,False,0.08333333333333333,F,pre,contiguous
BOVESPA,GJR-GARCH,0.7671019506001848,False,False,0.03333333333333333,F,pre,contiguous
FTSE,TimeGAN,0.7710001133543337,False,False,0.55,F,pre,contiguous
FTSE,QuantGAN,0.5485645724453512,False,False,0.016666666666666666,F,pre,contiguous
FTSE,CNN-WGAN-GP,0.5241973170819014,False,False,0.0,F,pre,contiguous
FTSE,GARCH,0.5294058405820447,False,False,0.016666666666666666,F,pre,contiguous
FTSE,GJR-GARCH,0.5197495391251432,False,False,0.0,F,pre,contiguous
MOEX,TimeGAN,0.6234009693287036,False,False,0.016666666666666666,F,pre,contiguous
MOEX,QuantGAN,0.5967719184027779,False,False,0.016666666666666666,F,pre,contiguous
MOEX,CNN-WGAN-GP,0.5665411603009259,False,False,0.0,F,pre,contiguous
MOEX,GARCH,0.5747956452546298,False,False,0.0,F,pre,contiguous
MOEX,GJR-GARCH,0.5774547887731482,False,False,0.0,F,pre,contiguous
NIFTY50,TimeGAN,0.8421687057556171,False,False,0.31666666666666665,F,pre,contiguous
NIFTY50,QuantGAN,0.6387712873191752,False,False,0.03333333333333333,F,pre,contiguous
NIFTY50,CNN-WGAN-GP,0.6486151277316097,False,False,0.0,F,pre,contiguous
NIFTY50,GARCH,0.6710495267774701,False,False,0.03333333333333333,F,pre,contiguous
NIFTY50,GJR-GARCH,0.6163923322560787,False,False,0.0,F,pre,contiguous
SHANGHAI,TimeGAN,0.8791635609085294,False,False,0.13333333333333333,F,pre,contiguous
SHANGHAI,QuantGAN,0.6529985510562036,False,False,0.0,F,pre,contiguous
