market,seed,model,draw,pre_contiguous,pre_purged,post_contiguous,post_purged
BOVESPA,42,TimeGAN,0,0.9303393351800555,0.9287306094182824,0.9308252539242844,0.9291698984302862
BOVESPA,42,QuantGAN,0,0.9236906740535549,0.9227151431209603,0.9236018005540167,0.9226036472760848
BOVESPA,42,CNN-WGAN-GP,0,0.7535316251154202,0.741632271468144,0.7521618190212374,0.7408524930747922
BOVESPA,42,GARCH,0,0.6255191597414589,0.624278162511542,0.6269122807017545,0.6250750230840258
BOVESPA,42,GJR-GARCH,0,0.6555821791320406,0.6552536934441366,0.656735918744229,0.6557670821791322
BOVESPA,42,TimeGAN,1,0.9283367959372114,0.9297160664819943,0.9288430286241921,0.9307947830101568
BOVESPA,42,QuantGAN,1,0.7277243767313019,0.7240053093259464,0.7275496306555864,0.7227236842105264
BOVESPA,42,CNN-WGAN-GP,1,0.7310205447830102,0.7144674515235457,0.722733379501385,0.7068238688827331
BOVESPA,42,GARCH,1,0.635508541089566,0.6187338411819022,0.6340036934441367,0.6119076638965835
BOVESPA,42,GJR-GARCH,1,0.6680914127423823,0.6501329639889197,0.6669425207756232,0.6466322714681441
BOVESPA,42,TimeGAN,2,0.7624909972299169,0.7554157433056325,0.7594367497691598,0.7517301477377655
BOVESPA,42,QuantGAN,2,0.7033040166204986,0.6751595106186519,0.6977098337950138,0.6705325484764544
BOVESPA,42,CNN-WGAN-GP,2,0.7310083102493075,0.7078081717451523,0.730303324099723,0.703817405355494
BOVESPA,42,GARCH,2,0.8944286703601108,0.8892712373037858,0.8941874422899353,0.8888942751615883
BOVESPA,42,GJR-GARCH,2,0.842339104339797,0.8394012003693444,0.8421186518928903,0.8384720683287167
BOVESPA,42,TimeGAN,3,0.7502862419205909,0.7394568328716528,0.7486073407202216,0.7367841643582642
BOVESPA,42,QuantGAN,3,0.8028444136657434,0.8008040166204985,0.8027783933518006,0.8006719759926131
BOVESPA,42,CNN-WGAN-GP,3,0.7015283933518006,0.6896094182825486,0.7007548476454295,0.6878663434903046
BOVESPA,42,GARCH,3,0.7916057248384117,0.7824556786703601,0.7922010618651893,0.7836043397968606
BOVESPA,42,GJR-GARCH,3,0.783030701754386,0.7687599261311172,0.7818111726685133,0.7673176361957526
BOVESPA,42,TimeGAN,4,0.7642846260387811,0.7560932594644506,0.7639078947368421,0.754415512465374
BOVESPA,42,QuantGAN,4,0.7564517543859649,0.7482356879039704,0.755741920590951,0.7478361034164359
BOVESPA,42,CNN-WGAN-GP,4,0.725216297322253,0.6697636195752539,0.7213275623268698,0.6654076638965835
BOVESPA,42,GARCH,4,0.8854005078485688,0.8825198522622346,0.8855110803324099,0.8827186057248383
BOVESPA,42,GJR-GARCH,4,0.8273737303785781,0.8234526777469992,0.8274605263157895,0.8240027700831025
BOVESPA,42,TimeGAN,5,0.7626020313942752,0.7227319944598338,0.7656103416435827,0.7311472760849492
BOVESPA,42,QuantGAN,5,0.7002289935364727,0.6876892890120037,0.7022867036011082,0.6656585872576178
BOVESPA,42,CNN-WGAN-GP,5,0.5480791782086796,0.4570630193905817,0.5499374422899354,0.4525512465373961
BOVESPA,42,GARCH,5,0.7507234533702677,0.7465796398891966,0.7522006001846722,0.7464420590951062
BOVESPA,42,GJR-GARCH,5,0.6583328716528162,0.660822483841182,0.6576645891043399,0.6605736380424746
BOVESPA,42,TimeGAN,6,0.8032996306555864,0.7741431209602954,0.8011576638965835,0.7714963065558633
BOVESPA,42,QuantGAN,6,0.8756749769159742,0.8699958448753463,0.8747493074792244,0.8684540627885504
BOVESPA,42,CNN-WGAN-GP,6,0.6207433056325022,0.5718723453370268,0.6205856417359188,0.570898430286242
BOVESPA,42,GARCH,6,0.7694443674976915,0.7669614496768237,0.762817867036011,0.7625734072022161
BOVESPA,42,GJR-GARCH,6,0.7749194367497692,0.7675438596491226,0.7694009695290859,0.7649270544783009
BOVESPA,42,TimeGAN,7,0.6761382733148661,0.633744459833795,0.6699783010156971,0.6288275623268698
BOVESPA,42,QuantGAN,7,0.836755078485688,0.8295884118190212,0.8340821791320406,0.8257885503231763
BOVESPA,42,CNN-WGAN-GP,7,0.48474469067405357,0.32981602031394275,0.4827296860572484,0.32671606648199447
BOVESPA,42,GARCH,7,0.876525623268698,0.8781664358264083,0.8747989381348107,0.875884349030471
BOVESPA,42,GJR-GARCH,7,0.854598568790397,0.8547024469067406,0.8544656048014774,0.8543474145891043
BOVESPA,42,TimeGAN,8,0.7645394736842106,0.738404432132964,0.7654028162511542,0.7393139427516159
BOVESPA,42,QuantGAN,8,0.9230025392428439,0.9219097414589104,0.9233326408125577,0.92206486611265
BOVESPA,42,CNN-WGAN-GP,8,0.8459058171745152,0.8520463988919669,0.8459499076638967,0.8521334256694366
BOVESPA,42,GARCH,8,0.7967760849492153,0.7911477377654663,0.7962920129270545,0.7906391966759003
BOVESPA,42,GJR-GARCH,8,0.8240630193905817,0.8211133425669438,0.8236445060018467,0.8208056325023085
BOVESPA,42,TimeGAN,9,0.804471837488458,0.7639536011080332,0.80247783933518,0.7620927977839336
BOVESPA,42,QuantGAN,9,0.7455537857802401,0.7320263157894737,0.7418961218836565,0.7254452908587258
BOVESPA,42,CNN-WGAN-GP,9,0.5505634810710989,0.5833331024930748,0.5336823638042475,0.5495923361034164
BOVESPA,42,GARCH,9,0.8367486149584489,0.829058864265928,0.8051149584487536,0.7861726685133889
BOVESPA,42,GJR-GARCH,9,0.7861004155124653,0.7723882733148661,0.7839113573407201,0.7694245152354571
BOVESPA,42,TimeGAN,10,0.7633979686057248,0.748673591874423,0.7617486149584487,0.7458271006463526
BOVESPA,42,QuantGAN,10,0.3934706832871653,0.38285087719298244,0.39340397045244685,0.3828938134810711
BOVESPA,42,CNN-WGAN-GP,10,0.518247460757156,0.4623674976915974,0.5178965835641736,0.46299053554939984
BOVESPA,42,GARCH,10,0.8527079870729455,0.8496454293628808,0.8529746075715605,0.8496888273314867
BOVESPA,42,GJR-GARCH,10,0.8995265466297322,0.9009727608494922,0.9000579409048939,0.9009282086795937
BOVESPA,42,TimeGAN,11,0.644699676823638,0.6501470452446906,0.6450113111726685,0.6487366112650046
BOVESPA,42,QuantGAN,11,0.7429150507848569,0.7281204986149584,0.7427158356417359,0.7279224376731301
BOVESPA,42,CNN-WGAN-GP,11,0.6299215143120961,0.6159697599261311,0.626044783010157,0.6105858725761772
BOVESPA,42,GARCH,11,0.8192195290858726,0.8192924746075716,0.8189988457987074,0.8189600646352725
BOVESPA,42,GJR-GARCH,11,0.777137811634349,0.7839554478301015,0.7766777469990768,0.7840004616805171
BOVESPA,42,TimeGAN,12,0.8652426131117267,0.8416659741458912,0.8657347645429363,0.8406209602954755
BOVESPA,42,QuantGAN,12,0.8575055401662051,0.8539427516158818,0.8562735457063713,0.8518090951061865
BOVESPA,42,CNN-WGAN-GP,12,0.6378164819944598,0.6288467220683287,0.6368294090489381,0.6275957987072946
BOVESPA,42,GARCH,12,0.8463421052631579,0.8386934441366576,0.8458988919667589,0.8379166666666666
BOVESPA,42,GJR-GARCH,12,0.8137947830101571,0.7982721606648199,0.8134644506001848,0.7985851800554016
BOVESPA,42,TimeGAN,13,0.8029111265004616,0.7705316251154202,0.8024778393351802,0.7693298707294552
BOVESPA,42,QuantGAN,13,0.7464427516158818,0.733260618651893,0.7464889196675901,0.7332638504155125
BOVESPA,42,CNN-WGAN-GP,13,0.49861080332409974,0.46995729455217,0.5001724376731301,0.4708986611265004
BOVESPA,42,GARCH,13,0.7719462142197598,0.7630907202216066,0.7718578024007388,0.7625625577100645
BOVESPA,42,GJR-GARCH,13,0.8063501846722069,0.7990620960295476,0.8057557710064636,0.7982511542012928
BOVESPA,42,TimeGAN,14,0.8029420590951062,0.7955600184672207,0.7975371652816251,0.7895383194829179
BOVESPA,42,QuantGAN,14,0.7045505540166206,0.6849725300092335,0.7013220221606649,0.6804332871652816
BOVESPA,42,CNN-WGAN-GP,14,0.803482917820868,0.7916775161588182,0.8023624192059096,0.7901378116343489
BOVESPA,42,GARCH,14,0.9478268698060941,0.9449279778393352,0.9477160664819945,0.9448843490304709
BOVESPA,42,GJR-GARCH,14,0.8551643582640812,0.8533026315789474,0.8570939519852263,0.8552742382271468
BOVESPA,42,TimeGAN,15,0.7466038781163435,0.6297084487534627,0.7531387349953832,0.6560373961218836
BOVESPA,42,QuantGAN,15,0.903766620498615,0.9009789935364727,0.8788487996306555,0.901059325946445
BOVESPA,42,CNN-WGAN-GP,15,0.8218868882733148,0.8104344413665743,0.819451754385965,0.8064256694367498
BOVESPA,42,GARCH,15,0.5203437211449675,0.5707626962142198,0.49643374884579866,0.5028896583564173
BOVESPA,42,GJR-GARCH,15,0.5684482917820868,0.6028176361957526,0.4920163896583564,0.5347862419205909
BOVESPA,42,TimeGAN,16,0.7149346722068328,0.623813942751616,0.7354681440443214,0.6240346260387811
BOVESPA,42,QuantGAN,16,0.8770514773776548,0.8775062326869806,0.8760588642659279,0.8764300554016622
BOVESPA,42,CNN-WGAN-GP,16,0.7714734533702677,0.7632797783933519,0.7696666666666666,0.7614711449676823
BOVESPA,42,GARCH,16,0.8235997229916897,0.8190872576177286,0.8228698060941829,0.8164923822714683
BOVESPA,42,GJR-GARCH,16,0.8651728993536473,0.8605650969529087,0.8481941366574329,0.8039145891043397
BOVESPA,42,TimeGAN,17,0.7391696675900277,0.7174434441366574,0.7401318097876269,0.7185572483841183
BOVESPA,42,QuantGAN,17,0.8038550323176363,0.8026786703601108,0.7295764081255771,0.7201849030470914
BOVESPA,42,CNN-WGAN-GP,17,0.8195969529085874,0.8198384118190212,0.8180697137580794,0.8191530470914128
BOVESPA,42,GARCH,17,0.7461920590951061,0.7208513388734995,0.7466793628808864,0.7220256232686981
BOVESPA,42,GJR-GARCH,17,0.7144796860572483,0.6715745614035088,0.714789242843952,0.6737236842105263
BOVESPA,42,TimeGAN,18,0.7811410433979686,0.7158956602031393,0.7947945521698985,0.7346281163434903
BOVESPA,42,QuantGAN,18,0.5846204986149585,0.5576678208679594,0.5849512927054479,0.557974838411819
BOVESPA,42,CNN-WGAN-GP,18,0.7274060480147737,0.7082957063711911,0.7256565096952908,0.7063718836565097
BOVESPA,42,GARCH,18,0.8684291320406279,0.8683808864265927,0.868539242843952,0.8686475069252078
BOVESPA,42,GJR-GARCH,18,0.8199561403508773,0.8171558171745152,0.819845567867036,0.8173993536472761
BOVESPA,42,TimeGAN,19,0.6367086795937211,0.6314085872576177,0.6396202677746999,0.6338051708217913
BOVESPA,42,QuantGAN,19,0.5146214219759926,0.49719252077562326,0.5158185595567867,0.4974605263157895
BOVESPA,42,CNN-WGAN-GP,19,0.8264873037857802,0.8284967682363803,0.8239686057248384,0.8257139889196676
BOVESPA,42,GARCH,19,0.8599988457987073,0.8546498153277933,0.8599990766389658,0.8546029547553093
BOVESPA,42,GJR-GARCH,19,0.7735339335180055,0.7691038781163435,0.7729796860572484,0.7684609879963065
BOVESPA,42,CONTROL: shuffled real,0,0.32027077562326867,0.3097786241920591,0.3199157433056325,0.3094021237303785
BOVESPA,42,CONTROL: shuffled real,1,0.32027077562326867,0.3097786241920591,0.3199157433056325,0.3094021237303785
BOVESPA,42,CONTROL: shuffled real,2,0.32027077562326867,0.3097786241920591,0.3199157433056325,0.3094021237303785
BOVESPA,42,CONTROL: shuffled real,3,0.32027077562326867,0.3097786241920591,0.3199157433056325,0.3094021237303785
BOVESPA,42,CONTROL: shuffled real,4,0.32027077562326867,0.3097786241920591,0.3199157433056325,0.3094021237303785
BOVESPA,42,CONTROL: shuffled real,5,0.32027077562326867,0.3097786241920591,0.3199157433056325,0.3094021237303785
BOVESPA,42,CONTROL: shuffled real,6,0.32027077562326867,0.3097786241920591,0.3199157433056325,0.3094021237303785
BOVESPA,42,CONTROL: shuffled real,7,0.32027077562326867,0.3097786241920591,0.3199157433056325,0.3094021237303785
BOVESPA,42,CONTROL: shuffled real,8,0.32027077562326867,0.3097786241920591,0.3199157433056325,0.3094021237303785
BOVESPA,42,CONTROL: shuffled real,9,0.32027077562326867,0.3097786241920591,0.3199157433056325,0.3094021237303785
BOVESPA,42,CONTROL: shuffled real,10,0.32027077562326867,0.3097786241920591,0.3199157433056325,0.3094021237303785
BOVESPA,42,CONTROL: shuffled real,11,0.32027077562326867,0.3097786241920591,0.3199157433056325,0.3094021237303785
BOVESPA,42,CONTROL: shuffled real,12,0.32027077562326867,0.3097786241920591,0.3199157433056325,0.3094021237303785
BOVESPA,42,CONTROL: shuffled real,13,0.32027077562326867,0.3097786241920591,0.3199157433056325,0.3094021237303785
BOVESPA,42,CONTROL: shuffled real,14,0.32027077562326867,0.3097786241920591,0.3199157433056325,0.3094021237303785
BOVESPA,42,CONTROL: shuffled real,15,0.32027077562326867,0.3097786241920591,0.3199157433056325,0.3094021237303785
BOVESPA,42,CONTROL: shuffled real,16,0.32027077562326867,0.3097786241920591,0.3199157433056325,0.3094021237303785
BOVESPA,42,CONTROL: shuffled real,17,0.32027077562326867,0.3097786241920591,0.3199157433056325,0.3094021237303785
BOVESPA,42,CONTROL: shuffled real,18,0.32027077562326867,0.3097786241920591,0.3199157433056325,0.3094021237303785
BOVESPA,42,CONTROL: shuffled real,19,0.32027077562326867,0.3097786241920591,0.3199157433056325,0.3094021237303785
BOVESPA,43,TimeGAN,0,0.9629115881809789,0.9629930747922437,0.9623377192982456,0.96266297322253
BOVESPA,43,QuantGAN,0,0.7585092336103416,0.7142631578947368,0.7555708679593721,0.7059759926131116
BOVESPA,43,CNN-WGAN-GP,0,0.8187031394275162,0.816932132963989,0.8183723453370266,0.8148506463527238
BOVESPA,43,GARCH,0,0.8191846722068329,0.823846029547553,0.8122823176361956,0.8177527700831024
BOVESPA,43,GJR-GARCH,0,0.7594205909510618,0.7512947830101571,0.7541447368421053,0.746769159741459
BOVESPA,43,TimeGAN,1,0.9226297322253,0.9229399815327793,0.9226975992613111,0.9229420590951062
BOVESPA,43,QuantGAN,1,0.7185722530009235,0.7108670360110804,0.7185325484764543,0.7108508771929826
BOVESPA,43,CNN-WGAN-GP,1,0.6890302400738688,0.6780637119113573,0.6852453831948291,0.6729298245614035
BOVESPA,43,GARCH,1,0.9041823638042474,0.8962740073868882,0.9032973222530009,0.8961643582640813
BOVESPA,43,GJR-GARCH,1,0.8649111265004616,0.8701583564173593,0.8493760387811635,0.8677437673130193
BOVESPA,43,TimeGAN,2,0.9328698060941829,0.9257356879039704,0.9321389658356416,0.9253148661126499
BOVESPA,43,QuantGAN,2,0.8281495844875346,0.8207285318559556,0.8285073868882733,0.8219240535549399
BOVESPA,43,CNN-WGAN-GP,2,0.7943227146814404,0.7818393351800556,0.7881334256694367,0.7727800092336103
BOVESPA,43,GARCH,2,0.8074344413665744,0.7947151431209603,0.808632271468144,0.7973548014773777
BOVESPA,43,GJR-GARCH,2,0.6801043397968606,0.6541897506925208,0.682028162511542,0.6548598799630656
BOVESPA,43,TimeGAN,3,0.9575034626038782,0.9560634810710988,0.9570380886426595,0.9557084487534627
BOVESPA,43,QuantGAN,3,0.8277153739612186,0.8012054478301016,0.8035283933518006,0.7842015235457063
BOVESPA,43,CNN-WGAN-GP,3,0.834059325946445,0.8272308402585411,0.8302375346260389,0.8219531394275161
BOVESPA,43,GARCH,3,0.7869884579870728,0.7832707756232687,0.786590027700831,0.7803711911357342
BOVESPA,43,GJR-GARCH,3,0.7158100184672206,0.698943213296399,0.7123333333333334,0.6879531394275162
BOVESPA,43,TimeGAN,4,0.9550771006463528,0.9503568790397046,0.9551874422899352,0.9506664358264082
BOVESPA,43,QuantGAN,4,0.7332386888273316,0.7202003693444137,0.7327543859649122,0.7191410433979687
BOVESPA,43,CNN-WGAN-GP,4,0.7820376269621422,0.7654148199445983,0.7799238227146814,0.7616929824561404
BOVESPA,43,GARCH,4,0.8905644044321329,0.8856438134810711,0.8907209141274238,0.8872167590027701
BOVESPA,43,GJR-GARCH,4,0.8028896583564172,0.7902793167128347,0.8030674053554941,0.754490997229917
BOVESPA,43,TimeGAN,5,0.9398178670360112,0.9386128808864266,0.9397742382271469,0.9382830101569712
BOVESPA,43,QuantGAN,5,0.8562950138504155,0.8535690212373037,0.8534882271468144,0.8509609879963065
BOVESPA,43,CNN-WGAN-GP,5,0.8068305632502307,0.7987560018467221,0.8065258541089566,0.7983185595567868
BOVESPA,43,GARCH,5,0.9397361495844875,0.9389469067405356,0.93909810710988,0.9382631578947368
BOVESPA,43,GJR-GARCH,5,0.9399035087719299,0.938384349030471,0.9399083564173593,0.9384097414589105
BOVESPA,43,TimeGAN,6,0.953716297322253,0.9475798707294553,0.9532954755309326,0.9470260849492153
BOVESPA,43,QuantGAN,6,0.6735094644506001,0.6690685595567867,0.674389889196676,0.6712091412742381
