market,seed,model,published_auc_raw,replay_vs_stored_second_draw_maxdiff,pre_contiguous,pre_purged,post_contiguous,post_purged,pre_minus_published
BOVESPA,42,GARCH,0.6255191597414589,,0.6255191597414589,0.624278162511542,0.6269122807017545,0.6250750230840258,0.0
BOVESPA,42,GJR-GARCH,0.6555821791320406,,0.6555821791320406,0.6552536934441366,0.656735918744229,0.6557670821791322,0.0
BOVESPA,42,TimeGAN,0.7756368882733148,0.00028735166415572166,0.7754600646352723,0.7671057248384118,0.7746403508771931,0.7661304247460756,-0.00017682363804250034
BOVESPA,42,CONTROL: shuffled real,0.3202707756232686,,0.32027077562326867,0.3097786241920591,0.3199157433056325,0.3094021237303785,5.551115123125783e-17
BOVESPA,43,GARCH,0.8191846722068329,,0.8191846722068329,0.823846029547553,0.8122823176361956,0.8177527700831024,0.0
BOVESPA,43,GJR-GARCH,0.7594205909510618,,0.7594205909510618,0.7512947830101571,0.7541447368421053,0.746769159741459,0.0
BOVESPA,43,TimeGAN,0.9581251154201292,0.000347282737493515,0.9582800092336103,0.9558024007386887,0.9578594182825485,0.9558238688827332,0.0001548938134811051
BOVESPA,43,CONTROL: shuffled real,0.3202707756232686,,0.32027077562326867,0.3097786241920591,0.3199157433056325,0.3094021237303785,5.551115123125783e-17
BOVESPA,44,GARCH,0.921918975069252,,0.921918975069252,0.9187483841181903,0.9213871191135734,0.9185489381348105,0.0
BOVESPA,44,GJR-GARCH,0.8832126038781164,,0.8832126038781164,0.8808831948291782,0.8828344875346261,0.8812356879039704,0.0
BOVESPA,44,TimeGAN,0.9051290397045246,0.0004822090268135071,0.9053947368421053,0.9010018467220684,0.9123564173591875,0.9194870729455218,0.00026569713758062274
BOVESPA,44,CONTROL: shuffled real,0.3202707756232686,,0.32027077562326867,0.3097786241920591,0.3199157433056325,0.3094021237303785,5.551115123125783e-17
FTSE,42,GARCH,0.6936929499570447,,0.6936929499570447,0.6669955433848798,0.6905267844358534,0.6583460856958763,0.0
FTSE,42,GJR-GARCH,0.7111994827462771,,0.7111994827462771,0.705898750715922,0.7102931701030928,0.7043212610967927,0.0
FTSE,42,TimeGAN,0.9108804499570446,8.766009705141187e-05,0.9110538373424972,0.9137817242983963,0.9068473475085911,0.9087760864117984,0.0001733873854525836
FTSE,42,CONTROL: shuffled real,0.7014551116838488,,0.7014551116838488,0.6766918134306987,0.7017045657932418,0.6801837235108821,0.0
FTSE,43,GARCH,0.5382637993986255,,0.5382637993986255,0.5176680627147767,0.5386524108676977,0.5183378973367697,0.0
FTSE,43,GJR-GARCH,0.4545324581185567,,0.45455415950744565,0.414741283648339,0.4541165521191295,0.41555788230240553,2.170138888896167e-05
FTSE,43,TimeGAN,0.9446798038373424,0.0004098780918866396,0.9441180287084766,0.9368375483247423,0.9442665825458191,0.9390692117697595,-0.0005617751288657935
FTSE,43,CONTROL: shuffled real,0.7014551116838488,,0.7014551116838488,0.6766918134306987,0.7017045657932418,0.6801837235108821,0.0
FTSE,44,GARCH,0.729487041809851,,0.729487041809851,0.7484804553264606,0.7295051635882016,0.7482363706328752,0.0
FTSE,44,GJR-GARCH,0.4635875304266895,,0.46358753042668954,0.4109361576460481,0.46461264139461633,0.4097155104524628,5.551115123125783e-17
FTSE,44,TimeGAN,0.6401661386741122,0.00012091360986232758,0.6394133018327606,0.6278220754581901,0.6398448686282933,0.6295776507016037,-0.000752836841351634
FTSE,44,CONTROL: shuffled real,0.7014551116838488,,0.7014551116838488,0.6766918134306987,0.7017045657932418,0.6801837235108821,0.0
MOEX,42,GARCH,0.7671006944444444,,0.7671006944444444,0.7555555555555555,0.7672960069444444,0.7575303819444443,0.0
MOEX,42,GJR-GARCH,0.7218315972222222,,0.7218315972222222,0.7148003472222222,0.7211154513888889,0.7139105902777778,0.0
MOEX,42,TimeGAN,0.6118923611111111,0.0005423277616500854,0.6123263888888888,0.576388888888889,0.6121744791666667,0.5758897569444444,0.0004340277777776791
MOEX,42,CONTROL: shuffled real,0.3829427083333333,,0.3829427083333333,0.3814453125,0.3835286458333333,0.38125000000000003,0.0
MOEX,43,GARCH,0.6887586805555556,,0.6887586805555556,0.6450737847222221,0.6876085069444444,0.644314236111111,0.0
MOEX,43,GJR-GARCH,0.6859809027777779,,0.6859809027777779,0.6477213541666667,0.6838324652777777,0.6458984375,0.0
MOEX,43,TimeGAN,0.704318576388889,0.00023148045875132084,0.7039713541666666,0.711111111111111,0.7036892361111111,0.7116536458333333,-0.0003472222222223875
MOEX,43,CONTROL: shuffled real,0.3829427083333333,,0.3829427083333333,0.3814453125,0.3835286458333333,0.38125000000000003,0.0
MOEX,44,GARCH,0.7307291666666667,,0.7307291666666667,0.7409722222222223,0.730642361111111,0.741384548611111,0.0
MOEX,44,GJR-GARCH,0.5332682291666666,,0.5332682291666666,0.4985894097222222,0.5313802083333333,0.49854600694444445,0.0
MOEX,44,TimeGAN,0.6585503472222222,0.00011244416236877441,0.6580946180555556,0.6060112847222222,0.6629991319444445,0.6149088541666667,-0.00045572916666658525
MOEX,44,CONTROL: shuffled real,0.3829427083333333,,0.3829427083333333,0.3814453125,0.3835286458333333,0.38125000000000003,0.0
NIFTY50,42,GARCH,0.5917075253924284,,0.5917075253924284,0.5755048476454293,0.5915738688827331,0.5788714219759926,0.0
NIFTY50,42,GJR-GARCH,0.3642760849492151,,0.36427608494921515,0.3635424746075716,0.3638162511542013,0.36157386888273313,5.551115123125783e-17
NIFTY50,42,TimeGAN,0.9038291782086796,0.0003227344714105129,0.9038732686980608,0.9074831486611264,0.9036071098799632,0.9075267774699908,4.409048938125437e-05
