market,length,L,windows_per_class,embargo,train_rows_contiguous,train_rows_purged,dropped_per_fold,test_rows_per_fold,min_train_rows,pct_dropped_min,pct_dropped_max
BOVESPA,track_a,496,476,20,"[761, 761, 762, 762, 762]","[721, 681, 682, 682, 722]","[40, 80, 80, 80, 40]","[191, 191, 190, 190, 190]",681,5.2493438320209975,10.512483574244415
BOVESPA,walk_forward,825,805,20,"[1288, 1288, 1288, 1288, 1288]","[1248, 1208, 1208, 1208, 1248]","[40, 80, 80, 80, 40]","[322, 322, 322, 322, 322]",1208,3.1055900621118013,6.211180124223603
FTSE,track_a,501,481,20,"[769, 769, 770, 770, 770]","[729, 689, 690, 690, 730]","[40, 80, 80, 80, 40]","[193, 193, 192, 192, 192]",689,5.194805194805195,10.403120936280883
FTSE,walk_forward,832,812,20,"[1299, 1299, 1299, 1299, 1300]","[1259, 1219, 1219, 1219, 1260]","[40, 80, 80, 80, 40]","[325, 325, 325, 325, 324]",1219,3.076923076923077,6.158583525789068
MOEX,track_a,500,480,20,"[768, 768, 768, 768, 768]","[728, 688, 688, 688, 728]","[40, 80, 80, 80, 40]","[192, 192, 192, 192, 192]",688,5.208333333333333,10.416666666666666
MOEX,walk_forward,832,812,20,"[1299, 1299, 1299, 1299, 1300]","[1259, 1219, 1219, 1219, 1260]","[40, 80, 80, 80, 40]","[325, 325, 325, 325, 324]",1219,3.076923076923077,6.158583525789068
NIFTY50,track_a,496,476,20,"[761, 761, 762, 762, 762]","[721, 681, 682, 682, 722]","[40, 80, 80, 80, 40]","[191, 191, 190, 190, 190]",681,5.2493438320209975,10.512483574244415
NIFTY50,walk_forward,825,805,20,"[1288, 1288, 1288, 1288, 1288]","[1248, 1208, 1208, 1208, 1248]","[40, 80, 80, 80, 40]","[322, 322, 322, 322, 322]",1208,3.1055900621118013,6.211180124223603
SHANGHAI,track_a,486,466,20,"[745, 745, 746, 746, 746]","[705, 665, 666, 666, 706]","[40, 80, 80, 80, 40]","[187, 187, 186, 186, 186]",665,5.361930294906166,10.738255033557047
SHANGHAI,walk_forward,810,790,20,"[1264, 1264, 1264, 1264, 1264]","[1224, 1184, 1184, 1184, 1224]","[40, 80, 80, 80, 40]","[316, 316, 316, 316, 316]",1184,3.1645569620253164,6.329113924050633
