market,model,n,auc_contiguous,above_p97_5_contiguous,above_mean_1_96sd_contiguous,draws_above_p97_5_contiguous,auc_purged,above_p97_5_purged,above_mean_1_96sd_purged,draws_above_p97_5_purged,auc_shuffled,above_p97_5_shuffled,above_mean_1_96sd_shuffled,draws_above_p97_5_shuffled
BOVESPA,TimeGAN,60,0.8646968297937826,False,False,0.5166666666666667,0.8507396698984304,False,False,0.5333333333333333,0.9294632463835026,True,True,0.6166666666666667
BOVESPA,QuantGAN,60,0.755988865804863,False,False,0.08333333333333333,0.743749095875654,False,False,0.06666666666666667,0.8139342951677441,False,False,0.08333333333333333
BOVESPA,CNN-WGAN-GP,60,0.7272360610957217,False,False,0.016666666666666666,0.7090703870421667,False,False,0.016666666666666666,0.7925907433056326,False,False,0.03333333333333333
BOVESPA,GARCH,60,0.791669417513081,False,False,0.08333333333333333,0.7830462296091106,False,False,0.1,0.8275361611265005,False,False,0.06666666666666667
BOVESPA,GJR-GARCH,60,0.7671019506001848,False,False,0.03333333333333333,0.7571135849492152,False,False,0.03333333333333333,0.8072633810403201,False,False,0.03333333333333333
BOVESPA,CONTROL: shuffled real,60,0.32027077562326856,False,False,0.0,0.30977862419205915,False,False,0.0,0.5601334256694368,False,False,0.0
FTSE,TimeGAN,60,0.7710001133543337,False,False,0.55,0.7447553970086389,False,False,0.5333333333333333,0.8370389685352234,False,False,0.5
FTSE,QuantGAN,60,0.5485645724453512,False,False,0.016666666666666666,0.5165467049684994,False,False,0.016666666666666666,0.6809845532347747,False,False,0.0
FTSE,CNN-WGAN-GP,60,0.5241973170819014,False,False,0.0,0.49209161864022527,False,False,0.0,0.6705183164196737,False,False,0.0
FTSE,GARCH,60,0.5294058405820447,False,False,0.016666666666666666,0.4992812813215923,False,False,0.0,0.6725812981755919,False,False,0.0
FTSE,GJR-GARCH,60,0.5197495391251432,False,False,0.0,0.47880920526680026,False,False,0.0,0.6618714539483104,False,False,0.0
FTSE,CONTROL: shuffled real,60,0.7014551116838489,False,False,0.0,0.6766918134306988,False,False,0.0,0.7919539304123712,False,False,0.0
MOEX,TimeGAN,60,0.6234009693287036,False,False,0.016666666666666666,0.5944263599537039,False,False,0.016666666666666666,0.7617263454861111,False,False,0.03333333333333333
MOEX,QuantGAN,60,0.5967719184027779,False,False,0.016666666666666666,0.567253689236111,False,False,0.0,0.7123900462962962,False,False,0.0
MOEX,CNN-WGAN-GP,60,0.5665411603009259,False,False,0.0,0.5498404947916667,False,False,0.0,0.7039048032407408,False,False,0.0
MOEX,GARCH,60,0.5747956452546298,False,False,0.0,0.5539246961805555,False,False,0.0,0.6991344762731482,False,False,0.0
MOEX,GJR-GARCH,60,0.5774547887731482,False,False,0.0,0.557521339699074,False,False,0.0,0.6970180483217592,False,False,0.0
MOEX,CONTROL: shuffled real,60,0.3829427083333334,False,False,0.0,0.38144531249999986,False,False,0.0,0.6100694444444443,False,False,0.0
NIFTY50,TimeGAN,60,0.8421687057556171,False,False,0.31666666666666665,0.8345488881194213,False,False,0.3333333333333333,0.8897821368113266,False,False,0.31666666666666665
NIFTY50,QuantGAN,60,0.6387712873191752,False,False,0.03333333333333333,0.6131175053862726,False,False,0.05,0.7499603262542321,False,False,0.016666666666666666
NIFTY50,CNN-WGAN-GP,60,0.6486151277316097,False,False,0.0,0.6277334295167746,False,False,0.0,0.750996718220991,False,False,0.0
NIFTY50,GARCH,60,0.6710495267774701,False,False,0.03333333333333333,0.6533212219144353,False,False,0.03333333333333333,0.7623323984302864,False,False,0.016666666666666666
NIFTY50,GJR-GARCH,60,0.6163923322560787,False,False,0.0,0.590603678054786,False,False,0.0,0.7224125346260386,False,False,0.0
NIFTY50,CONTROL: shuffled real,60,0.5057890120036933,False,False,0.0,0.3926941366574331,False,False,0.0,0.6154856879039703,False,False,0.0
SHANGHAI,TimeGAN,60,0.8791635609085294,False,False,0.13333333333333333,0.8541021796477108,False,False,0.13333333333333333,0.933890475593046,False,False,0.31666666666666665
SHANGHAI,QuantGAN,60,0.6529985510562036,False,False,0.0,0.6360177579665258,False,False,0.0,0.7537047246063785,False,False,0.0
SHANGHAI,CNN-WGAN-GP,60,0.6975495916799304,False,False,0.0,0.6810990365794757,False,False,0.0,0.7793161715083694,False,False,0.0
SHANGHAI,GARCH,60,0.6895763212899619,False,False,0.05,0.6648787093822185,False,False,0.05,0.7854569666972526,False,False,0.08333333333333333
SHANGHAI,GJR-GARCH,60,0.6827693030555739,False,False,0.03333333333333333,0.6570843265609357,False,False,0.03333333333333333,0.7809442529739428,False,False,0.08333333333333333
SHANGHAI,CONTROL: shuffled real,60,0.41461686629618966,False,False,0.0,0.3908081859174471,False,False,0.0,0.6166006154936123,False,False,0.0
