market,model,wf_auc_contiguous_mean,n_folds,above_p97_5,above_mean_1_96sd,folds_above_p97_5
BOVESPA,TimeGAN,0.7644735928397822,15,False,False,0.4666666666666667
BOVESPA,QuantGAN,0.7311929838097809,15,False,False,0.26666666666666666
BOVESPA,CNN-WGAN-GP,0.6307390404176795,15,False,False,0.0
BOVESPA,GARCH,0.6860594370073172,15,False,False,0.2
BOVESPA,GJR-GARCH,0.6516332960405333,15,False,False,0.13333333333333333
FTSE,TimeGAN,0.7914877308405717,15,False,False,0.5333333333333333
FTSE,QuantGAN,0.7495718768243532,15,False,False,0.26666666666666666
FTSE,CNN-WGAN-GP,0.575494302485811,15,False,False,0.06666666666666667
FTSE,GARCH,0.6083144839572251,15,False,False,0.06666666666666667
FTSE,GJR-GARCH,0.5563486631202722,15,False,False,0.13333333333333333
MOEX,TimeGAN,0.8422154835118218,15,False,False,0.5333333333333333
MOEX,QuantGAN,0.7141919454021081,15,False,False,0.3333333333333333
MOEX,CNN-WGAN-GP,0.6394031285444852,15,False,False,0.06666666666666667
MOEX,GARCH,0.6807881049605574,15,False,False,0.13333333333333333
MOEX,GJR-GARCH,0.6639165964587797,15,False,False,0.06666666666666667
NIFTY50,TimeGAN,0.8164674716767614,15,False,False,0.5333333333333333
NIFTY50,QuantGAN,0.7352725589290537,15,False,False,0.26666666666666666
NIFTY50,CNN-WGAN-GP,0.6390139269318312,15,False,False,0.0
NIFTY50,GARCH,0.710181963144426,15,False,False,0.13333333333333333
NIFTY50,GJR-GARCH,0.680888854596659,15,False,False,0.06666666666666667
SHANGHAI,TimeGAN,0.8539245847353524,15,False,False,0.2
SHANGHAI,QuantGAN,0.7741296800726379,15,False,False,0.2
SHANGHAI,CNN-WGAN-GP,0.7019398600651603,15,False,False,0.0
SHANGHAI,GARCH,0.7272584521711264,15,False,False,0.06666666666666667
SHANGHAI,GJR-GARCH,0.724702771991668,15,False,False,0.06666666666666667
