frame,scenario,market,seed,model,fidelity,temporal,composite,composite_6pool,fidelity_6pool,temporal_6pool
P,S0,BOVESPA,42,GARCH,1.5,1.4285714285714286,1.4642857142857144,2.178571428571429,2.5,1.8571428571428572
P,S0,BOVESPA,42,GJR-GARCH,2.142857142857143,2.0,2.071428571428571,2.7857142857142856,3.142857142857143,2.4285714285714284
P,S0,BOVESPA,42,CNN-WGAN-GP,2.5714285714285716,3.142857142857143,2.857142857142857,3.7142857142857144,3.5714285714285716,3.857142857142857
P,S0,BOVESPA,42,QuantGAN,4.357142857142857,4.0,4.178571428571429,5.035714285714286,5.357142857142857,4.714285714285714
P,S0,BOVESPA,42,TimeGAN,4.428571428571429,4.428571428571429,4.428571428571429,5.357142857142858,5.428571428571429,5.285714285714286
P,S0,BOVESPA,42,CONTROL: shuffled real,,,,1.9285714285714286,1.0,2.857142857142857
P,S1,BOVESPA,42,GARCH,1.5,1.4285714285714286,1.4642857142857144,2.178571428571429,2.5,1.8571428571428572
P,S1,BOVESPA,42,GJR-GARCH,2.142857142857143,2.0,2.071428571428571,2.7857142857142856,3.142857142857143,2.4285714285714284
P,S1,BOVESPA,42,CNN-WGAN-GP,2.5714285714285716,3.142857142857143,2.857142857142857,3.7142857142857144,3.5714285714285716,3.857142857142857
P,S1,BOVESPA,42,QuantGAN,4.357142857142857,4.0,4.178571428571429,5.035714285714286,5.357142857142857,4.714285714285714
P,S1,BOVESPA,42,TimeGAN,4.428571428571429,4.428571428571429,4.428571428571429,5.357142857142858,5.428571428571429,5.285714285714286
P,S1,BOVESPA,42,CONTROL: shuffled real,,,,1.9285714285714286,1.0,2.857142857142857
P,S0,BOVESPA,43,CNN-WGAN-GP,1.2857142857142858,1.5714285714285714,1.4285714285714286,2.142857142857143,2.2857142857142856,2.0
P,S0,BOVESPA,43,GJR-GARCH,2.142857142857143,2.2857142857142856,2.2142857142857144,3.071428571428571,3.142857142857143,3.0
P,S0,BOVESPA,43,QuantGAN,3.4285714285714284,3.4285714285714284,3.4285714285714284,4.2857142857142865,4.428571428571429,4.142857142857143
P,S0,BOVESPA,43,GARCH,3.4285714285714284,3.5714285714285716,3.5,4.357142857142858,4.428571428571429,4.285714285714286
P,S0,BOVESPA,43,TimeGAN,4.714285714285714,4.142857142857143,4.428571428571429,5.428571428571429,5.714285714285714,5.142857142857143
P,S0,BOVESPA,43,CONTROL: shuffled real,,,,1.7142857142857142,1.0,2.4285714285714284
P,S1,BOVESPA,43,CNN-WGAN-GP,1.2857142857142858,1.5714285714285714,1.4285714285714286,2.142857142857143,2.2857142857142856,2.0
P,S1,BOVESPA,43,GJR-GARCH,2.142857142857143,2.2857142857142856,2.2142857142857144,3.071428571428571,3.142857142857143,3.0
